"D13671" "D13673" "D13675" "D13677" "D13679" "D13681" "D13683" "D13685" "D13687" "D13689" "D13691" "D13693" "D13695" "D13697" "D13699" "D13701" "D13703" "D13705" "D13707" "D13708" "D13709" "D13710" "D13711" "D13712" "D13713" "D13714" "D13715" "D13716" "D13717" "D13718" "D13719" "D13720" "D13721" "D13722" "D13723"
"Lachnospiraceae_AC2044_group" 2 17 0 22 0 0 0 0 2 0 18 9 0 0 0 13 2 0 0 5 0 9 2 0 0 5 0 6 0 2 0 0 0 0 0
"Lachnospiraceae_FCS020_group" 19 30 0 18 4 2 0 0 21 0 11 15 40 16 18 15 12 0 0 0 9 0 0 5 20 6 0 3 3 0 10 29 0 5 0
"Lachnospiraceae_NK4A136_group" 4137 4338 16 3736 631 708 521 319 2737 1142 1697 2531 2877 1640 4674 2834 5201 272 2077 1302 4954 2631 965 1955 356 2615 2534 2059 3145 2254 3081 3348 288 650 380
"Lachnospiraceae_NK4B4_group" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 5 0 2 0 0 0 0
"Lachnospiraceae_UCG-001" 722 7 7 198 93 41 156 6 0 50 140 183 86 162 9 320 283 15 93 60 168 149 8 543 84 241 146 180 206 37 557 350 33 54 133
"Lachnospiraceae_UCG-006" 29 121 2 287 24 21 0 0 295 28 78 137 158 14 38 89 59 18 34 31 27 69 12 35 33 18 48 93 104 84 45 194 6 9 4
"Lactobacillus" 99 3 1223 292 390 600 1250 2196 44 11 12 101 698 21 55 249 42 385 1708 4259 588 354 394 75 721 144 774 43 204 86 565 3207 92 85 69
"Lactococcus" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mucispirillum" 157 22 0 77 8 12 110 0 0 0 282 35 17 344 666 447 588 0 6 50 17 29 23 50 5 17 0 0 38 53 15 2 0 5 20
"Odoribacter" 6 34 2 9 30 5 9 8 37 118 72 215 41 19 18 102 29 13 26 21 0 0 5 9 4 0 20 3 36 17 11 0 8 3 5
"Oscillibacter" 506 167 3 258 47 31 35 0 184 57 233 193 110 237 99 247 1324 20 71 91 54 428 22 312 109 194 794 405 419 98 86 62 11 97 80
"Oscillospira" 14 19 0 0 0 0 0 0 10 0 4 9 0 0 4 4 0 0 2 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Oxalobacter" 5 8 0 0 4 0 0 0 4 0 4 0 2 3 0 6 7 0 8 10 4 8 6 2 0 0 3 5 4 0 0 3 0 0 0
"Peptococcus" 4 0 0 0 0 3 0 0 0 0 3 0 0 7 3 0 0 0 0 0 0 2 0 0 0 0 0 5 4 0 0 0 0 0 0
"Pygmaiobacter" 9 13 0 0 2 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 3 7 0 0 0 0 5 5 6 0 0 0 0 7 0
"Roseburia" 181 149 28 114 46 71 354 8 170 59 293 105 123 443 157 328 180 20 58 58 126 125 10 143 33 71 202 203 113 173 199 256 10 19 25
"Ruminiclostridium" 274 304 0 202 60 29 15 10 224 70 212 311 192 346 242 415 447 19 212 170 36 151 29 103 178 102 412 233 298 225 127 53 11 42 33
"Ruminiclostridium_5" 29 39 0 17 0 3 0 0 22 0 17 24 32 15 42 21 26 0 5 13 3 51 0 24 0 0 31 41 27 24 0 8 0 8 7
"Ruminiclostridium_6" 16 132 0 34 11 70 0 0 31 23 5 152 12 9 66 32 34 5 47 34 4 128 0 4 15 17 26 0 91 0 40 0 0 5 7
"Ruminiclostridium_9" 379 257 0 129 59 46 28 0 234 56 464 356 136 239 146 292 706 18 144 125 74 432 43 305 90 164 600 264 430 220 71 67 21 97 49
"Ruminococcaceae_NK4A214_group" 9 31 0 13 3 3 0 0 8 0 11 4 7 11 8 6 18 0 2 5 0 3 0 0 7 0 7 10 9 5 0 0 0 5 11
"Ruminococcaceae_UCG-003" 59 25 2 28 0 9 0 0 0 0 6 0 0 26 7 0 32 0 4 5 0 17 4 14 55 9 54 23 7 22 2 7 4 6 0
"Ruminococcaceae_UCG-004" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Ruminococcaceae_UCG-005" 11 68 0 23 0 0 6 0 0 0 8 4 5 13 84 3 16 0 8 0 6 21 4 13 4 0 19 0 8 0 7 7 4 9 0
"Ruminococcaceae_UCG-009" 22 13 0 8 7 0 0 0 0 0 16 9 0 17 5 12 17 0 0 6 4 10 5 25 4 0 22 11 21 3 0 2 0 8 2
"Ruminococcaceae_UCG-010" 4 5 27 0 44 19 5 25 0 33 5 0 16 7 13 2 2 0 4 0 8 0 0 2 0 0 5 5 4 2 3 0 0 16 0
"Ruminococcaceae_UCG-014" 6 134 35 18 61 115 7 0 15 113 61 190 267 5 49 9 30 28 76 90 45 45 234 106 38 22 57 103 52 29 68 4 35 402 138
"Ruminococcus_1" 82 151 62 6 7 45 4 104 23 123 17 162 195 101 217 50 121 6 142 80 458 629 373 116 84 36 245 28 249 114 135 169 9 120 337
"Sporosarcina" 4 0 19 0 0 0 47 13 0 0 0 0 3 0 0 0 0 113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Staphylococcus" 53 0 30 7 184 16 846 55 0 0 0 0 0 11 0 0 9 76 7 4 0 4 0 0 0 0 2 0 2 0 4 22 3 0 0
"Tyzzerella" 2 2 0 0 0 0 0 0 2 0 3 7 0 15 0 12 2 0 0 0 0 4 0 0 0 3 9 0 5 0 0 0 0 3 0
"UBA1819" 4 6 0 7 11 0 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 9 0 7 0 0 3 5 0 10 0 0 0 7 0
"Eubacterium_hallii_group" 0 6 0 0 0 0 0 0 0 0 0 27 0 0 17 6 0 0 0 0 2 6 0 7 0 6 0 16 0 3 0 10 0 0 0
"Ruminococcus_gauvreauii_group" 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0
"Anaerostipes" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 198 96 60 4 36 96 0 0 116 86 0 0 0 0 0 0 199
"Anaerotruncus" 0 3 0 8 0 0 0 0 0 0 0 0 0 2 3 4 6 0 0 0 0 3 0 0 6 0 0 0 2 2 0 0 0 0 0
"ASF356" 0 25 0 129 4 9 11 0 0 0 0 0 9 7 18 0 0 0 0 0 4 0 3 0 16 9 6 8 6 0 0 0 0 7 0
"Coprococcus_2" 0 2 0 0 0 0 0 0 5 16 0 9 7 0 0 27 0 0 0 0 0 53 17 375 6 0 71 0 81 10 91 21 0 0 0
"Dorea" 0 3 0 5 0 0 0 0 0 0 3 2 0 3 0 10 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0
"Fusicatenibacter" 0 3 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0
"Lachnospiraceae_UCG-008" 0 3 0 3 0 0 0 0 8 2 10 6 7 0 0 4 4 0 0 0 2 5 0 0 0 0 0 0 4 24 5 0 0 0 4
"Marvinbryantia" 0 2 0 11 27 12 0 0 5 0 3 0 0 0 0 0 12 0 0 0 0 38 7 0 0 0 5 0 40 10 0 0 4 5 19
"Oceanobacillus" 0 3 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rikenella" 0 13 0 4 4 4 0 0 3 11 4 5 7 8 0 5 0 0 4 0 0 0 0 0 0 3 4 0 0 2 12 0 0 0 0
"Ruminococcaceae_UCG-013" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0
"Subdoligranulum" 0 4 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella_3" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atopostipes" 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gordonibacter" 0 0 9 0 5 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"Lachnospiraceae_UCG-004" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"Parabacteroides" 0 0 3 0 278 3 140 0 7 13 99 37 5 0 0 21 0 0 4 8 10 0 0 0 4 0 37 10 0 6 0 0 0 4 5
"Prevotella_9" 0 0 4 3 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 59 3 23 60 0 5 5 29 0 0 0 5 3
"Prevotellaceae_UCG-001" 0 0 243 138 298 100 0 30 171 569 13 109 15 53 59 97 35 89 0 0 25 435 298 37 687 1785 24 294 53 297 0 0 6 111 385
"Ruminococcus_torques_group" 0 0 0 7 0 0 0 0 8 0 7 0 0 0 0 11 0 0 2 0 0 8 0 0 0 0 0 3 0 0 0 0 0 0 0
"28-4" 0 0 0 3 5 6 0 0 7 0 6 0 10 8 3 0 6 0 0 0 0 0 0 4 0 2 15 0 14 7 16 2 0 0 0
"Anaerosporobacter" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0
"Eisenbergiella" 0 0 0 3 0 0 0 0 0 0 89 3 0 8 0 14 0 0 0 6 0 0 0 0 0 0 50 18 0 2 0 0 0 7 0
"Lachnospiraceae_UCG-010" 0 0 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 0
"Treponema_2" 0 0 0 353 0 123 0 0 96 10 0 21 26 0 0 0 0 17 0 0 0 0 451 46 581 85 0 0 10 0 0 0 12 14 0
"Eubacterium_brachy_group" 0 0 0 0 4 0 0 0 0 0 0 0 3 7 5 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 0 0 0 0 0
"Adlercreutzia" 0 0 0 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 9 26 0 0 0 7 0 0 0
"Bacillus" 0 0 0 0 2 0 17 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Family_XIII_AD3011_group" 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Intestinimonas" 0 0 0 0 4 0 0 0 4 2 4 10 0 36 8 11 0 0 0 0 0 5 0 0 0 0 10 0 6 0 4 0 0 0 0
"Ruminiclostridium_1" 0 0 0 0 6 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eubacterium_nodatum_group" 0 0 0 0 0 3 0 0 0 0 2 0 2 4 3 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0
"Achromobacter" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 7 0 9 2 0 0 0 0 0 6 0 0 0 2 4 0
"Parasutterella" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parvibacter" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 0 3 0 0 0 15 0 0 0 0 0 0
"Pseudogracilibacillus" 0 0 0 0 0 0 68 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yaniella" 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Harryflintia" 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Prevotellaceae_Ga6A1_group" 0 0 0 0 0 0 0 0 20 4497 0 396 600 0 4 2921 4 0 2389 528 0 0 0 0 227 779 320 13 0 0 1237 126 22 40 122
"Delftia" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"Lachnospiraceae_NC2004_group" 0 0 0 0 0 0 0 0 0 2 0 5 5 0 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0
"Streptococcus" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyrivibrio" 0 0 0 0 0 0 0 0 0 0 20 35 0 0 0 6 0 0 38 17 251 6 0 0 0 0 7 14 13 10 0 0 0 67 594
"Herbaspirillum" 0 0 0 0 0 0 0 0 0 0 9 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterorhabdus" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 6 0 0 0 3 3 0 0 6 0 0 0 0 0 0 0 0 0 0 0
"Lachnospira" 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_UCG-009" 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 0 3 0
"Mycoplasma" 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Anaerofilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cronobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavisolibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrogenoanaerobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"XBB1006" 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
"Eubacterium_ruminantium_group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaeromyxobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaeroplasma" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 15 0 0 0 27 0 0 2 0 0 0 0 0 0 0 106
"Trichococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"Glutamicibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Sphingobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eubacterium_ventriosum_group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 7 0 0 58 0 0
"Arthrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brevundimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 2
"Gemella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 11 0 0 0 0 0 2 0 0 0 6 0 0
"Providencia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 40 0 0 0 0 0
"Ruminococcaceae_UCG-011" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0
"Bacteroides_pectinophilus_group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 2 0 0 26 47 0
"Coprococcus_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0
"Comamonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0
"Herbinix" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0
"Porphyromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Dyella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Lachnoclostridium_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"Aerococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 16 0 0
"Marinilactibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
"Aeromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Carnobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0
"Chryseobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Exiguobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"Hafnia-Obesumbacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"Jeotgalibaca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
"JGI_0001001-H03" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Kurthia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1419 4 0
"Lelliottia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"Macrococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
"Muribacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"Pantoea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Planomicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0
"Psychrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"Solibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0
"Methylobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"Brevibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"Gemmobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"Moryella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
