"D12343" "D12344" "D12345" "D12346" "D12347" "D12348" "D12349" "D12350" "D12351" "D12352" "D12364" "D12365" "D12366" "D12367" "D12368" "D12369" "D12370" "D12371" "D12372"
"Sediminispirochaeta" 0 0 0 0 0 0 0 0 0 0 0 131 0 0 0 0 0 0 0
"Sphaerochaeta" 0 0 0 0 0 0 0 0 0 0 0 195 0 0 0 0 0 0 0
"Sphingomonas" 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0
"Streptacidiphilus" 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0
"Streptomyces" 0 0 0 0 0 0 0 0 0 0 0 133 0 0 0 109 0 0 0
"Succiniclasticum" 0 0 0 0 0 0 0 0 0 0 0 844 0 0 0 0 0 0 0
"Succinimonas" 0 0 0 0 0 0 0 0 0 0 0 238 0 0 0 0 0 0 0
"Succinivibrionaceae UCG-002" 0 0 0 0 0 0 0 0 0 0 0 333 0 0 0 0 0 0 0
"Sulfitobacter" 0 0 0 0 0 0 0 0 0 0 0 235 0 0 0 0 0 0 0
"Thalassococcus" 0 0 0 0 0 0 0 0 0 0 0 4124 0 262 0 0 0 0 0
"uncultured Acidobacteria bacterium" 0 0 0 0 0 0 0 0 0 0 0 278 0 0 0 0 0 0 0
"uncultured archaeon" 0 0 0 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0
"uncultured Chloroflexi bacterium" 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0
"uncultured marine archaeon" 0 0 0 0 0 0 0 0 0 0 0 288 0 0 0 0 0 0 0
"uncultured marine group I thaumarchaeote" 0 0 0 0 0 0 0 0 0 0 0 99 0 0 0 0 0 0 0
"uncultured rumen bacterium" 0 0 0 0 0 0 0 0 0 0 0 9153 0 0 91 0 0 0 60
"unidentified rumen bacterium RFN46" 0 0 0 0 0 0 0 0 0 0 0 128 0 0 0 0 0 0 0
"unidentified rumen bacterium RFN47" 0 0 0 0 0 0 0 0 0 0 0 565 0 0 0 0 0 0 0
"unidentified rumen bacterium RFN73" 0 0 0 0 0 0 0 0 0 0 0 332 0 0 0 0 0 0 0
"unidentified rumen bacterium RFN86" 0 0 0 0 0 0 0 0 0 0 0 175 0 0 0 0 0 0 0
"Winogradskyella" 0 0 0 0 0 0 0 0 0 0 0 1202 0 0 0 0 0 0 0
"28-4" 0 0 0 0 0 0 0 0 0 0 0 0 0 216 0 0 0 0 0
"Acinetobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 549 9249 312 0 1957 6814
"Lachnoclostridium 12" 0 0 0 0 0 0 0 0 0 0 0 0 0 461 0 0 0 0 0
"Lachnospiraceae UCG-007" 0 0 0 0 0 0 0 0 0 0 0 0 0 7955 0 0 0 0 0
"Lachnospiraceae UCG-009" 0 0 0 0 0 0 0 0 0 0 0 0 0 3026 0 0 0 0 0
"Pygmaiobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 177 0 0 0 0 0
"uncultured alpha proteobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 0 0 0 0
"Pseudobutyrivibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 161 0 0 0 0
"Acholeplasma" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 730 0 0 0
"Acidovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 308 0 0 0
"Alishewanella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3059 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2089 0 0 0
"Altererythrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 138 0 0 0
"Anaerocolumna" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 198 0 0 0
"Aquabacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 183 0 0 0
"Arthrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 603 0 0 0
"Brevundimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 769 0 0 0
"Caryophanon" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 0 0
"Cellulosimicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 142 0 0 0
"Cellvibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 507 0 0 0
"Clostridium sensu stricto 3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 494 0 0 0
"Defluviimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 310 0 0 0
"Devosia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 507 0 0 0
"Flavobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7645 0 225 0
"Fluviicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1067 0 0 0
"Ketogulonicigenium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 433 0 0 0
"Leucobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 611 0 0 0
"Nocardioides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7094 0 0 0
"Paenibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3821 0 0 0
"Pseudacidovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 273 0 0 0
"Psychrobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5186 0 0 0
"Rhodococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 368 0 0 0
"Sphingobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 557 0 0 0
"Sphingopyxis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 997 0 0 0
"Stenotrophomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14816 0 0 0
"Taibaiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 768 0 0 0
"Olsenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 418 0 0
"Intestinimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 259 0
