"D08180" "D08181" "D08182" "D08183" "D08184" "D08185" "D08186" "D08187" "D08188" "D08189" "D08190" "D08191" "D08192" "D08193" "D08194" "D08195" "D08196" "D08197" "D08198"
"Succinivibrio" 431 134 289 400 732 4138 490 808 1876 421 298 1523 32 43 62 51 62 38 41
"Treponema 2" 706 1262 4178 1054 804 811 528 976 710 785 2957 407 12 55 109 35 71 28 63
"Turicibacter" 17 38 0 248 22 12 28 18 15 23 99 639 12 0 27 13 22 0 0
"Tyzzerella" 17 0 10 30 16 0 0 0 21 19 31 33 0 0 17 22 30 0 16
"Tyzzerella 4" 307 269 171 281 233 496 234 257 348 308 272 310 415 298 484 958 2441 295 334
"Victivallis" 92 74 88 71 74 39 69 74 78 73 35 62 0 0 0 0 0 0 0
"Campylobacter" 0 51 14 14 0 0 731 0 24 13 24 0 0 0 0 30 9 0 0
"Desulfovibrio" 0 22 0 0 0 0 0 0 0 0 22 9 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 12 45 939 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0
"Fusobacterium" 0 1346 1529 0 0 0 0 0 0 3553 447 1194 0 0 0 0 0 0 0
"Methanocorpusculum" 0 1686 1222 84 0 0 0 260 0 327 48 13 0 0 0 0 0 0 0
"Mucispirillum" 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parabacteroides" 0 22 0 41 28 0 42 20 30 36 44 80 0 0 0 106 0 0 0
"Rhodococcus" 0 65 221 15 0 0 0 0 0 0 24 141 0 0 0 0 0 0 0
"Achromobacter" 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Actinosynnema" 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aeromicrobium" 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amycolatopsis" 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arthrobacter" 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bifidobacterium" 0 0 53 0 0 0 0 0 0 0 0 108 0 0 0 0 0 0 0
"Enterobacter" 0 0 8 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gaiella" 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hyphomicrobium" 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-001" 0 0 10 0 24 0 0 0 0 0 0 12 21 27 64 195 108 0 16
"Phenylobacterium" 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudarthrobacter" 0 0 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 0 0 65 437 0 0 0 0 0 0 15 13 0 0 0 0 0 0 0
"Ramlibacter" 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhodopseudomonas" 0 0 12 0 0 0 0 0 0 0 93 67 0 0 0 0 0 0 0
"Rubellimicrobium" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rubrobacter" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingomonas" 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sporichthya" 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Streptomyces" 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 0 8518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aerococcus" 0 0 0 251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aeromonas" 0 0 0 265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aerosphaera" 0 0 0 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alkalibacterium" 0 0 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alloiococcus" 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Altererythrobacter" 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphibacillus" 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atopostipes" 0 0 0 379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 0 0 0 66 0 8 0 0 10 0 0 0 19 0 231 0 0 0 0
"Brevibacterium" 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cellulosilyticum" 0 0 0 28 0 12 0 15 0 11 37 21 0 0 10 0 0 0 0
"Chryseobacterium" 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Citricoccus" 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 6" 0 0 0 41 0 0 0 0 9 15 68 21 0 0 0 0 0 0 0
"Comamonas" 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corynebacterium" 0 0 0 13 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0
"Corynebacterium 1" 0 0 0 176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Defluviimonas" 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Desemzia" 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dietzia" 0 0 0 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enhydrobacter" 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enteractinococcus" 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterococcus" 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Exiguobacterium" 0 0 0 1809 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Facklamia" 0 0 0 280 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Geobacter" 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gillisia" 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hahella" 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jeotgalibaca" 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jeotgalicoccus" 0 0 0 422 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kocuria" 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kurthia" 0 0 0 205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-009" 0 0 0 17 0 0 0 0 0 0 12 0 31 53 37 205 0 58 73
"Luteimonas" 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lysinibacillus" 0 0 0 22 0 0 0 0 0 0 18 16 14 0 26 0 0 0 0
"Macrococcus" 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Massilia" 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Moraxella" 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Neisseria" 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ornithinimicrobium" 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Planococcus" 0 0 0 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Planomicrobium" 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pontibacter" 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacter" 0 0 0 257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 5" 0 0 0 12 0 0 0 24 0 16 22 0 71 39 106 65 66 14 22
"Salinicoccus" 0 0 0 447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solibacillus" 0 0 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Streptococcus" 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trabulsiella" 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vibrio" 0 0 0 268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"W5053" 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"XBB1006" 0 0 0 19 0 0 13 0 15 0 0 0 27 0 31 222 19 23 0
"Yaniella" 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] eligens group" 0 0 0 0 0 17 0 0 0 28 17 20 106 54 49 101 0 49 45
"hoa5-07d05 gut group" 0 0 0 0 0 15 0 0 0 17 0 0 0 0 0 0 0 23 0
"Ruminococcaceae V9D2013 group" 0 0 0 0 0 0 32 0 0 0 0 0 0 0 14 0 0 0 0
"CAG-352" 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0
"Fibrobacter" 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
"Methanobrevibacter" 0 0 0 0 0 0 0 0 28 0 0 35 0 73 152 0 0 0 0
"Odoribacter" 0 0 0 0 0 0 0 0 23 17 0 87 0 0 0 20 0 0 0
"Family XIII UCG-001" 0 0 0 0 0 0 0 0 0 11 19 0 7 0 0 18 0 0 0
"horsej-a03" 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0
"Sarcina" 0 0 0 0 0 0 0 0 0 0 12 18 0 0 0 0 0 0 0
"Terrisporobacter" 0 0 0 0 0 0 0 0 0 0 58 0 0 0 19 0 0 0 0
"[Eubacterium] xylanophilum group" 0 0 0 0 0 0 0 0 0 0 0 103 0 0 0 23 0 0 0
"A2" 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0
"Adlercreutzia" 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0
"Caldicoprobacter" 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0
"Coriobacteriaceae UCG-002" 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0
"Dubosiella" 0 0 0 0 0 0 0 0 0 0 0 1173 0 0 0 0 0 0 0
"Enterorhabdus" 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0
"Faecalibaculum" 0 0 0 0 0 0 0 0 0 0 0 161 0 0 0 0 0 0 0
"GCA-900066575" 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0
"Ileibacterium" 0 0 0 0 0 0 0 0 0 0 0 974 0 0 0 0 0 0 0
"Lachnospiraceae UCG-006" 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 0 0 0 0 0 0 0 0 1161 0 0 0 0 0 0 0
"Succinimonas" 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0
"UC5-1-2E3" 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 63 0 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 0 0 25 0 111 56 56 0 30
"[Eubacterium] fissicatena group" 0 0 0 0 0 0 0 0 0 0 0 0 37 0 45 0 0 25 29
"Anaerobium" 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 15 0 0 0
"Anaerocolumna" 0 0 0 0 0 0 0 0 0 0 0 0 39 0 24 13 0 0 0
"Anaeroplasma" 0 0 0 0 0 0 0 0 0 0 0 0 131 0 40 0 0 7 37
"Candidatus Stoquefichus" 0 0 0 0 0 0 0 0 0 0 0 0 16 0 61 0 49 0 14
"Eisenbergiella" 0 0 0 0 0 0 0 0 0 0 0 0 22 162 16 0 0 31 0
"Erysipelatoclostridium" 0 0 0 0 0 0 0 0 0 0 0 0 115 40 154 0 0 71 94
"Faecalibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 20 18 30 59 0 0 42
"Lachnoclostridium 5" 0 0 0 0 0 0 0 0 0 0 0 0 24 79 65 164 61 0 0
"Mogibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 21
"Parvibacter" 0 0 0 0 0 0 0 0 0 0 0 0 18 26 78 357 123 0 22
"possible genus Sk018" 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0
"[Eubacterium] hallii group" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0
"Lachnospiraceae NK3A20 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 22
"Methanosphaera" 0 0 0 0 0 0 0 0 0 0 0 0 0 25 37 0 41 0 0
"Sporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0
"Dielma" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 22
"Erysipelotrichaceae UCG-004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 24 0 0 0
"Lachnospiraceae ND3007 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 25 0 16 22
"Ruminococcaceae UCG-001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0
"Ruminococcaceae UCG-008" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 50 0 0 12
"Gordonibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0
"Marvinbryantia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0
"Atopobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0
"Tyzzerella 3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93 0 0
