"D08036" "D08037" "D08038" "D08039" "D08040" "D08041" "D08042" "D08043" "D08044" "D08045" "D08046" "D08047" "D08048" "D08049" "D08053" "D08054" "D08056" "D08058" "D08060" "D08061" "D08066" "D08067" "D08068" "D08069" "D08072" "D08076" "D08077" "D08078" "D08079" "D08131" "D08133" "D08135" "D08138" "D08139" "D08140" "D08141" "D08146" "D08147" "D08149"
"dgA-11 gut group" 109 59 41 228 0 59 145 49 98 132 0 73 78 204 116 99 92 151 146 332 97 194 308 319 195 60 95 97 0 129 151 67 272 70 102 53 37 163 0
"Erysipelotrichaceae UCG-004" 85 0 153 89 0 15 505 0 0 284 27 91 0 35 147 509 1515 292 53 190 35 70 298 154 231 350 15 88 70 0 0 40 42 0 64 28 0 33 0
"Family XIII AD3011 group" 141 125 115 181 117 292 134 270 67 258 393 134 315 291 448 329 737 374 424 480 244 292 585 500 318 77 186 361 219 119 44 94 104 62 83 135 0 58 0
"Fibrobacter" 2272 211 301 126 265 0 0 0 31 0 0 56 487 93 41 20 0 0 72 27 126 34 108 137 26 535 300 42 183 184 0 60 549 2348 272 3060 91 854 230
"GCA-900066225" 40 36 59 32 42 50 39 91 80 73 51 45 75 49 0 0 0 0 16 0 22 0 0 0 0 35 36 58 70 0 0 0 0 0 0 0 0 0 0
"hoa5-07d05 gut group" 51 0 36 66 13 46 0 0 15 44 0 10 17 105 51 20 0 43 81 0 126 32 0 0 44 0 213 89 17 371 175 641 342 286 94 920 135 474 659
"Lachnoclostridium 10" 586 328 486 249 49 21 162 0 0 76 183 59 2046 85 0 0 0 0 41 0 0 0 0 0 0 22 98 312 308 0 28 0 11 109 287 31 0 65 0
"Lachnospiraceae AC2044 group" 334 490 1315 506 714 480 916 1697 0 204 168 282 1365 205 308 778 1015 693 1597 862 1198 1433 1067 1159 1159 189 597 389 662 940 1616 468 515 3008 1399 1123 266 1838 6183
"Lachnospiraceae FCS020 group" 822 0 0 0 59 55 48 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 27 21 0 52 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NC2004 group" 25 0 52 34 0 0 0 0 0 0 0 14 0 68 0 0 0 17 0 0 0 0 0 0 36 0 0 0 7 0 0 0 0 32 0 0 7 0 0
"Lachnospiraceae ND3007 group" 70 335 60 223 165 619 0 116 0 114 276 48 51 294 587 107 421 186 418 286 808 555 118 147 234 240 0 227 173 0 282 241 68 119 0 128 236 185 259
"Lachnospiraceae NK4A136 group" 1169 325 42 199 409 355 140 116 26 110 37 137 204 340 1283 1218 987 663 1497 914 745 1210 830 1029 804 203 392 243 315 311 149 338 274 1480 168 141 279 1042 939
"Lachnospiraceae UCG-006" 40 136 60 0 82 0 76 0 0 0 116 98 154 0 79 58 67 85 138 86 107 69 41 48 67 49 92 55 72 0 42 0 0 162 0 0 0 110 114
"Lachnospiraceae UCG-008" 110 178 0 27 49 0 53 76 0 0 487 937 0 0 45 250 156 216 87 157 107 175 488 428 156 0 0 28 0 136 178 193 24 408 73 313 228 195 238
"Lachnospiraceae UCG-009" 825 283 178 349 195 346 282 641 109 128 175 161 425 430 500 586 161 946 771 350 701 602 564 771 980 220 434 174 545 123 140 89 183 555 278 337 45 406 308
"Lachnospiraceae XPB1014 group" 193 69 166 79 127 86 233 135 0 49 213 76 54 57 63 369 607 176 378 121 206 369 220 263 1076 118 0 83 194 734 522 165 812 799 654 596 331 321 659
"Marvinbryantia" 31 0 0 0 0 45 0 0 0 0 65 0 31 0 48 370 159 198 41 37 241 47 74 86 158 0 0 0 0 0 9 0 0 114 15 0 0 65 95
"Methanocorpusculum" 317 333 141 784 221 358 139 81 850 423 245 431 263 310 380 0 167 0 228 0 106 163 30 23 122 642 1099 482 187 26 0 0 13 0 57 0 0 39 0
"Mycoplasma" 99 65 173 129 93 0 111 0 0 110 0 0 59 0 213 0 229 0 0 0 0 0 88 0 209 469 94 0 0 0 57 56 0 0 0 41 9 0 24
"Oribacterium" 48 376 47 151 78 383 91 216 110 121 333 0 86 153 898 508 329 958 1086 592 757 1450 497 639 1003 83 37 365 143 404 578 745 351 257 346 416 586 292 379
"p-1088-a5 gut group" 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 52
"Papillibacter" 355 757 648 530 499 373 336 182 494 192 183 927 424 355 0 0 0 320 595 243 298 498 147 299 357 427 419 344 516 149 100 374 149 181 0 0 190 332 179
"Phascolarctobacterium" 341 569 633 528 597 675 417 627 947 630 578 361 631 526 477 205 95 322 697 562 445 991 252 389 142 624 736 475 697 336 1154 1146 476 911 485 765 503 976 712
"Prevotella 1" 356 469 216 175 66 366 0 0 34 109 82 49 53 794 941 850 205 623 819 326 1347 439 183 153 396 82 297 115 243 0 0 0 63 0 0 0 0 60 0
"Prevotellaceae UCG-001" 19 193 148 0 0 588 163 147 16 0 0 0 59 89 121 0 182 34 465 0 258 277 0 0 58 28 0 0 47 0 0 45 353 45 0 69 57 145 0
"Prevotellaceae UCG-003" 117 191 197 21 150 142 80 239 224 190 295 61 72 158 178 318 212 187 237 430 218 256 505 542 251 134 187 85 94 13 0 178 90 151 171 381 303 617 0
"Prevotellaceae UCG-004" 523 830 770 427 415 67 602 521 423 151 274 205 598 536 135 226 231 744 243 402 353 59 151 225 199 153 419 487 315 12 591 389 0 675 291 534 424 916 387
"Pseudobutyrivibrio" 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 142 58 0 33 65 56 43 43 50 0 0 0 0 0 30 0 36 0 0 0 0 50 0 58
"Rikenellaceae RC9 gut group" 10447 10984 11808 17077 12310 9053 9948 7976 13451 10836 17059 10414 12110 14766 11191 4932 11169 6704 7202 7226 5074 8486 6685 6804 6676 11264 11515 11462 11723 5470 6635 6153 8841 5053 7291 5748 7538 7151 4935
"Ruminiclostridium 1" 53 17 36 72 209 48 0 0 0 0 0 0 56 0 0 0 164 70 0 0 0 0 113 131 84 44 0 0 0 18 160 49 49 84 62 102 43 229 409
"Ruminococcaceae NK4A214 group" 1353 2181 1846 1775 1917 1475 1444 1489 930 1373 1583 4534 1211 1143 1329 2462 3051 2210 1726 1371 2087 1522 2423 2434 3250 1693 1130 1484 861 3199 3067 3349 1789 1561 1179 1090 2300 2193 2625
"Ruminococcaceae UCG-002" 1483 1444 3662 3141 1476 2087 1867 2379 1754 1576 2109 1302 2521 1840 433 582 679 379 811 1553 801 387 426 542 743 1103 2207 1441 1660 922 852 811 578 382 332 1110 430 390 859
"Ruminococcaceae UCG-004" 18 14 0 16 0 0 33 0 0 0 0 0 0 0 0 0 46 45 0 0 0 0 62 0 139 0 0 0 0 32 71 36 0 33 0 27 0 66 164
"Ruminococcaceae UCG-005" 558 781 466 337 668 477 185 1316 387 375 660 1813 631 485 314 884 535 1003 761 435 815 605 245 384 1330 465 542 464 365 345 432 432 568 574 317 932 265 776 797
"Ruminococcaceae UCG-010" 1283 2066 2111 1520 1327 1519 812 1085 986 1189 1146 1984 1694 1577 904 1947 1995 2155 1071 2647 1198 1136 2454 2980 1794 1538 1497 1708 1132 765 1520 1263 534 737 364 692 1087 2123 2148
"Ruminococcaceae UCG-013" 37 588 224 59 1902 79 527 1477 298 301 858 1016 137 62 241 143 258 356 81 245 320 153 17 24 168 19 164 255 99 114 62 321 148 40 132 75 26 79 0
"Ruminococcaceae UCG-014" 941 729 829 1363 1153 1726 616 2572 1362 1174 804 726 617 874 1270 1241 612 1446 905 1180 334 877 652 435 1656 830 766 1888 930 100 428 397 145 60 39 41 135 293 717
"Ruminococcaceae V9D2013 group" 90 210 191 132 127 106 70 244 131 66 86 260 144 106 85 52 69 102 174 0 0 211 0 74 135 140 96 148 168 0 0 0 56 0 86 41 0 10 40
"Ruminococcus 1" 1073 945 841 534 858 526 1410 740 99 389 447 385 875 305 342 1936 0 766 1058 763 1461 535 569 651 528 533 1018 589 757 217 44 103 0 585 15 80 103 137 1332
"Saccharofermentans" 181 229 99 154 118 136 235 0 0 0 234 135 293 56 0 29 0 0 0 0 146 77 111 83 0 231 276 333 116 0 0 27 0 218 0 0 0 0 56
"Sediminispirochaeta" 18 30 33 20 0 22 0 0 50 17 24 0 16 0 0 0 0 0 13 0 0 15 0 0 0 59 65 20 39 41 32 59 26 9 0 75 18 58 60
"SP3-e08" 101 33 153 32 164 227 197 163 282 80 188 114 433 92 129 0 142 0 35 0 85 24 82 106 21 79 96 168 65 102 108 365 58 77 77 239 279 47 130
"Treponema 2" 3269 980 1117 894 827 1680 1573 1214 520 405 233 247 2113 680 3778 3876 880 3986 2126 2404 1456 1093 2780 3518 2944 850 1801 664 1414 78 45 85 1137 1586 863 1227 433 978 1112
"Unclassified" 13159 14864 15157 12483 17299 15708 19675 13546 16666 20876 17313 17383 12661 16739 17504 12692 14665 15038 15537 19454 12479 15042 20147 17844 15135 17560 15707 19310 16211 8293 8297 10605 8290 8731 6276 10915 6888 10489 10109
"uncultured bacterium" 9222 8757 6740 8692 7061 7810 5389 6639 7409 8320 6663 5114 7458 6858 8209 5326 5020 6256 5018 8803 5290 6128 9051 9697 6450 8155 8084 6626 7235 6178 7724 7183 9006 11254 9082 11177 6557 7161 7539
"uncultured rumen bacterium" 103 167 129 250 97 229 0 20 200 311 150 116 156 166 643 197 291 310 523 240 114 486 621 635 345 652 241 167 306 213 86 342 143 0 923 313 242 712 203
"[Anaerorhabdus] furcosa group" 0 27 37 51 33 47 0 0 44 36 0 27 0 13 0 0 0 0 0 0 0 0 0 0 0 17 36 23 0 0 0 28 0 0 0 0 0 0 15
"Agathobacter" 0 40 0 0 13 0 0 0 0 0 0 0 0 0 0 199 74 0 0 0 0 0 76 102 0 0 0 0 0 56 81 65 0 270 0 54 46 89 123
"Campylobacter" 0 31 37 113 0 0 297 60 0 0 18 0 17 38 388 40 0 118 225 164 303 260 65 48 0 0 83 25 159 32 135 146 0 28 22 19 63 41 143
"Desulfurispora" 0 22 0 0 0 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 22 0 0 0 0 0 0 0 0 0 0 0 0
"FD2005" 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 22
"GCA-900066575" 0 167 0 26 0 115 0 0 0 16 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 34 120 0 0 0 0 0 0 0 0 0 0
"Halomonas" 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 22 0 0 18 75 0 103 0 0 0 0 0 19 0 476 0 0 323 78 555 11 73 103 0 21 24 40 0 0 0 0 0 0 0 0 0 0 0
"Oscillibacter" 0 28 25 59 0 35 0 39 0 0 0 0 27 31 0 0 0 0 38 0 75 0 0 0 0 10 0 17 29 0 15 0 0 0 0 0 0 21 0
"Prevotella 9" 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 23 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium" 0 49 62 66 48 36 70 0 38 0 64 421 95 0 0 0 71 89 29 41 30 0 80 122 41 56 0 46 0 31 24 29 0 0 0 0 21 0 0
"Ruminococcaceae UCG-011" 0 26 0 0 0 0 54 0 0 32 0 0 21 17 0 36 0 0 0 0 12 0 0 0 118 107 20 75 0 0 0 0 0 0 0 0 0 0 0
"Salegentibacter" 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sporobacter" 0 43 0 37 63 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] ventriosum group" 0 0 0 13 0 0 29 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium 12" 0 0 0 20 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-012" 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alistipes" 0 0 0 0 0 89 58 0 0 0 0 0 0 0 592 0 88 29 171 0 41 385 0 0 0 19 0 0 0 0 224 120 0 31 35 75 61 33 16
"Anaerovibrio" 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 55 0 0 0 0 49 21 0 0 0 0 0 0 0 0 0 0 35 0 0 26 0 0 0
"Eubacterium" 0 0 0 0 0 69 45 0 0 32 0 0 21 42 55 12 54 24 64 39 42 68 78 38 128 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Faecalitalea" 0 0 0 0 0 23 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mucinivorans" 0 0 0 0 0 32 0 26 0 63 54 53 0 0 46 0 33 11 14 0 24 0 42 0 0 0 0 31 0 0 0 0 28 0 0 34 0 0 0
"Enhydrobacter" 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 0 0 0 0 0 0 15 0 0 0 51 0 0 0 27 0 0 0 37 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phoenicibacter" 0 0 0 0 0 0 0 49 0 0 0 23 0 0 112 75 419 0 0 0 0 35 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcus 2" 0 0 0 0 0 0 0 106 0 0 0 0 0 12 0 34 0 0 34 36 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0 0 0 175 0
"Sphingomonas" 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Streptococcus" 0 0 0 0 0 0 0 49 0 0 0 0 0 0 158 1311 980 1221 455 149 9414 188 1180 796 999 0 0 0 0 0 46 32 10 0 0 0 12 117 105
"uncultured Lachnospiraceae bacterium" 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 21 0 15 0 0 0 0 0 15 0 0 0 24 0 0 41 30 0 0 19 22
"Candidatus Endomicrobium" 0 0 0 0 0 0 0 0 12 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 28 0 0 0 0 0 0 0 0 0
"Elusimicrobium" 0 0 0 0 0 0 0 0 28 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 103 0 0 40 0 88 54 0 44 0
"unidentified rumen bacterium RF3" 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] nodatum group" 0 0 0 0 0 0 0 0 0 0 20 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Saccharimonas" 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 91 0 0 0 0 88 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0
"Lachnospiraceae UCG-002" 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 13
"Pygmaiobacter" 0 0 0 0 0 0 0 0 0 0 0 52 0 0 0 52 0 50 24 80 56 0 27 35 26 0 36 0 0 0 0 0 0 0 0 0 0 0 0
"Family XIII UCG-001" 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ralstonia" 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 21 62 55 0 15 109 0 16 87 0 0 0 0 0 0 0 0 0 0 0 0 304 46
"Lachnoclostridium 5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 12 0 0 132 0 136 0 0 0 0 0 0 0 0 22 32 0 20 164 17 0 68 0 0
"Sarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blautia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 59 0 0 0 60 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanobrevibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 113 223 24 16 0 0 0 278 86 119 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mogibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 152 192 0 57 0 0 0 101 86 0 0 0 0 0 196 92 106 74 0 0 0 0 0 0
"probable genus 10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 54 128 33 24 0 0 143 184 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Roseburia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acetitomaculum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 32 53 0 0 0 0 0 0 0 0 0 105 53 36 150 90 144 30 148 93
"Achromobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerofustis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0
"Atopostipes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Caldicoprobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Castellaniella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Comamonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprococcus 2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 26 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corynebacterium 1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Delftia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gillisia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 34 107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Janibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pelomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotella 7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudooceanicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ramlibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 29 41 56 314 0 0 0 52 0 0 0 0 0 0 0 0 0 0 22 0 0 0
"Thermomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-007" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NK4B4 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erysipelatoclostridium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 71 0 0 24 0 24 26 0 0
"Z20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 69 0 37 0 0 35 0 145
"[Eubacterium] saphenum group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Porphyromonadaceae bacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0
"horsej-a03" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 55 0 0 0 30 0 0 0
"Eisenbergiella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 12 0 0 10 0 0
"Ruminiclostridium 6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0
"Defluviitaleaceae UCG-011" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 37
"Peptococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0
"Pyramidobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 42 0
"Quinella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 21 87 161
"Lachnospiraceae UCG-003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0
"Hydrogenoanaerobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 13
"uncultured prokaryote" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0
"Actinobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57
"Methanimicrococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12
"Terrisporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37
