"D05808" "D05809" "D05810" "D05812" "D05813" "D05814" "D05815" "D05816" "D05817" "D05818" "D05819" "D05820" "D05830" "D05831" "D05832" "D05834" "D05835" "D05836" "D05838" "D05839" "D05844" "D05845" "D05846"
"Terrimicrobium" 0 0 0 0 0 0 9 0 0 0 0 1297 0 36 8 0 12 15 41 0 0 0 0
"Thiocapsa" 0 0 0 0 0 0 6 0 0 0 0 317 34 185 0 0 0 0 0 0 0 0 0
"Thiocystis" 0 0 0 0 0 0 12 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0
"Tropicimonas" 0 0 0 0 0 0 14 0 0 0 0 181 8 236 0 0 78 0 0 0 0 0 0
"Desulfobulbus" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arcobacter" 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 6 0 0 0
"Candidatus Aquiluna" 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 52 0 0
"Hydrogenophaga" 0 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0 103 0 0
"Limnohabitans" 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 15 0 0
"MWH-UniP1 aquatic group" 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 33 0 0
"Novispirillum" 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pelomonas" 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"Polynucleobacter" 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 32 0 0
"Rheinheimera" 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 19 0 0
"Rubellimicrobium" 0 0 0 0 0 0 0 0 0 7 0 0 0 16 0 0 0 0 0 0 0 0 15
"Actinoplanes" 0 0 0 0 0 0 0 0 0 0 0 549 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Chloroploca" 0 0 0 0 0 0 0 0 0 0 0 71 0 20 0 0 12 0 0 0 0 0 0
"Chitinibacter" 0 0 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 73 0 0
"Desulfovibrio" 0 0 0 0 0 0 0 0 0 0 0 443 0 0 0 0 0 0 0 0 0 0 0
"Nodosilinea PCC-7104" 0 0 0 0 0 0 0 0 0 0 0 227 0 0 0 0 83 0 0 0 0 0 0
"Snowella 0TU37S04" 0 0 0 0 0 0 0 0 0 0 0 228 0 0 0 0 0 0 0 0 0 0 0
"Synechocystis SAG 90.79" 0 0 0 0 0 0 0 0 0 0 0 153 0 0 0 0 0 0 0 0 0 0 0
"Thiobaca" 0 0 0 0 0 0 0 0 0 0 0 270 0 0 0 0 0 0 0 0 0 0 0
"uncultured Bacteroidetes bacterium" 0 0 0 0 0 0 0 0 0 0 0 385 0 0 0 0 0 0 0 0 0 0 0
"Bdellovibrio" 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0
"Candidatus Competibacter" 0 0 0 0 0 0 0 0 0 0 0 0 6 99 0 0 39 0 0 0 0 0 0
"Candidatus Contendobacter" 0 0 0 0 0 0 0 0 0 0 0 0 9 56 0 0 25 0 0 0 0 0 0
"Candidatus Saccharibacteria bacterium RAAC3_TM7_1" 0 0 0 0 0 0 0 0 0 0 0 0 6 0 7 0 0 0 0 0 0 0 0
"Corynebacterium 1" 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 6 0 0
"Cyanobacterium PCC-10605" 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0
"Defluviicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 15 133 0 0 39 0 0 0 0 0 0
"Desulfobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 13 108 0 0 25 0 0 0 0 0 0
"Gleocapsa" 0 0 0 0 0 0 0 0 0 0 0 0 6 13 0 0 0 0 0 0 0 0 0
"Halochromatium" 0 0 0 0 0 0 0 0 0 0 0 0 23 161 0 0 22 0 0 0 0 0 0
"Hyphomicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 4 12 0 0 0 0 0 0 0 0 0
"Ilumatobacter" 0 0 0 0 0 0 0 0 0 0 0 0 10 9 0 0 0 0 0 0 0 0 0
"Sandaracinobacter" 0 0 0 0 0 0 0 0 0 0 0 0 7 59 0 0 42 0 0 0 0 0 0
"Spirulina CCC Snake P-Y-85" 0 0 0 0 0 0 0 0 0 0 0 0 3 35 0 0 114 0 0 0 0 0 0
"Sva0081 sediment group" 0 0 0 0 0 0 0 0 0 0 0 0 10 141 0 0 31 0 0 0 0 0 0
"Synechococcus MBIC10613" 0 0 0 0 0 0 0 0 0 0 0 0 125 2319 0 0 85 0 0 0 0 0 0
"Thiohalocapsa" 0 0 0 0 0 0 0 0 0 0 0 0 61 722 0 0 52 0 0 0 0 0 0
"966-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0
"Candidatus Accumulibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0
"Candidatus Alysiosphaera" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 2 0 0 0 0 0 0
"Candidatus Thiosymbion" 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0
"Desulfatiglans" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 7 0 0 0 0 0 0
"Desulfobacca" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"Desulfovirga" 0 0 0 0 0 0 0 0 0 0 0 0 0 102 0 0 21 0 0 0 0 0 0
"Falsirhodobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
"Merismopedia 0BB39S01" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0
"Methanobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"Methylocaldum" 0 0 0 0 0 0 0 0 0 0 0 0 0 71 14 0 22 0 0 0 0 0 0
"Methyloceanibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"Microcystis PCC-7914" 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 12 0 0 0 0 0 18
"Pannonibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0
"Phormidium IAM M-71" 0 0 0 0 0 0 0 0 0 0 0 0 0 68 20 0 8 0 0 0 0 0 0
"Porphyrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 8 0 0 0
"Pseudohoeflea" 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0
"Rhodobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 44
"Rhodopirellula" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"Roseivivax" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"Roseomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 147 0 0 24 0 0 0 0 0 12
"Rubrimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 13 0 0 0 0 0 0
"Sva0996 marine group" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"[Eubacterium] nodatum group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0
"Azospirillum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
"Bilateria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 424 0 0 12 0 0 0 0 0
"Candidatus Planktoluna" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
"Candidatus Xiphinematobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0
"Enhydrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"Halobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 14 0 0 0 0 0 0
"Ralstonia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 11 0 0 0 0 0 0
"Streptococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0
"Paracoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 25 0 0
"Actinomycetospora" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
"Ancylobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"Arthronema SAG 12.89" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0
"Cryomorpha" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 8
"Dechloromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"Dermacoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"Desulfomonile" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0
"Desulfosarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0
"Gemmobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 26 0 0 7
"Herbinix" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0
"Methanosaeta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"Mycobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
"Nitratireductor" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 12
"Nocardioides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"Pelolinea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"Pseudokineococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"Roseobacter clade CHAB-I-5 lineage" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0
"Roseovarius" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"Shinella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0
"SM1A02" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"Subgroup 23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0
"uncultured soil bacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0
"Synechococcus CC9902" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 13 14 0 0 0
"GKS98 freshwater group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 9 0 0 0
"Lactococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0
"Acinetobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 18 0 0
"Altererythrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"Schizothrix LEGE 07164" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
"Algoriphagus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0
"Azoarcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Blastococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"Caedibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 0 0
"Candidatus Megaira" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 188 0 0
"Candidatus Trichorickettsia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0
"Defluviimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
"Delftia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
"Devosia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Gemmatimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0
"NS3a marine group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0
"Vogesella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
