"D11574" "D11575" "D11576" "D11577" "D11580" "D11581" "D11586" "D11587" "D11588" "D11589" "D11590" "D11591"
"Family XIII UCG-001" 489 1631 1003 3803 796 1833 1433 0 4424 3522 0 536
"Fibrobacter" 1928 2226 7332 4493 0 3555 7485 0 13993 5289 0 1030
"Fournierella" 880 0 0 0 602 0 0 0 0 0 0 0
"horsej-a03" 2960 0 0 0 0 0 0 0 0 0 0 0
"Intestinibacter" 742 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium" 1989 2651 3217 740 1911 846 592 0 0 0 416 0
"Lachnoclostridium 12" 653 0 713 0 0 0 0 0 0 0 0 0
"Lachnospiraceae FCS020 group" 482 461 0 0 348 0 7866 15770 9492 13242 9776 10274
"Lachnospiraceae NC2004 group" 316 0 3593 0 218 0 0 0 0 0 0 0
"Lachnospiraceae NK4A136 group" 6804 9993 12178 5146 14324 10652 2404 3139 3199 3665 2340 7759
"Lachnospiraceae UCG-004" 317 1994 0 0 2622 0 0 978 0 0 2666 3925
"Lachnospiraceae XPB1014 group" 22099 473 18399 6169 22214 17562 0 0 0 0 0 0
"Lactobacillus" 18498 6595 19972 0 1774 566 0 6929 0 0 0 5983
"Methanobrevibacter" 442 0 421 311 292 519 0 0 0 0 0 0
"Olsenella" 234 0 0 0 662 0 0 0 0 0 0 0
"Oribacterium" 1104 4119 967 3033 4749 3627 561 1703 0 458 1148 2651
"Oscillibacter" 423 335 0 1378 557 0 0 0 0 0 237 0
"p-1088-a5 gut group" 1264 0 1162 0 1219 8345 873 487 2951 892 0 0
"Parasutterella" 8565 0 37232 9984 0 1000 0 0 0 0 0 0
"Phascolarctobacterium" 5249 7315 5548 8990 7390 11992 0 8578 808 0 9151 9606
"Prevotella 1" 5031 7901 18176 39824 17955 12983 0 0 0 0 0 0
"Prevotella 2" 6699 652 0 0 1477 0 0 0 0 0 0 0
"Prevotella 7" 15295 80871 6093 30461 37125 43725 360 6445 0 0 0 0
"Prevotella 9" 18467 20848 6653 6079 54670 10882 0 31652 974 300 4426 39378
"Prevotellaceae UCG-001" 14626 13116 13214 4971 6656 28571 0 0 0 0 0 0
"Prevotellaceae UCG-003" 5371 3612 12273 3988 1141 2220 0 0 0 0 0 0
"Prevotellaceae UCG-004" 240 0 1345 896 709 0 0 0 0 0 0 0
"Pyramidobacter" 725 0 419 285 227 1234 0 0 0 0 0 0
"Rikenellaceae RC9 gut group" 16121 3871 15099 7414 27144 6788 51700 17947 42619 81606 21411 20549
"Ruminiclostridium 6" 4853 685 7184 1128 4010 1053 0 0 0 0 0 0
"Ruminiclostridium 9" 1614 3434 617 1829 5857 1378 2199 1181 0 2348 1471 2278
"Ruminobacter" 397 2295 1743 2112 2041 1945 0 0 0 0 0 0
"Ruminococcaceae NK4A214 group" 15758 14469 20421 16762 22333 15320 34476 18134 34305 52179 20459 23271
"Ruminococcaceae UCG-001" 404 0 0 583 0 7191 0 0 0 0 0 0
"Ruminococcaceae UCG-002" 16619 9211 12674 20486 12782 9817 3262 1079 3099 8420 1421 0
"Ruminococcaceae UCG-003" 1336 2634 0 472 2542 602 0 0 0 0 0 0
"Ruminococcaceae UCG-005" 15320 15511 12784 20353 30088 20776 9737 3014 10219 15113 5114 6186
"Ruminococcaceae UCG-008" 894 1085 265 1402 1894 834 6743 0 15196 7172 2295 2213
"Ruminococcaceae UCG-009" 1265 0 2279 290 325 343 0 0 0 0 0 0
"Ruminococcaceae UCG-010" 18843 3781 17353 11488 12313 17054 13958 7606 26109 15984 4995 3892
"Ruminococcaceae UCG-014" 13367 4512 18562 5320 8877 8542 616 8585 30179 3012 6408 0
"Ruminococcus 1" 6630 565 12495 4852 5547 13125 1024 0 4692 3679 739 0
"Schwartzia" 902 0 3713 0 0 0 0 0 0 0 0 0
"Senegalimassilia" 1238 0 0 0 529 0 0 0 0 0 0 0
"Slackia" 704 0 0 0 636 222 0 296 2563 0 0 0
"Sphaerochaeta" 30733 1062 20402 8788 10089 16382 3268 0 1932 2692 0 0
"Subdoligranulum" 1945 4218 0 1430 6190 3411 0 396 846 0 923 0
"Succinivibrio" 6158 1608 2019 1289 6366 3583 2203 13741 837 1707 1234 6686
"Treponema 2" 29555 6608 15293 6042 44370 18089 3510 1437 3189 27844 12953 585
"Z20" 827 0 5041 0 5802 3834 3545 2794 3784 6736 288 729
"[Eubacterium] eligens group" 0 532 581 264 0 0 0 0 0 0 0 0
"28-4" 0 564 0 0 0 513 0 0 0 0 0 0
"Alloprevotella" 0 10775 1400 441 1362 0 0 0 0 465 0 0
"Anaerostipes" 0 4789 0 0 0 0 686 0 1720 0 0 0
"Collinsella" 0 585 0 290 0 0 0 979 456 0 0 854
"Coprococcus 1" 0 452 0 0 372 0 0 0 0 0 0 0
"Coprococcus 3" 0 308 0 0 304 0 0 0 0 0 0 0
"GCA-900066575" 0 383 0 517 0 0 0 0 0 0 0 0
"Helicobacter" 0 326 0 0 0 230 0 0 0 0 0 0
"Lachnospira" 0 395 831 0 641 0 0 0 653 0 410 0
"Lachnospiraceae ND3007 group" 0 653 0 0 0 535 5668 26704 31420 7086 1211 18392
"Lachnospiraceae NK4B4 group" 0 214 0 0 0 632 0 0 0 0 0 0
"Lachnospiraceae UCG-003" 0 529 0 0 0 321 0 0 0 0 0 0
"Lachnospiraceae UCG-008" 0 326 286 0 692 0 294 0 766 757 310 532
"Marvinbryantia" 0 1156 0 287 760 0 0 0 0 0 0 0
"Oscillospira" 0 231 0 0 0 0 0 0 0 429 0 0
"Papillibacter" 0 286 581 0 0 0 0 0 437 302 0 0
"Prevotellaceae NK3B31 group" 0 1672 0 7851 1447 717 0 0 0 0 0 0
"Roseburia" 0 2757 0 278 1841 295 2751 10686 5267 4226 14509 10442
"Ruminococcaceae UCG-013" 0 1923 869 2636 1487 967 0 0 348 0 340 508
"Streptococcus" 0 2059 1423 819 724 0 0 0 0 0 781 0
"Sutterella" 0 939 0 407 1214 0 0 1239 608 0 0 0
"Adlercreutzia" 0 0 366 0 0 0 0 0 0 0 0 0
"Cloacibacillus" 0 0 4617 0 0 0 0 0 0 0 0 0
"Family XIII AD3011 group" 0 0 710 0 988 0 21071 9452 14339 16389 6404 15586
"Hydrogenoanaerobacterium" 0 0 500 0 0 0 0 0 0 0 0 0
"Ileibacterium" 0 0 17946 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-007" 0 0 1539 0 0 0 0 0 0 0 0 0
"Mobilitalea" 0 0 700 0 0 0 0 0 0 0 0 0
"Ruminiclostridium" 0 0 377 867 553 821 0 0 0 0 0 0
"Ruminiclostridium 5" 0 0 334 230 0 391 0 0 0 0 0 0
"Ruminococcus 2" 0 0 426 0 0 0 0 0 0 0 0 0
"Victivallis" 0 0 2126 310 0 0 0 0 0 0 0 0
"[Eubacterium] ventriosum group" 0 0 0 1425 856 0 0 0 0 0 0 0
"Bacteroides" 0 0 0 320 0 0 0 0 0 0 0 0
"Butyricicoccus" 0 0 0 947 482 0 430 0 370 339 1267 0
"Butyrivibrio" 0 0 0 854 0 0 0 0 0 0 0 0
"Flavonifractor" 0 0 0 818 0 1018 0 0 0 0 0 0
"Parabacteroides" 0 0 0 1250 0 0 0 0 0 0 0 0
"Synergistes" 0 0 0 498 0 519 0 0 0 0 0 0
"[Eubacterium] hallii group" 0 0 0 0 453 0 3739 0 7829 11215 4983 0
"Campylobacter" 0 0 0 0 1136 469 260 1183 0 0 0 0
"Coprococcus 2" 0 0 0 0 1023 0 0 0 0 0 0 0
"Desulfovibrio" 0 0 0 0 2957 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 0 0 0 883 0 0 0 0 0 0 0
"Lachnospiraceae NK3A20 group" 0 0 0 0 1865 0 621 1275 1495 648 1722 3344
"Solobacterium" 0 0 0 0 3379 0 788 3347 3548 458 814 2763
"[Bacteroides] pectinophilus group" 0 0 0 0 0 1152 0 0 0 0 0 0
"Ruminococcaceae UCG-011" 0 0 0 0 0 323 0 0 0 0 0 0
"Acetitomaculum" 0 0 0 0 0 0 692 880 963 453 902 1245
"Erysipelotrichaceae UCG-004" 0 0 0 0 0 0 5802 872 3258 4229 1313 2342
"Lachnoclostridium 10" 0 0 0 0 0 0 1067 0 832 2033 0 0
"Lachnospiraceae UCG-002" 0 0 0 0 0 0 397 0 472 0 0 0
"Libanicoccus" 0 0 0 0 0 0 1055 8198 3394 496 638 2304
"Oxalobacter" 0 0 0 0 0 0 2700 2101 0 0 0 0
"Pseudobutyrivibrio" 0 0 0 0 0 0 4620 19336 18768 13712 22595 7832
"Anaerovibrio" 0 0 0 0 0 0 0 1175 0 0 0 826
"DNF00809" 0 0 0 0 0 0 0 632 0 0 0 772
"Holdemanella" 0 0 0 0 0 0 0 487 1958 0 619 0
"Anaerofustis" 0 0 0 0 0 0 0 0 430 307 0 0
"Acidothermus" 0 0 0 0 0 0 0 0 0 1015 0 0
"Fusicatenibacter" 0 0 0 0 0 0 0 0 0 0 882 0
