"D08495" "D08497" "D08498" "D08499" "D08500" "D08501" "D08502" "D08503" "D08504" "D08512" "D08513" "D08518" "D08522" "D08523" "D08525" "D08526" "D08532" "D08533" "D08536"
"Lachnospiraceae UCG-001" 89 329 292 168 210 368 219 148 177 211 12 79 53 130 202 106 393 404 273
"Lachnospiraceae UCG-006" 172 34 29 10 21 142 16 32 48 0 0 0 0 0 0 0 18 0 0
"Lachnospiraceae UCG-008" 65 138 160 109 173 97 73 203 231 232 0 71 116 82 256 147 87 40 166
"Lachnospiraceae UCG-010" 87 129 74 31 55 178 43 0 0 16 0 0 0 0 17 7 0 10 0
"Lachnospiraceae XPB1014 group" 38 10 14 0 0 0 0 7 7 6 108 35 0 62 0 3 0 0 0
"Lactonifactor" 28 65 55 41 33 10 0 38 58 31 152 23 41 50 5 5 19 57 0
"Marvinbryantia" 323 414 384 279 288 318 201 255 344 310 126 118 85 111 393 185 108 51 507
"Megasphaera" 71 47 35 6 34 0 12 24 36 0 10 13 14 0 0 0 0 0 0
"Negativibacillus" 8 18 16 19 21 29 187 142 144 65 104 10 0 86 128 64 0 0 227
"Oscillospira" 204 0 0 17 30 97 10 40 55 0 0 0 0 0 0 0 0 0 0
"Oxalobacter" 18 0 0 21 13 20 6 21 23 37 16 20 0 20 23 12 0 0 0
"p-1088-a5 gut group" 499 0 0 303 429 0 0 245 247 252 38 785 1029 70 274 94 73 0 443
"Papillibacter" 29 45 37 74 83 76 45 46 37 33 36 56 70 59 4 2 27 3 32
"Peptococcus" 42 63 63 31 31 39 15 25 14 0 0 0 0 0 0 0 9 0 0
"Phascolarctobacterium" 27 353 374 334 564 257 232 270 305 221 41 102 89 48 238 75 51 0 284
"Prevotella 1" 224 395 294 667 979 52 23 130 117 5 4525 665 899 1191 0 0 2378 0 112
"Prevotella 7" 771 537 481 1038 1393 687 107 815 834 120 59 257 409 447 265 81 154 0 502
"Prevotellaceae NK3B31 group" 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 15 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rikenellaceae RC9 gut group" 349 307 246 278 795 536 23 710 638 422 5 582 837 637 350 218 199 0 642
"Roseburia" 778 397 296 640 900 282 410 187 196 119 15 327 314 188 132 79 452 428 218
"Ruminiclostridium" 375 115 79 386 556 176 16 71 75 33 9 24 42 26 27 11 47 37 38
"Ruminiclostridium 1" 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 5" 37 45 61 46 44 34 52 25 17 0 0 0 0 0 0 4 59 25 73
"Ruminiclostridium 6" 697 284 287 10 0 7 133 32 25 155 180 75 248 1225 163 66 25 380 14
"Ruminiclostridium 9" 191 279 260 264 315 519 173 237 254 38 73 112 127 78 35 27 82 85 66
"Ruminococcaceae NK4A214 group" 3406 1450 1232 2112 3034 1657 228 2736 2708 1109 5139 1014 1516 7013 816 418 1231 15 857
"Ruminococcaceae UCG-002" 1881 849 766 1174 1902 906 74 752 749 114 74 125 152 95 96 44 208 45 104
"Ruminococcaceae UCG-003" 350 183 158 184 228 173 98 134 138 55 55 60 102 91 48 22 24 23 36
"Ruminococcaceae UCG-005" 3731 8890 7801 5332 7632 6340 6325 3514 3639 3736 2110 6847 6747 4583 3878 1976 2698 2402 5269
"Ruminococcaceae UCG-009" 277 65 57 205 315 189 19 168 187 375 15 454 348 58 169 98 41 0 19
"Ruminococcaceae UCG-010" 2119 1314 1202 1538 2257 1897 704 1403 1505 725 479 1322 1260 871 747 416 1126 687 1398
"Ruminococcaceae UCG-013" 434 316 220 355 469 391 580 186 176 420 147 586 965 332 492 209 144 226 254
"Ruminococcaceae UCG-014" 926 2474 2600 1837 2904 867 416 1813 1429 347 0 611 897 16 398 177 696 218 699
"Ruminococcaceae V9D2013 group" 9 0 0 16 13 0 5 0 7 6 0 0 14 0 19 11 0 0 0
"Ruminococcus 1" 319 522 542 930 1036 372 1066 130 132 285 9 311 506 388 432 193 565 1085 385
"Selenomonas" 28 0 0 0 0 0 0 24 43 0 16 0 0 0 0 0 0 0 0
"Syntrophococcus" 24 117 108 0 0 30 131 0 0 7 0 0 0 0 0 0 0 0 146
"Treponema 2" 115 90 98 3210 3037 718 0 848 658 35 0 29 29 0 13 0 1296 4 1005
"Tyzzerella" 21 41 26 19 24 23 36 9 18 16 0 18 16 0 19 8 0 0 8
"Tyzzerella 3" 32 0 0 0 9 15 11 0 0 0 0 0 0 0 0 0 8 0 0
"Unclassified" 10453 13853 12773 10679 13741 10427 7197 9334 9545 4274 5569 6363 8604 7201 3847 2000 5813 4430 6993
"uncultured bacterium" 3526 5163 4422 2011 2954 2944 325 984 897 3208 1808 4106 3617 6868 2446 788 1164 7543 4189
"uncultured Clostridiales bacterium" 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Thermoanaerobacterales bacterium" 19 28 20 31 42 0 7 57 48 0 0 0 0 0 0 0 0 0 0
"[Ruminococcus] gauvreauii group" 0 51 37 58 87 26 23 55 100 38 23 29 0 33 40 24 40 0 33
"Anaerosporobacter" 0 18 31 0 0 0 108 0 0 0 0 7 0 0 0 0 6 13 10
"Anaerostipes" 0 12 13 5 0 0 0 0 0 0 0 0 0 0 0 0 94 11 23
"Erysipelotrichaceae UCG-003" 0 19 16 0 0 31 65 14 18 33 0 0 0 0 26 9 0 0 0
"Lachnoclostridium 5" 0 113 84 121 171 118 392 81 98 102 0 163 122 0 109 44 28 231 110
"Lachnospiraceae AC2044 group" 0 12 11 0 0 0 8 0 0 845 0 652 553 10 921 403 223 1971 326
"Lachnospiraceae FCS020 group" 0 13 0 0 0 0 0 0 0 6 0 6 0 0 0 0 17 0 14
"Methanosphaera" 0 19 12 0 0 0 0 0 0 0 13 15 16 9 0 0 0 0 0
"possible genus Sk018" 0 21 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcus 2" 0 8 6 203 288 0 10 0 0 7 0 180 124 0 10 0 238 0 116
"Serratia" 0 11 9 56 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Ruminococcus] gnavus group" 0 0 126 28 0 68 17 0 61 59 0 11 0 0 14 5 54 27 0
"Agathobacter" 0 0 38 31 0 0 55 0 13 0 0 0 0 0 16 5 8 44 0
"Dialister" 0 0 13 0 0 0 0 10 15 5 15 52 137 0 0 0 0 0 0
"Erysipelotrichaceae UCG-009" 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavonifractor" 0 0 12 15 18 18 20 0 0 10 0 10 10 0 21 13 15 0 21
"Tyzzerella 4" 0 0 144 54 79 0 81 58 89 39 0 78 67 0 40 0 36 10 0
"Coprococcus 2" 0 0 0 24 43 0 0 0 0 0 0 80 54 0 7 0 0 8 0
"Enhydrobacter" 0 0 0 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 19 0 0 31 0 9 0 0 0 0 0 0 0 0 17 0
"Leptolyngbya PCC-6306" 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pelomonas" 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solobacterium" 0 0 0 11 0 38 37 0 0 0 0 0 0 0 0 0 0 12 0
"Thermosinus" 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] oxidoreducens group" 0 0 0 0 10 0 0 0 0 6 0 20 12 0 0 5 11 0 10
"Prunus mume (Japanese apricot)" 0 0 0 0 15 0 0 0 12 0 55 0 13 0 0 0 0 0 0
"Sphaerochaeta" 0 0 0 0 10 0 0 9 7 19 0 0 0 0 0 8 8 0 8
"Anaerofustis" 0 0 0 0 0 9 0 8 0 4 7 0 0 0 0 4 0 0 0
"CAG-56" 0 0 0 0 0 41 19 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 1" 0 0 0 0 0 7 139 0 0 0 15 65 27 0 0 0 0 0 0
"Fibrobacter" 0 0 0 0 0 24 4 21 30 6 0 0 10 0 22 8 0 0 9
"Robinsoniella" 0 0 0 0 0 14 0 0 0 17 0 0 0 0 9 0 0 0 10
"Intestinibacter" 0 0 0 0 0 0 6 0 0 70 274 58 86 130 103 72 286 38 26
"Prevotella 9" 0 0 0 0 0 0 0 196 244 18 0 0 0 0 0 0 0 0 0
"Acidaminococcus" 0 0 0 0 0 0 0 0 9 0 0 0 16 0 0 0 0 0 0
"Gordonibacter" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
"Oscillibacter" 0 0 0 0 0 0 0 0 6 29 0 0 0 0 16 6 0 84 9
"uncultured Coriobacteriaceae bacterium" 0 0 0 0 0 0 0 0 5 0 0 16 17 0 0 0 0 7 5
"[Eubacterium] hallii group" 0 0 0 0 0 0 0 0 0 11 0 10 0 0 24 12 0 0 0
"[Eubacterium] nodatum group" 0 0 0 0 0 0 0 0 0 4 0 22 0 0 9 4 69 18 0
"Alistipes" 0 0 0 0 0 0 0 0 0 9 0 0 0 0 8 3 50 3186 18
"Anaerobium" 0 0 0 0 0 0 0 0 0 19 52 147 38 0 60 24 0 0 0
"Clostridium sensu stricto 5" 0 0 0 0 0 0 0 0 0 86 11 82 18 0 217 77 0 0 0
"Defluviitaleaceae UCG-011" 0 0 0 0 0 0 0 0 0 22 0 17 23 0 23 12 31 0 34
"GCA-900066575" 0 0 0 0 0 0 0 0 0 5 0 6 0 0 7 2 0 4 8
"Helicobacter" 0 0 0 0 0 0 0 0 0 8 6 0 0 0 0 0 8 3 0
"Oribacterium" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 3 0 34 0
"Parabacteroides" 0 0 0 0 0 0 0 0 0 111 251 81 123 426 64 28 9 80 102
"Parvibacter" 0 0 0 0 0 0 0 0 0 788 19 188 338 28 950 302 73 184 404
"Prevotellaceae UCG-001" 0 0 0 0 0 0 0 0 0 656 432 201 786 191 153 66 769 0 147
"Streptococcus" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"Subdoligranulum" 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 131 0
"uncultured rumen bacterium" 0 0 0 0 0 0 0 0 0 192 0 451 567 0 48 39 0 0 0
"Campylobacter" 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0
"Cellulosilyticum" 0 0 0 0 0 0 0 0 0 0 227 256 149 20 13 9 0 0 0
"Erysipelatoclostridium" 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0
"Populus tremula" 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0
"Anaeroplasma" 0 0 0 0 0 0 0 0 0 0 0 28 22 83 0 0 0 13 7
"Azovibrio" 0 0 0 0 0 0 0 0 0 0 0 39 55 0 0 0 0 0 0
"Hydrogenoanaerobacterium" 0 0 0 0 0 0 0 0 0 0 0 12 54 0 0 0 10 0 0
"Lachnobacterium sp. wal 14165" 0 0 0 0 0 0 0 0 0 0 0 144 214 0 4 5 548 0 224
"Lachnospiraceae NK4B4 group" 0 0 0 0 0 0 0 0 0 0 0 129 461 0 0 0 0 0 0
"Romboutsia" 0 0 0 0 0 0 0 0 0 0 0 35 46 0 0 0 0 0 0
"Schima mertensiana" 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
"Terrisporobacter" 0 0 0 0 0 0 0 0 0 0 0 28 24 0 0 0 0 0 0
"Victivallis" 0 0 0 0 0 0 0 0 0 0 0 35 52 0 0 0 0 0 0
"Defluviitalea" 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0
"Pentatrichomonas" 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0
"Murimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 8 0 0
"Cerasicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0
"Desulfovibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 178 0 25
"GCA-900066225" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 0 0 0
"Prevotellaceae Ga6A1 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0
"Prevotellaceae UCG-004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0
"UBA1819" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"Comamonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0
"Extensimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0
"Knoellia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0
"Rothia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"[Anaerorhabdus] furcosa group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"[Eubacterium] saphenum group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 14
"Acinetobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 11 28
"Alloprevotella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88 0 0
"Elusimicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0
"Kurthia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0
"Mailhella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0
"Methanobrevibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0
"Olsenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 7 0
"Prevotellaceae UCG-003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 73 0 0
"Succinivibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0
"Anaerovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
"Butyricimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0
"Butyrivibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0
"Odoribacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
"Parasutterella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
"Pseudoscardovia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
"Ruminococcaceae UCG-011" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0
"uncultured Bacteroidales bacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0
"uncultured prokaryote" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 210 0
"unidentified" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0
"XBB1006" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0
