"D14213" "D14214" "D14215" "D14216" "D14217" "D14218" "D14219" "D14220" "D14221" "D14222" "D14223"
"Lactococcus" 232 195 230 223 109 17 211 38 1221 43 88
"Leuconostoc" 3 0 0 15 0 0 0 0 0 0 0
"Libanicoccus" 6 4 0 8 4 0 0 0 0 0 0
"Macrococcus" 6 11 6 0 0 0 0 0 0 0 0
"Marvinbryantia" 142 173 21 8 7 0 0 0 0 0 0
"Megasphaera" 28 0 0 0 2 0 0 0 0 0 0
"Mesorhizobium" 2 0 0 0 0 345 2 0 0 36 159
"Novosphingobium" 2 0 0 0 0 58 0 0 0 0 0
"Olsenella" 2 0 0 3 0 0 0 0 0 0 0
"Oribacterium" 67 21 331 106 73 0 0 0 0 0 0
"Paeniclostridium" 15 27 0 0 0 0 0 16 43 5 6
"Parabacteroides" 4 2 165 3 2 0 44 163 125 0 0
"Pedomicrobium" 3 0 0 0 0 0 0 0 0 0 0
"Peptoclostridium" 722 638 61 2 0 0 0 0 0 0 0
"Peptococcus" 44 70 23 166 113 0 0 0 0 0 0
"Pir4 lineage" 3 0 0 0 0 0 0 0 0 0 0
"Prevotella 2" 31 25 21 0 0 0 0 0 0 0 0
"Prevotella 9" 41 351 171 839 554 0 0 0 0 0 0
"Raoultella" 16 0 0 0 0 0 0 0 0 0 0
"Reyranella" 3 0 4 0 0 0 0 0 0 0 0
"Rikenellaceae RC9 gut group" 19 0 0 9 17 0 0 242 0 0 0
"Romboutsia" 446 595 78 169 103 1149 55 117 898 12 324
"Rothia" 15 5 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 1" 4 0 0 0 0 0 195 0 0 0 0
"Ruminococcaceae UCG-005" 28 12 6 21 2 0 9 1517 0 0 0
"Ruminococcaceae UCG-014" 106 112 569 1799 1381 0 0 371 743 0 4
"Sarcina" 90 91 0 10 18 0 0 0 0 0 0
"Slackia" 5 0 0 0 0 0 0 0 0 0 0
"Solobacterium" 56 29 83 644 380 0 0 0 0 0 0
"Staphylococcus" 17 14 4 0 0 0 0 0 3 0 0
"Streptococcus" 5590 5602 1651 5822 3790 0 0 4 0 0 0
"Subdoligranulum" 9 11 8 480 319 0 0 0 0 0 0
"Terrisporobacter" 111 148 98 13 9 0 4 0 23 2 17
"Treponema 2" 5 14 7 7 0 0 0 0 0 0 0
"Turicibacter" 141 143 150 90 104 17 0 0 46 0 0
"Tyzzerella 4" 8 0 138 0 0 4 0 24 18 0 0
"[Eubacterium] eligens group" 0 10 34 14 7 0 0 0 0 0 0
"Agathobacter" 0 4 7 0 0 0 0 0 4 0 0
"Alistipes" 0 4 15 0 0 0 53 67 16 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 3 0 0 0 48 23 0 6 0 0
"Anaerovibrio" 0 5 0 0 0 0 0 3 0 0 0
"Aquicella" 0 3 0 0 0 3 0 0 2 0 0
"Bradyrhizobium" 0 4 0 0 0 142 4 0 54 0 0
"Brevundimonas" 0 2 0 2 0 2974 29 0 0 0 0
"Cetobacterium" 0 8 864 0 0 0 0 0 0 0 0
"Conexibacter" 0 2 0 0 0 6 0 0 30 0 48
"Coprococcus 3" 0 5 144 91 32 0 0 7 0 0 2
"Corynebacterium 1" 0 4 0 0 0 0 0 0 3 0 0
"Devosia" 0 2 0 0 0 120 44 0 0 0 0
"Dongia" 0 2 0 0 0 0 0 0 0 0 0
"Erysipelothrix" 0 2 0 0 0 10 0 51 0 0 431
"Fusicatenibacter" 0 9 0 79 50 0 0 0 0 0 0
"Ignatzschineria" 0 14 0 0 0 0 0 0 0 0 0
"Jeotgalibaca" 0 3 0 0 0 0 0 0 0 2 0
"Kurthia" 0 13 4 35 13 0 0 36 6 9883 173
"Lachnospira" 0 2 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-001" 0 3 13 3 0 0 0 20 0 0 0
"Myroides" 0 8 3 0 0 286 0 0 0 0 0
"Negativibacillus" 0 2 34 25 16 0 0 0 0 0 0
"Oscillibacter" 0 3 335 8 8 0 0 11 0 0 0
"Paraclostridium" 0 10 0 0 3 70 0 0 0 0 0
"Paracoccus" 0 3 0 0 0 117 0 0 0 0 0
"Pedobacter" 0 2 0 0 0 0 18 0 0 0 0
"Prevotella 7" 0 53 0 4 0 0 0 0 0 0 0
"Prevotellaceae NK3B31 group" 0 7 5 0 0 0 0 0 0 0 0
"Pseudolabrys" 0 5 0 0 0 0 0 0 0 0 0
"Pseudomonas" 0 31 20 0 0 54 195 5 8 0 0
"Psychrobacter" 0 16 6 0 0 0 0 0 0 0 0
"Rhodopirellula" 0 2 0 0 0 0 11 0 0 0 0
"Roseburia" 0 4 435 18 15 0 0 128 9 0 0
"Ruminococcaceae UCG-002" 0 4 0 42 82 0 0 0 0 0 0
"Ruminococcus 1" 0 10 62 22 27 0 0 80 0 0 0
"Solibacillus" 0 32 13 0 3 176 0 0 67 211 12
"Sphingobacterium" 0 2 0 15 5 1125 12 1281 88 0 43
"Sphingomonas" 0 4 7 0 0 0 7 2 0 0 0
"Sporosarcina" 0 41 10 3 51 20 8 0 0 1906 61
"Succinivibrio" 0 3 7 0 16 0 0 0 0 0 0
"Sutterella" 0 3 93 0 0 0 0 0 0 0 0
"Tyzzerella" 0 4 38 0 0 0 0 0 0 0 0
"Ulvibacter" 0 33 7 0 0 0 0 0 0 0 0
"[Acetivibrio] ethanolgignens group" 0 0 172 0 0 0 0 0 0 0 0
"[Eubacterium] coprostanoligenes group" 0 0 211 162 161 0 0 11 300 0 0
"[Eubacterium] fissicatena group" 0 0 11 0 0 0 3 2 0 245 0
"[Eubacterium] nodatum group" 0 0 17 26 16 0 0 8 0 0 0
"[Eubacterium] ruminantium group" 0 0 2 9 11 0 0 0 0 0 0
"[Ruminococcus] gauvreauii group" 0 0 83 6 8 0 0 0 0 0 0
"Adhaeribacter" 0 0 2 0 0 0 0 0 0 0 0
"Adlercreutzia" 0 0 2 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 12 0 0 0 5 9 3 0 0
"Anaerovorax" 0 0 24 0 0 0 10 0 0 0 0
"Barnesiella" 0 0 23 0 0 0 0 0 0 0 0
"Butyricimonas" 0 0 4 0 0 0 0 43 0 0 0
"Candidatus Soleaferrea" 0 0 3 0 0 0 0 0 0 0 0
"Candidatus Stoquefichus" 0 0 180 3 0 0 0 4 8 0 0
"Christensenellaceae R-7 group" 0 0 15 41 32 0 27 149 0 0 0
"Comamonas" 0 0 27 0 0 191 699 439 0 0 2542
"Family XIII AD3011 group" 0 0 26 11 6 0 0 0 0 0 0
"Flavobacterium" 0 0 12 0 0 72 6819 1763 109 0 0
"GCA-900066575" 0 0 84 0 0 0 0 0 0 0 0
"Glutamicibacter" 0 0 6 4 0 74 0 0 0 466 44
"Holdemania" 0 0 8 0 0 0 0 0 0 0 0
"Intestinimonas" 0 0 7 0 0 0 0 0 0 0 0
"Lachnoclostridium 5" 0 0 54 0 0 4 24 0 0 244 0
"Lachnospiraceae FCS020 group" 0 0 76 8 0 0 0 107 0 0 0
"Lachnospiraceae NC2004 group" 0 0 9 3 5 0 0 6 0 0 0
"Lachnospiraceae NK4A136 group" 0 0 109 0 0 0 0 28 0 0 0
"Lachnospiraceae UCG-004" 0 0 5 0 0 0 0 0 3 1195 0
"Luteimonas" 0 0 8 0 0 0 0 0 0 0 0
"Lysobacter" 0 0 14 0 0 0 0 0 0 0 0
"mle1-7" 0 0 3 0 0 0 0 0 0 0 0
"Morganella" 0 0 3 0 0 0 0 0 56 0 0
"Nordella" 0 0 2 0 0 0 0 0 0 0 0
"OM60(NOR5) clade" 0 0 2 0 0 0 0 0 0 0 0
"Oscillospira" 0 0 64 0 0 0 0 0 0 0 0
"Phascolarctobacterium" 0 0 93 0 0 0 0 109 55 0 0
"Porphyromonas" 0 0 3 0 0 0 0 0 0 0 0
"Prevotellaceae UCG-003" 0 0 13 0 6 0 0 12 0 0 0
"Pseudorhodoplanes" 0 0 3 0 0 46 0 0 0 0 0
"Pseudoxanthomonas" 0 0 2 0 0 0 0 0 0 0 0
"Ruminiclostridium 5" 0 0 15 0 5 0 0 0 4 0 0
"Ruminiclostridium 9" 0 0 12 8 2 0 0 3 0 0 0
"Ruminococcaceae NK4A214 group" 0 0 26 25 24 0 2 16 3 0 0
"Ruminococcaceae UCG-008" 0 0 4 11 8 0 0 0 0 0 0
"Ruminococcaceae UCG-009" 0 0 18 0 0 0 0 2 0 0 0
"S5-A14a" 0 0 103 0 0 0 0 8 0 0 0
"Sellimonas" 0 0 3 7 12 0 0 0 0 0 0
"Shuttleworthia" 0 0 12 0 0 0 0 0 0 0 0
"Solitalea" 0 0 4 0 0 0 0 0 0 0 0
"Stenotrophomonas" 0 0 3 0 0 1186 1137 23 2 0 0
"Trichococcus" 0 0 2 0 0 0 0 0 0 0 0
"UBA1819" 0 0 14 22 13 0 0 0 0 0 0
"Weissella" 0 0 12 0 0 0 32 0 0 10 0
"[Eubacterium] xylanophilum group" 0 0 0 13 11 0 0 3 0 0 0
"Akkermansia" 0 0 0 5 0 0 0 0 0 0 0
"Anaerostipes" 0 0 0 62 39 0 0 0 0 0 0
"Catenisphaera" 0 0 0 7 2 0 0 0 0 0 0
"Coprococcus 2" 0 0 0 72 82 0 0 0 0 0 0
"Cronobacter" 0 0 0 3 4 0 0 0 12 0 0
"Desulfovibrio" 0 0 0 4 0 0 0 0 0 0 0
"Erysipelotrichaceae UCG-009" 0 0 0 31 18 0 0 0 0 0 0
"Falsochrobactrum" 0 0 0 6 0 0 15 0 0 0 0
"GCA-900066225" 0 0 0 3 4 0 0 0 0 0 0
"Helicobacter" 0 0 0 2 0 0 0 2 0 0 0
"Lachnospiraceae ND3007 group" 0 0 0 2 0 0 0 0 0 0 0
"Lachnospiraceae NK3A20 group" 0 0 0 139 100 0 0 0 0 0 0
"Lachnospiraceae UCG-002" 0 0 0 3 0 0 0 0 0 0 0
"Methanobrevibacter" 0 0 0 104 98 0 0 3 0 3 0
"Methanosphaera" 0 0 0 30 40 0 0 0 0 0 0
"Mogibacterium" 0 0 0 39 20 0 0 0 0 0 0
"Ochrobactrum" 0 0 0 6 2 3952 0 0 61 0 0
"Pediococcus" 0 0 0 16 10 0 2 0 0 0 0
"Prevotella 1" 0 0 0 8 0 0 0 0 0 0 0
"Ruminococcaceae UCG-013" 0 0 0 23 13 0 0 92 0 0 0
"Ruminococcus 2" 0 0 0 6 0 0 0 0 0 0 0
"Viridibacillus" 0 0 0 2 0 0 0 0 0 0 0
"Acetitomaculum" 0 0 0 0 6 0 0 0 0 0 0
"Acidaminococcus" 0 0 0 0 6 0 0 0 0 0 0
"Lysinibacillus" 0 0 0 0 3 472 11 0 22 109 107
"Pluralibacter" 0 0 0 0 5 0 165 8 0 0 0
"Senegalimassilia" 0 0 0 0 5 0 0 0 0 0 0
"Syntrophococcus" 0 0 0 0 4 0 0 0 0 0 0
"Achromobacter" 0 0 0 0 0 333 20 0 0 0 0
"Actinomadura" 0 0 0 0 0 38 0 0 0 8 192
"Actinomycetospora" 0 0 0 0 0 6 0 0 0 0 0
"Aeromicrobium" 0 0 0 0 0 12 0 0 0 0 0
"Afipia" 0 0 0 0 0 28 0 0 19 0 0
"Agromyces" 0 0 0 0 0 8 0 0 0 0 0
"Alcaligenes" 0 0 0 0 0 315 1468 0 0 0 0
"Alkaliphilus" 0 0 0 0 0 173 0 0 0 0 6
"Ammoniphilus" 0 0 0 0 0 24 0 0 0 0 7
"Anaerocolumna" 0 0 0 0 0 3 0 0 0 0 61
"Anaerospora" 0 0 0 0 0 3 0 0 0 0 0
"Arthrobacter" 0 0 0 0 0 69 0 0 8 0 18
"Bacillus" 0 0 0 0 0 2667 26 0 141 735 1246
"Bosea" 0 0 0 0 0 27 7 0 3 0 0
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 6 0 0 0 0 0
"Caldicoprobacter" 0 0 0 0 0 23 0 0 0 3 0
"Camelimonas" 0 0 0 0 0 217 8 0 0 0 0
"Candidatus Tokpelaia" 0 0 0 0 0 26 0 0 0 0 0
"Cellulomonas" 0 0 0 0 0 188 0 0 0 148 0
"Cellulosimicrobium" 0 0 0 0 0 245 0 0 0 30 15
"Chelatococcus" 0 0 0 0 0 23 0 0 0 0 0
"Chthoniobacter" 0 0 0 0 0 6 3 0 0 0 0
"Chungangia" 0 0 0 0 0 5 0 0 0 0 0
"Cloacibacterium" 0 0 0 0 0 19 0 0 0 0 0
"Clostridium sensu stricto 5" 0 0 0 0 0 104 4 269 16 15 81
"Clostridium sensu stricto 8" 0 0 0 0 0 20 0 0 0 0 0
"Clostridium sensu stricto 9" 0 0 0 0 0 3 5 0 0 0 0
"Cohnella" 0 0 0 0 0 159 3 0 0 0 5
"Cupriavidus" 0 0 0 0 0 4 0 0 0 0 0
"Desulfitobacterium" 0 0 0 0 0 32 20 0 0 83 0
"Dysgonomonas" 0 0 0 0 0 9 669 0 0 0 0
"Empedobacter" 0 0 0 0 0 143 1011 29 0 0 110
"Filomicrobium" 0 0 0 0 0 13 3 0 0 0 0
"Gemmata" 0 0 0 0 0 8 0 0 4 0 0
"Georgenia" 0 0 0 0 0 70 0 0 0 0 7
"Gordonia" 0 0 0 0 0 151 0 0 0 0 1304
"Haliangium" 0 0 0 0 0 13 0 0 0 0 0
"Halomonas" 0 0 0 0 0 17 0 0 0 0 0
"Haloplasma" 0 0 0 0 0 11 0 0 0 0 0
"Hamadaea" 0 0 0 0 0 4 0 0 0 0 0
"Helcococcus" 0 0 0 0 0 49 0 0 0 0 0
"Herbinix" 0 0 0 0 0 6 55 0 0 4 0
"Hydrogenispora" 0 0 0 0 0 5 0 0 0 0 0
"Hyphomicrobium" 0 0 0 0 0 15 0 0 0 0 0
"Kaistia" 0 0 0 0 0 43 4 0 0 0 0
"Knoellia" 0 0 0 0 0 3 0 0 0 0 7
"Labrys" 0 0 0 0 0 5 0 0 4 0 0
"Leucobacter" 0 0 0 0 0 917 26 14 0 93 6913
"Methylobacterium" 0 0 0 0 0 12 0 3 0 0 0
"Methylocystis" 0 0 0 0 0 4 0 0 0 0 0
"Micromonospora" 0 0 0 0 0 5 0 0 0 0 59
"Mycobacterium" 0 0 0 0 0 157 2 0 33 0 0
"Mycoplana" 0 0 0 0 0 5 40 0 0 0 0
"Nannocystis" 0 0 0 0 0 10 0 0 0 0 0
"Nocardioides" 0 0 0 0 0 207 9 0 0 0 0
"Nonomuraea" 0 0 0 0 0 5 0 0 0 0 0
"Oceanobacillus" 0 0 0 0 0 28 0 0 0 0 0
"Oerskovia" 0 0 0 0 0 29 0 0 0 0 0
"Paenibacillus" 0 0 0 0 0 234 0 0 0 98 116
"Pajaroellobacter" 0 0 0 0 0 6 0 0 2 0 0
"Paradevosia" 0 0 0 0 0 707 0 0 0 0 0
"Parapusillimonas" 0 0 0 0 0 54 0 0 0 0 0
"Patulibacter" 0 0 0 0 0 277 5 0 0 5 125
"Pelomonas" 0 0 0 0 0 9 0 0 0 0 0
"Pelosinus" 0 0 0 0 0 9 0 0 0 0 0
"Phenylobacterium" 0 0 0 0 0 589 16 0 0 0 0
"Proteiniborus" 0 0 0 0 0 5 5 0 0 8 42
"Pseudochrobactrum" 0 0 0 0 0 326 39 0 0 0 0
"Psychrobacillus" 0 0 0 0 0 11 0 0 0 0 43
"Pusillimonas" 0 0 0 0 0 31 52 0 0 0 0
"Rhodococcus" 0 0 0 0 0 575 0 0 0 106 15
"Rhodoglobus" 0 0 0 0 0 7 0 0 0 0 0
"Rhodomicrobium" 0 0 0 0 0 11 0 0 0 0 0
"Rickettsiella" 0 0 0 0 0 41 0 0 5 0 0
"Salipaludibacillus" 0 0 0 0 0 5 0 0 0 0 0
"Sedimentibacter" 0 0 0 0 0 12 5 0 0 14 27
"Smaragdicoccus" 0 0 0 0 0 4 0 0 0 0 0
"Sphingobium" 0 0 0 0 0 8 0 0 0 0 0
"Sphingopyxis" 0 0 0 0 0 32 95 0 0 0 0
"Sporacetigenium" 0 0 0 0 0 171 0 0 0 0 0
"Steroidobacter" 0 0 0 0 0 107 0 0 0 0 0
"Streptomyces" 0 0 0 0 0 6 0 0 0 10 0
"Thermobacillus" 0 0 0 0 0 9 0 0 0 0 0
"Timonella" 0 0 0 0 0 15 0 0 0 0 0
"Tissierella" 0 0 0 0 0 244 12 0 0 660 194
"Trabulsiella" 0 0 0 0 0 73 0 0 0 0 0
"Tumebacillus" 0 0 0 0 0 47 2 4 3 3 3
"Vagococcus" 0 0 0 0 0 29 0 0 0 65 63
"Verrucosispora" 0 0 0 0 0 9 0 0 0 0 0
"Virgibacillus" 0 0 0 0 0 13 0 0 0 0 77
"Vulgatibacter" 0 0 0 0 0 52 0 0 0 0 0
"Acetanaerobacterium" 0 0 0 0 0 0 441 0 0 0 0
"Advenella" 0 0 0 0 0 0 6 0 0 0 0
"Aestuariicella" 0 0 0 0 0 0 2 0 0 0 0
"Altererythrobacter" 0 0 0 0 0 0 23 0 0 0 0
"Aminobacter" 0 0 0 0 0 0 33 0 0 0 0
"Aquamicrobium" 0 0 0 0 0 0 399 0 0 0 0
"Azospirillum" 0 0 0 0 0 0 87 0 0 0 0
"Bdellovibrio" 0 0 0 0 0 0 30 0 0 0 0
"Breznakia" 0 0 0 0 0 0 3 0 0 0 0
"Clostridium sensu stricto 13" 0 0 0 0 0 0 11 0 0 0 4
"Clostridium sensu stricto 7" 0 0 0 0 0 0 2 0 0 0 0
"Defluviimonas" 0 0 0 0 0 0 8 0 0 0 0
"DSSF69" 0 0 0 0 0 0 8 0 0 0 0
"Gemmobacter" 0 0 0 0 0 0 27 0 0 0 0
"Leadbetterella" 0 0 0 0 0 0 9 0 0 0 0
"Limnohabitans" 0 0 0 0 0 0 10 0 0 0 0
"Luteolibacter" 0 0 0 0 0 0 8 0 0 0 0
"Massilia" 0 0 0 0 0 0 7 0 0 0 0
"Oxalobacter" 0 0 0 0 0 0 3 0 0 0 0
"Paenochrobactrum" 0 0 0 0 0 0 60 0 9 0 0
"Parapedobacter" 0 0 0 0 0 0 4 0 0 0 0
"Pelagibacterium" 0 0 0 0 0 0 20 0 0 0 0
"Peredibacter" 0 0 0 0 0 0 10 0 0 0 0
"Planctomicrobium" 0 0 0 0 0 0 5 0 0 0 0
"Pseudoflavitalea" 0 0 0 0 0 0 7 0 0 0 0
"Rhodopseudomonas" 0 0 0 0 0 0 6 0 0 0 0
"Ruminiclostridium" 0 0 0 0 0 0 21 0 12 0 0
"Rummeliibacillus" 0 0 0 0 0 0 11 0 0 0 7
"Soonwooa" 0 0 0 0 0 0 3 0 0 0 0
"Taibaiella" 0 0 0 0 0 0 10 0 0 0 0
"[Anaerorhabdus] furcosa group" 0 0 0 0 0 0 0 4 3 0 0
"28-4" 0 0 0 0 0 0 0 22 0 0 0
"Acidibacter" 0 0 0 0 0 0 0 5 37 0 0
"Arcobacter" 0 0 0 0 0 0 0 15 0 0 0
"Campylobacter" 0 0 0 0 0 0 0 11 0 0 0
"Chryseobacterium" 0 0 0 0 0 0 0 19 84 0 0
"Dielma" 0 0 0 0 0 0 0 4 0 0 0
"Elusimicrobium" 0 0 0 0 0 0 0 9 0 0 0
"Flavonifractor" 0 0 0 0 0 0 0 3 0 0 0
"Ketogulonicigenium" 0 0 0 0 0 0 0 4 0 0 0
"Methylocapsa" 0 0 0 0 0 0 0 2 0 0 0
"possible genus Sk018" 0 0 0 0 0 0 0 5 0 0 0
"Prevotellaceae UCG-001" 0 0 0 0 0 0 0 12 10 0 0
"probable genus 10" 0 0 0 0 0 0 0 19 0 0 0
"Proteus" 0 0 0 0 0 0 0 16 0 0 0
"Providencia" 0 0 0 0 0 0 0 9 0 0 0
"Ruminococcaceae UCG-010" 0 0 0 0 0 0 0 25 0 0 0
"Sanguibacteroides" 0 0 0 0 0 0 0 26 0 0 0
"Acidisphaera" 0 0 0 0 0 0 0 0 6 0 0
"Acidothermus" 0 0 0 0 0 0 0 0 2 0 0
"alphaI cluster" 0 0 0 0 0 0 0 0 3 0 0
"Anaerobacillus" 0 0 0 0 0 0 0 0 9 0 0
"Arsenophonus" 0 0 0 0 0 0 0 0 28 0 0
"Bavariicoccus" 0 0 0 0 0 0 0 0 4 0 0
"Brochothrix" 0 0 0 0 0 0 0 0 11 0 0
"Bryobacter" 0 0 0 0 0 0 0 0 9 0 0
"Candidatus Solibacter" 0 0 0 0 0 0 0 0 11 0 0
"Carnobacterium" 0 0 0 0 0 0 0 0 4 0 0
"Coprococcus 1" 0 0 0 0 0 0 0 0 9 0 0
"Methylovirgula" 0 0 0 0 0 0 0 0 11 0 0
"Minicystis" 0 0 0 0 0 0 0 0 3 0 0
"Occallatibacter" 0 0 0 0 0 0 0 0 5 0 0
"Odoribacter" 0 0 0 0 0 0 0 0 4 0 0
"Paenalcaligenes" 0 0 0 0 0 0 0 0 4 0 0
"Paraprevotella" 0 0 0 0 0 0 0 0 2 0 0
"Rhodoplanes" 0 0 0 0 0 0 0 0 18 0 0
"Roseiarcus" 0 0 0 0 0 0 0 0 29 0 0
"Tsukamurella" 0 0 0 0 0 0 0 0 4 0 0
"ZOR0006" 0 0 0 0 0 0 0 0 25 0 0
"Clostridium sensu stricto 16" 0 0 0 0 0 0 0 0 0 15 48
"Lachnoclostridium 10" 0 0 0 0 0 0 0 0 0 3 0
"Microbacterium" 0 0 0 0 0 0 0 0 0 10 0
"Ornithinibacillus" 0 0 0 0 0 0 0 0 0 15 0
"Pseudogracilibacillus" 0 0 0 0 0 0 0 0 0 116 94
"Alkalicoccus" 0 0 0 0 0 0 0 0 0 0 20
"Anoxybacillus" 0 0 0 0 0 0 0 0 0 0 111
"Paeniglutamicibacter" 0 0 0 0 0 0 0 0 0 0 3
"Paucisalibacillus" 0 0 0 0 0 0 0 0 0 0 9
"Scopulibacillus" 0 0 0 0 0 0 0 0 0 0 47
