"D14276" "D14277" "D14278" "D14279" "D14280" "D14281" "D14285" "D14286" "D14287" "D14288" "D14289" "D14290"
"Family_XIII_AD3011_group" 0 0 0 0 0 0 12 19 0 0 0 0
"Fastidiosipila" 0 0 0 0 0 0 2 0 0 0 64 0
"Ferruginibacter" 0 0 0 0 0 0 6 0 0 0 0 0
"Fluviicola" 0 0 0 0 0 0 5 26 0 0 0 0
"Fusobacterium" 0 0 0 0 0 0 25 12 0 0 0 0
"Gallicola" 0 0 0 0 0 0 325 0 0 0 20 0
"Gloeocapsa_PCC-7428" 0 0 0 0 0 0 10 0 0 0 0 0
"Glycomyces" 0 0 0 0 0 0 3 0 0 0 0 0
"Gordonia" 0 0 0 0 0 0 22 96 0 0 20 0
"H1" 0 0 0 0 0 0 21 0 0 0 36 0
"Haoranjiania" 0 0 0 0 0 0 17 75 0 0 64 0
"Hyphomicrobium" 0 0 0 0 0 0 2 40 0 0 0 0
"Iamia" 0 0 0 0 0 0 8 191 0 0 0 0
"Ilumatobacter" 0 0 0 0 0 0 9 199 0 0 0 0
"Intestinibacter" 0 0 0 0 0 0 41 136 0 0 92 32
"Intrasporangium" 0 0 0 0 0 0 15 0 0 0 0 0
"Isoptericola" 0 0 0 0 0 0 13 111 0 0 0 0
"Janibacter" 0 0 0 0 0 0 20 18 0 0 97 0
"Kineosphaera" 0 0 0 0 0 0 45 0 0 0 0 0
"Knoellia" 0 0 0 0 0 0 62 25 0 0 68 0
"Kribbia" 0 0 0 0 0 0 106 50 0 0 9 0
"Kushneria" 0 0 0 0 0 0 69 0 0 0 0 0
"Kytococcus" 0 0 0 0 0 0 4 16 0 0 0 0
"Lachnoclostridium_12" 0 0 0 0 0 0 35 54 0 0 0 0
"Lachnospiraceae_UCG-006" 0 0 0 0 0 0 2 0 0 0 0 0
"Limnobacter" 0 0 0 0 0 0 46 28 0 0 0 0
"Luteimonas" 0 0 0 0 0 0 50 458 0 0 0 0
"Luteococcus" 0 0 0 0 0 0 31 0 0 0 0 0
"Lysobacter" 0 0 0 0 0 0 50 984 0 0 0 0
"Marmoricola" 0 0 0 0 0 0 23 0 0 0 0 0
"Marvinbryantia" 0 0 0 0 0 0 8 0 0 0 0 0
"Mesorhizobium" 0 0 0 0 0 0 9 88 0 0 0 0
"Methanobrevibacter" 0 0 0 0 0 0 14 73 0 0 95 0
"Mycobacterium" 0 0 0 0 0 0 14 0 0 0 0 0
"Nakamurella" 0 0 0 0 0 0 17 0 0 0 0 0
"Niabella" 0 0 0 0 0 0 41 27 0 0 9 0
"Nocardioides" 0 0 0 0 0 0 284 1746 0 0 116 0
"Novosphingobium" 0 0 0 0 0 0 15 18 0 0 0 0
"OLB8" 0 0 0 0 0 0 4 38 0 0 0 0
"Ornithinicoccus" 0 0 0 0 0 0 13 54 0 0 0 0
"Ornithinimicrobium" 0 0 0 0 0 0 115 102 0 0 263 0
"Ottowia" 0 0 0 0 0 0 76 146 0 0 0 0
"Oxalobacter" 0 0 0 0 0 0 9 26 0 0 0 0
"Paracoccus" 0 0 0 0 0 0 163 148 0 0 0 0
"Pedomicrobium" 0 0 0 0 0 0 10 113 0 0 0 0
"Pelagibacterium" 0 0 0 0 0 0 8 0 0 0 0 0
"Perlucidibaca" 0 0 0 0 0 0 8 0 0 0 0 0
"Petrimonas" 0 0 0 0 0 0 5 0 0 0 47 0
"Propionicicella" 0 0 0 0 0 0 6 24 0 0 0 0
"Propioniciclava" 0 0 0 0 0 0 86 0 0 0 267 0
"Pseudoclavibacter" 0 0 0 0 0 0 111 38 0 0 0 0
"Pseudonocardia" 0 0 0 0 0 0 14 0 0 0 0 0
"Quadrisphaera" 0 0 0 0 0 0 644 290 0 0 112 0
"Rhizorhapis" 0 0 0 0 0 0 71 61 0 0 0 0
"Rhodobacter" 0 0 0 0 0 0 6 20 0 0 0 0
"Rhodomicrobium" 0 0 0 0 0 0 2 0 0 0 0 0
"Rhodopirellula" 0 0 0 0 0 0 2 0 0 0 0 0
"Robinsoniella" 0 0 0 0 0 0 4 0 0 0 0 0
"Ruminiclostridium_5" 0 0 0 0 0 0 2 0 0 0 0 0
"Salinicola" 0 0 0 0 0 0 3 0 0 0 0 0
"Sarcina" 0 0 0 0 0 0 23 51 0 50 27 121
"Serinicoccus" 0 0 0 0 0 0 35 45 0 0 64 0
"Sphingomonas" 0 0 0 0 0 0 13 0 0 0 0 0
"Spirosoma" 0 0 0 0 0 0 33 0 0 0 0 0
"Staphylococcus" 0 0 0 0 0 0 78 30 0 0 0 1926
"Streptomyces" 0 0 0 0 0 0 9 67 0 0 0 0
"Taibaiella" 0 0 0 0 0 0 11 86 0 0 9 0
"Tessaracoccus" 0 0 0 0 0 0 38 30 0 0 0 0
"Tetrasphaera" 0 0 0 0 0 0 60 139 0 0 78 0
"Thermomonas" 0 0 0 0 0 0 13 156 0 0 12 0
"Tonsilliphilus" 0 0 0 0 0 0 37 0 0 0 0 0
"Truepera" 0 0 0 0 0 0 4 8 0 0 0 0
"Vitellibacter" 0 0 0 0 0 0 4 9 0 0 0 0
"W5053" 0 0 0 0 0 0 49 16 0 0 6 0
"Zhizhongheella" 0 0 0 0 0 0 22 0 0 0 0 0
"Actinocorallia" 0 0 0 0 0 0 0 21 0 0 0 0
"Agrococcus" 0 0 0 0 0 0 0 51 0 0 0 0
"Aliihoeflea" 0 0 0 0 0 0 0 25 0 0 0 0
"Anaerolinea" 0 0 0 0 0 0 0 15 0 0 0 0
"Bauldia" 0 0 0 0 0 0 0 16 0 0 0 0
"Blastocatella" 0 0 0 0 0 0 0 10 0 0 0 0
"Candidatus_Alysiosphaera" 0 0 0 0 0 0 0 13 0 0 0 0
"Caproiciproducens" 0 0 0 0 0 0 0 14 0 0 0 0
"Cellulosimicrobium" 0 0 0 0 0 0 0 107 0 0 0 0
"Chryseolinea" 0 0 0 0 0 0 0 14 0 0 0 0
"Conexibacter" 0 0 0 0 0 0 0 66 0 0 0 0
"Defluviicoccus" 0 0 0 0 0 0 0 15 0 0 0 0
"Devosia" 0 0 0 0 0 0 0 35 0 0 0 0
"Ellin6055" 0 0 0 0 0 0 0 45 0 0 0 0
"Enterococcus" 0 0 0 0 0 0 0 38 0 0 0 0
"Flavobacterium" 0 0 0 0 0 0 0 72 0 0 0 0
"Geminicoccus" 0 0 0 0 0 0 0 16 0 0 0 0
"Hirschia" 0 0 0 0 0 0 0 11 0 0 0 0
"Hydrogenophaga" 0 0 0 0 0 0 0 20 0 0 0 0
"IS-44" 0 0 0 0 0 0 0 10 0 0 0 0
"Lachnospiraceae_FCS020_group" 0 0 0 0 0 0 0 12 0 0 0 0
"Lachnospiraceae_NK4B4_group" 0 0 0 0 0 0 0 15 0 16 0 0
"Lactococcus" 0 0 0 0 0 0 0 29 0 0 0 0
"Lysinimonas" 0 0 0 0 0 0 0 13 0 0 0 0
"Marinilutecoccus" 0 0 0 0 0 0 0 10 0 0 0 0
"Microbulbifer" 0 0 0 0 0 0 0 41 0 0 0 0
"Micrococcus" 0 0 0 0 0 0 0 15 0 0 55 0
"Micromonospora" 0 0 0 0 0 0 0 61 0 0 0 0
"Nitrospira" 0 0 0 0 0 0 0 62 0 0 0 0
"Peredibacter" 0 0 0 0 0 0 0 56 0 0 0 0
"Proteus" 0 0 0 0 0 0 0 55 0 0 0 0
"Pseudactinotalea" 0 0 0 0 0 0 0 48 0 0 0 0
"Pseudofulvimonas" 0 0 0 0 0 0 0 20 0 0 0 0
"Pseudorhodoplanes" 0 0 0 0 0 0 0 38 0 0 0 0
"Pseudoxanthomonas" 0 0 0 0 0 0 0 26 0 0 0 0
"Rhodobaculum" 0 0 0 0 0 0 0 81 0 0 0 0
"Rhodococcus" 0 0 0 0 0 0 0 27 0 0 0 0
"Robiginitalea" 0 0 0 0 0 0 0 56 0 0 0 0
"Solirubrobacter" 0 0 0 0 0 0 0 29 0 0 0 0
"Sphingobacterium" 0 0 0 0 0 0 0 14 0 0 0 0
"Stenotrophobacter" 0 0 0 0 0 0 0 28 0 0 0 0
"Streptococcus" 0 0 0 0 0 0 0 116 0 8 17 0
"Succinivibrio" 0 0 0 0 0 0 0 59 89 91 15 48
"SWB02" 0 0 0 0 0 0 0 13 0 0 0 0
"Terrabacter" 0 0 0 0 0 0 0 59 0 0 0 0
"Terrimonas" 0 0 0 0 0 0 0 5 0 0 0 0
"Thauera" 0 0 0 0 0 0 0 15 0 0 0 0
"Woeseia" 0 0 0 0 0 0 0 15 0 0 0 0
"Ruminococcaceae_V9D2013_group" 0 0 0 0 0 0 0 0 21 0 0 0
"Sporobacter" 0 0 0 0 0 0 0 0 7 0 0 0
"Lactobacillus" 0 0 0 0 0 0 0 0 0 24 0 10
"Romboutsia" 0 0 0 0 0 0 0 0 0 13 0 17
"Eubacterium_brachy_group" 0 0 0 0 0 0 0 0 0 0 13 0
"Corynebacterium_1" 0 0 0 0 0 0 0 0 0 0 64 0
"Lachnospiraceae_XPB1014_group" 0 0 0 0 0 0 0 0 0 0 10 0
"Mycoplasma" 0 0 0 0 0 0 0 0 0 0 1299 0
"Ruminococcus_gnavus_group" 0 0 0 0 0 0 0 0 0 0 0 24
"Anaerobium" 0 0 0 0 0 0 0 0 0 0 0 6
"Angelakisella" 0 0 0 0 0 0 0 0 0 0 0 14
"Butyricicoccus" 0 0 0 0 0 0 0 0 0 0 0 64
"Cetobacterium" 0 0 0 0 0 0 0 0 0 0 0 6
"Flavonifractor" 0 0 0 0 0 0 0 0 0 0 0 5
"Herbinix" 0 0 0 0 0 0 0 0 0 0 0 11
"Lachnospiraceae_UCG-001" 0 0 0 0 0 0 0 0 0 0 0 72
"Lachnospiraceae_UCG-003" 0 0 0 0 0 0 0 0 0 0 0 7
"Paraclostridium" 0 0 0 0 0 0 0 0 0 0 0 14
"Parasporobacterium" 0 0 0 0 0 0 0 0 0 0 0 11
"Tyzzerella" 0 0 0 0 0 0 0 0 0 0 0 22
"UBA1819" 0 0 0 0 0 0 0 0 0 0 0 32
"XBB1006" 0 0 0 0 0 0 0 0 0 0 0 30
