"D07526" "D07527" "D07528" "D07529" "D07530" "D07531" "D07532" "D07533" "D07534" "D07535" "D07536" "D07537" "D07538" "D07539" "D07540" "D07541" "D07542" "D07543" "D07544" "D07545" "D07546" "D07547" "D07548" "D07549" "D07550" "D07551" "D07552"
"Methylobacterium" 38 5 9 0 0 17 9 0 0 0 27 31 0 7 0 0 0 0 0 0 0 0 0 0 7 0 0
"Motilimonas" 66 7 23 18 91 65 106 150 99 26 90 82 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Negativibacillus" 49 15 47 17 10 0 0 0 0 0 0 17 14 41 0 47 15 15 0 0 0 12 0 0 22 139 53
"Nocardia" 16 0 0 0 11 0 18 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oceanobacillus" 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Olsenella" 36 0 3 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parasutterella" 36 26 84 35 22 16 19 0 55 0 66 101 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
"Phascolarctobacterium" 78 0 61 75 73 89 29 315 169 128 194 34 69 7 0 0 0 0 0 0 0 0 0 0 0 0 0
"Planococcus" 16 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotella 1" 7 0 47 115 0 302 42 414 534 16 614 22 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae Ga6A1 group" 47 39 17 19 134 151 250 173 197 0 148 206 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae UCG-004" 907 1051 845 600 349 2058 1914 2266 1835 232 2808 466 369 115 123 29 41 2536 491 11 3058 0 32 0 0 0 0
"Rikenellaceae RC9 gut group" 1065 1985 2202 2075 2027 3650 1807 4401 2897 2298 4155 2129 3939 227 2700 7 13 25 187 0 0 0 84 0 0 0 0
"Roseburia" 196 166 157 176 160 513 368 215 266 953 280 88 250 716 316 775 2234 776 1197 873 760 544 340 381 884 588 401
"Roseovarius" 7 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium" 60 17 15 0 29 47 0 27 22 56 0 42 0 106 62 121 69 67 72 53 29 107 70 145 214 240 141
"Ruminiclostridium 1" 155 88 52 139 316 313 256 142 133 82 125 322 57 170 143 145 110 77 871 253 30 286 109 742 135 1363 3188
"Ruminiclostridium 6" 394 38 126 41 46 196 47 41 68 97 38 61 112 0 3 0 14 92 19 86 36 78 0 0 0 0 0
"Ruminiclostridium 9" 137 162 248 181 60 101 47 103 61 50 116 147 62 93 28 100 107 77 31 163 142 203 85 105 87 78 83
"Ruminococcaceae NK4A214 group" 559 604 389 450 200 224 206 363 154 235 113 286 199 199 67 178 259 87 77 124 513 143 236 217 148 93 112
"Ruminococcaceae UCG-002" 37 18 32 30 74 146 98 282 188 119 117 119 118 46 56 78 52 31 12 0 306 0 28 10 0 6 17
"Ruminococcaceae UCG-005" 3556 2932 5375 3897 3394 8106 6025 6196 6312 7909 6607 3798 6620 4763 5013 6271 7141 5884 7683 6915 8357 4624 2936 3167 6925 5227 6853
"Ruminococcaceae UCG-007" 13 73 0 15 0 23 30 24 20 13 0 12 0 9 0 10 197 15 0 0 64 0 0 3 0 0 0
"Ruminococcaceae UCG-008" 22 18 14 0 0 0 0 0 0 0 0 0 37 6 0 0 17 0 0 0 9 0 8 27 0 15 12
"Ruminococcaceae UCG-009" 246 323 43 175 295 84 138 194 100 123 96 297 139 99 0 84 50 45 76 50 317 111 137 452 143 66 35
"Ruminococcaceae UCG-010" 4754 3898 3024 3600 6465 4271 3616 1974 4548 6273 3305 4961 2247 4318 1423 6004 3457 6960 6726 2568 2943 1299 1412 3171 6847 3292 2536
"Ruminococcaceae UCG-011" 53 17 36 34 41 86 152 47 44 126 51 96 139 100 33 83 57 95 61 75 92 77 12 15 36 39 47
"Ruminococcaceae UCG-013" 455 727 209 441 564 275 697 292 421 1196 791 532 522 2434 500 3106 782 368 889 2626 1827 4086 6421 2640 2407 1217 577
"Ruminococcaceae UCG-014" 866 1404 733 895 830 710 930 1067 829 1601 663 1698 1028 3074 906 2207 724 508 1202 2202 273 4250 5953 2831 2924 1750 1019
"Ruminococcus 1" 766 415 794 775 338 901 402 517 1248 984 716 1045 958 219 739 512 556 987 641 2951 304 2613 308 356 694 1445 204
"Ruminococcus 2" 230 336 38 203 192 132 180 163 54 121 19 222 262 31 86 144 94 105 38 72 12 115 15 78 71 62 25
"Salinicoccus" 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Shewanella" 62 25 24 33 33 0 19 44 32 178 103 102 42 4 0 0 9 0 0 0 5 0 11 10 27 0 0
"Shuttleworthia" 13 0 0 0 0 8 26 0 7 0 17 0 0 9 0 0 0 0 0 34 0 0 0 0 0 0 0
"Spongiimonas" 14 0 102 47 0 0 0 20 19 0 0 54 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sporosarcina" 276 0 0 0 0 0 0 436 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Treponema 2" 2237 51 597 495 92 4194 2240 3516 1981 0 463 982 199 12 0 112 0 0 0 0 0 0 60 46 76 0 0
"Tyzzerella 4" 220 249 154 378 187 84 155 176 177 217 361 470 522 827 267 540 402 207 278 655 565 610 429 445 330 531 176
"Unclassified" 5808 5369 4306 7826 3966 3609 4305 3621 3620 6723 4604 4985 3370 3258 3134 3631 3115 4833 7966 5911 3791 6628 3913 4666 4394 5861 4105
"uncultured bacterium" 1683 1246 1991 3065 2855 921 1952 1805 1968 2421 3580 3013 1336 654 445 824 1269 996 1080 201 687 109 204 594 717 920 595
"uncultured Kordiimonas sp." 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured rumen bacterium" 16 19 17 50 15 0 0 7 20 63 0 48 0 0 0 42 0 51 30 0 0 0 0 49 0 9 12
"Vibrio" 36 26 0 52 0 0 0 27 29 0 0 144 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yaniella" 34 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] eligens group" 0 14 0 0 0 13 0 0 0 15 0 0 0 17 0 122 157 13 0 60 176 44 18 33 37 0 17
"[Eubacterium] hallii group" 0 6 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Ruminococcus] torques group" 0 46 202 53 26 33 30 25 40 0 55 27 50 290 103 199 200 131 128 95 57 56 86 253 123 285 175
"Acetitomaculum" 0 12 36 0 12 31 10 0 0 5 62 0 10 4 0 34 0 15 24 0 0 0 0 0 0 0 0
"Atopobium" 0 26 0 0 0 0 0 7 0 7 0 0 0 0 0 0 0 0 0 0 0 0 24 6 0 0 0
"Bosea" 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0
"Cetobacterium" 0 37 0 0 35 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cyclobacterium" 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DS001" 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erysipelatoclostridium" 0 17 0 0 0 0 0 0 0 0 0 0 0 42 0 31 20 51 35 36 8 52 28 54 0 13 16
"Family XIII AD3011 group" 0 12 31 10 9 159 26 86 29 51 46 13 25 91 0 17 4 0 22 23 129 0 56 22 37 14 26
"Halioglobus" 0 12 52 32 6 0 0 0 22 0 0 18 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helicobacter" 0 9 0 0 0 0 0 0 0 15 0 0 0 5 0 9 0 0 0 0 0 0 16 15 9 0 0
"Ilumatobacter" 0 13 12 19 0 0 0 0 14 0 16 14 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Intestinimonas" 0 20 17 0 0 7 0 23 7 18 0 40 26 29 31 77 34 48 41 63 55 60 58 97 70 34 34
"Kordia" 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium 1" 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae FE2018 group" 0 19 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Moryella" 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nautella" 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nitrolancea" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oribacterium" 0 13 6 0 0 27 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oscillibacter" 0 74 30 127 59 35 56 51 53 105 44 71 62 45 22 9 37 39 126 38 39 83 54 83 50 52 11
"Papillibacter" 0 20 15 6 0 26 16 34 14 41 11 17 21 59 28 158 126 163 144 154 104 229 103 162 65 157 64
"Parabacteroides" 0 336 37 83 37 81 12 12 0 0 20 0 29 0 12 0 17 14 0 0 0 0 4 0 0 0 12
"possible genus Sk018" 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 59 0 0 0 0 0 0
"Roseiarcus" 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruegeria" 0 60 112 94 0 0 0 0 67 0 0 24 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 5" 0 84 42 19 0 0 0 0 0 0 0 46 29 49 23 28 49 101 79 38 44 147 298 88 81 57 73
"Ruminococcaceae UCG-004" 0 16 23 23 0 0 0 0 0 0 16 50 16 19 6 29 0 11 0 0 55 0 0 33 17 15 0
"ZOR0006" 0 10 64 55 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Bacteroides] pectinophilus group" 0 0 4 0 0 0 0 0 0 43 0 0 0 0 0 0 46 0 432 0 0 0 0 0 0 59 28
"[Eubacterium] brachy group" 0 0 15 22 17 70 19 22 20 44 0 0 0 61 23 8 0 0 23 17 22 10 5 8 0 0 5
"[Eubacterium] ventriosum group" 0 0 7 0 39 0 0 0 0 6 0 0 0 101 457 199 94 158 1015 833 0 690 212 118 96 552 881
"[Eubacterium] xylanophilum group" 0 0 6 9 0 31 39 30 38 0 52 20 11 0 30 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
"Actibacter" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 14 15 0 55 56 38 15 15 238 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bifidobacterium" 0 0 3 0 224 0 28 0 0 0 0 0 0 14 76 210 53 72 5 86 125 66 52 37 120 52 9
"Bradyrhizobium" 0 0 8 0 0 0 0 16 0 0 0 0 0 10 0 0 0 0 0 0 5 0 0 0 0 0 0
"Cajanus cajan (pigeon pea)" 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cryomorpha" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Defluviitaleaceae UCG-011" 0 0 8 25 6 20 0 33 17 15 23 0 8 29 0 0 45 58 57 0 52 0 6 0 22 0 0
"DNF00809" 0 0 4 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 29 82 0 0
"Enterorhabdus" 0 0 6 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"Escherichia-Shigella" 0 0 73 0 32 15 12 39 434 6 47 38 9 41 0 0 148 9 36 0 0 0 0 0 0 0 47
"Fibrobacter" 0 0 30 87 14 341 749 157 0 16 0 6 259 5 0 0 23 0 0 0 96 0 5 0 0 0 0
"Formosa" 0 0 27 6 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Harryflintia" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0
"Lachnospiraceae UCG-002" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 5 0 0 0 0 0 39
"Lactobacillus" 0 0 9 0 0 0 0 9 5 0 0 5 0 17 0 0 0 0 0 0 0 0 24 0 0 0 0
"Loktanella" 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lysinimicrobium" 0 0 9 18 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maribacter" 0 0 5 0 0 0 0 0 0 0 0 5 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Marinibacterium" 0 0 13 0 0 0 0 0 0 0 0 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanobrevibacter" 0 0 84 29 87 91 0 338 162 173 0 78 11 8 0 0 0 0 0 0 22 0 0 0 0 0 0
"Methanosphaera" 0 0 28 0 10 12 0 5 0 10 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Muricauda" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Novosphingobium" 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Odoribacter" 0 0 13 0 0 0 0 59 22 31 0 39 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parvibacter" 0 0 3 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 14 0 0 0 0 0 0
"Pedomicrobium" 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotella 7" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudolabrys" 0 0 5 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhodanobacter" 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Romboutsia" 0 0 12 43 25 132 66 85 35 55 14 11 0 50 0 253 54 12 13 10 112 20 36 0 29 0 0
"Roseobacter clade CHAB-I-5 lineage" 0 0 9 13 0 0 0 0 0 4 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rubritalea" 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Saccharofermentans" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"Serratia" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingomonas" 0 0 17 0 0 0 0 35 0 23 0 10 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"Streptococcus" 0 0 6 26 9 0 38 0 0 0 173 0 64 122 0 72 21 0 0 42 0 59 0 7 40 17 8
"Succinivibrionaceae UCG-002" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Synechococcus CC9902" 0 0 8 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tenacibaculum" 0 0 37 0 0 0 0 0 32 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tepidamorphus" 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella" 0 0 4 11 0 0 0 0 15 0 22 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured Deferribacteres bacterium" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured forest soil bacterium" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaeroplasma" 0 0 0 22 18 0 0 0 0 71 25 30 13 0 0 0 0 0 0 18 0 11 0 0 0 0 0
"Butyricimonas" 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 8 0 22 0 0 0 0 5 0 0 0
"Campylobacter" 0 0 0 6 0 0 0 0 0 11 73 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Jeotgalibaca" 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-004" 0 0 0 19 33 27 16 10 15 0 0 14 13 218 0 0 0 0 0 0 0 5 117 0 0 0 0
"Photobacterium" 0 0 0 121 13 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae UCG-001" 0 0 0 28 0 93 164 97 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 0 0 0 9 0 0 19 1391 24 282 259 0 0 0 0 0 0 0 0 0 76 0 0 8 5 0 0
"Pseudoruegeria" 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tissierella" 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arthrobacter" 0 0 0 0 6 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospira" 0 0 0 0 6 0 0 10 29 0 0 21 0 63 23 23 69 761 12 0 0 5 5 0 0 0 14
"Lachnospiraceae UCG-010" 0 0 0 0 15 13 0 0 0 6 54 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0
"Prevotellaceae UCG-003" 0 0 0 0 23 0 91 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacillus" 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Turicibacter" 0 0 0 0 53 21 19 49 18 27 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unidentified rumen bacterium RFN47" 0 0 0 0 65 10 407 19 16 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Akkermansia" 0 0 0 0 0 63 11 151 9 169 0 0 0 0 0 0 0 0 0 0 603 0 0 0 0 0 0
"Candidatus Saccharimonas" 0 0 0 0 0 42 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hespellia" 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paeniclostridium" 0 0 0 0 0 5 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-001" 0 0 0 0 0 7 0 0 0 0 0 0 0 4 0 0 61 0 0 0 0 0 0 0 14 0 0
"Butyrivibrio" 0 0 0 0 0 0 28 0 0 22 0 0 0 0 0 0 16 0 0 0 61 0 0 0 0 0 0
"Cerasicoccus" 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 24 0 24 0 0 0 0 0
"Coprococcus 1" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 5 0 14 0 0 0 0 0 0 0 0 0 0
