"D12373" "D12374" "D12375" "D12376" "D12377" "D12378" "D12379" "D12380" "D12381" "D12382" "D12383" "D12384" "D12385" "D12386" "D12387" "D12388" "D12389" "D12390"
"Bifidobacterium" 45 32 24 6 0 45 0 0 11 201 372 760 252 7000 1342 2603 8996 4087
"Blautia" 596 520 297 471 303 616 311 598 308 287 694 274 458 159 162 51 36 222
"Butyricicoccus" 45 11 25 38 8 52 20 37 20 26 37 42 44 20 10 4 17 29
"Candidatus_Soleaferrea" 15 3 0 0 2 4 2 0 16 4 0 0 5 5 2 0 0 21
"Catenibacterium" 191 8 16 86 43 15 58 66 17 0 0 0 273 278 41 100 277 410
"Catenisphaera" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cellulosilyticum" 8 0 0 0 0 3 0 0 0 98 0 0 0 0 0 0 0 0
"Christensenellaceae_R-7_group" 197 314 148 168 777 178 54 76 865 161 28 39 179 111 107 863 2 78
"Clostridium_sensu_stricto_1" 353 191 317 293 211 472 2 79 140 594 472 646 719 0 0 4 0 0
"Collinsella" 131 83 117 130 6 169 36 50 29 97 174 305 196 565 537 466 398 545
"Coprococcus_1" 42 4 11 10 33 4 21 40 7 16 27 26 23 12 4 4 22 24
"Coprococcus_2" 65 40 61 26 0 28 36 44 15 3 159 163 159 29 72 0 4 23
"Coprococcus_3" 59 41 59 30 61 59 49 59 40 25 0 0 29 0 7 34 0 0
"Coriobacteriaceae_UCG-003" 28 9 0 11 4 13 12 5 10 6 0 0 12 0 0 0 0 0
"Desulfovibrio" 37 16 11 28 8 46 14 2 26 15 17 29 38 0 3 0 0 0
"dgA-11_gut_group" 3 4 0 0 10 2 0 0 5 0 4 5 0 25 2 0 0 37
"Dialister" 477 172 478 292 283 323 20 143 502 130 479 496 558 504 266 445 369 1143
"Dorea" 289 166 135 179 56 273 166 212 88 85 231 193 159 60 28 14 66 184
"Elusimicrobium" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterorhabdus" 34 29 22 11 0 16 11 21 20 7 33 28 32 15 24 78 5 11
"Erysipelotrichaceae_UCG-006" 15 16 5 27 8 16 6 21 7 0 0 0 0 0 0 0 0 0
"Faecalibacterium" 523 96 138 357 71 241 209 576 152 282 773 722 703 122 71 24 29 147
"Faecalitalea" 8 10 4 19 0 0 0 2 3 0 0 0 0 0 0 0 0 0
"Family_XIII_AD3011_group" 51 114 71 77 216 118 28 37 68 56 11 13 28 140 135 320 2 53
"Family_XIII_UCG-001" 3 5 5 9 7 5 0 2 10 17 10 5 8 0 20 4 0 13
"Fournierella" 7 0 0 0 19 0 0 6 0 0 0 0 0 0 0 0 0 0
"Fusicatenibacter" 47 12 8 16 4 59 24 33 2 17 95 79 14 5 10 0 2 7
"Helicobacter" 17 19 83 0 0 3 0 13 2 0 4 57 4 0 0 0 2 0
"Holdemanella" 178 95 74 142 106 144 110 134 32 0 0 0 0 0 0 11 12 23
"Howardella" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Intestinibacter" 304 204 268 58 146 265 25 111 78 98 14 24 129 42 31 250 0 14
"Lachnoclostridium" 30 15 39 25 36 57 16 34 61 19 68 25 18 3 5 11 10 17
"Lachnospira" 48 7 12 28 14 25 14 23 4 3 11 0 0 0 3 0 0 0
"Lachnospiraceae_AC2044_group" 2 0 0 0 51 0 15 4 300 0 0 7 0 0 0 0 13 2
"Lachnospiraceae_FCS020_group" 22 12 11 13 40 37 4 24 18 22 26 22 26 7 11 0 0 26
"Lachnospiraceae_ND3007_group" 50 29 12 16 0 27 0 14 11 43 121 96 92 7 15 0 3 15
"Lachnospiraceae_NK3A20_group" 267 296 390 251 95 170 66 183 309 165 87 115 115 308 227 168 18 198
"Lachnospiraceae_NK4A136_group" 96 29 21 23 84 31 5 81 105 434 52 69 500 63 73 192 0 11
"Lachnospiraceae_NK4B4_group" 10 6 0 7 0 0 0 0 5 5 0 0 0 0 0 0 0 0
"Lachnospiraceae_UCG-004" 15 4 13 11 0 28 0 18 12 0 4 10 5 415 1333 1398 842 256
"Lachnospiraceae_UCG-008" 173 195 72 271 158 222 165 240 218 183 348 346 303 83 25 15 62 67
"Lactobacillus" 1848 3413 3398 2471 3786 2033 4888 3337 1464 399 52 389 12 218 178 698 180 197
"Libanicoccus" 21 40 24 17 0 30 0 14 8 8 23 31 38 9 38 0 0 0
"Marvinbryantia" 86 105 45 49 172 77 34 71 72 79 71 44 107 13 21 54 0 16
"Megasphaera" 245 171 58 134 11 0 92 102 206 23 36 47 31 69 192 33 699 56
"Methanobrevibacter" 19 97 10 22 513 0 8 9 475 335 6 0 0 76 91 0 0 25
"Methanosphaera" 123 275 59 95 265 126 6 21 228 0 0 0 0 0 0 0 0 0
"Mitsuokella" 25 6 14 0 0 0 2 0 10 22 0 6 0 0 0 12 236 123
"Mogibacterium" 145 260 208 171 193 281 107 72 176 0 0 0 0 0 0 0 0 0
"Negativibacillus" 44 28 31 37 41 38 7 11 37 0 0 0 0 0 0 0 0 0
"Olsenella" 52 9 14 10 0 17 6 15 20 23 6 17 31 18 36 23 5 15
"Oribacterium" 223 173 189 154 96 363 92 206 138 51 158 126 230 8 10 69 6 68
"Parabacteroides" 30 0 0 0 0 0 0 4 17 0 0 0 0 0 0 0 0 0
"Peptococcus" 39 71 65 96 31 95 27 34 24 0 0 0 0 0 0 0 0 0
"Phascolarctobacterium" 29 0 0 0 0 0 4 20 2 0 0 0 0 0 0 0 0 0
"Prevotella_1" 2 0 0 0 37 0 3 3 15 0 0 0 0 0 0 0 0 0
"Prevotella_2" 61 0 11 0 6 0 20 46 6 0 43 34 55 17 8 10 0 0
"Prevotella_7" 147 15 70 30 55 17 10 76 36 95 111 84 257 153 178 7 18 6
"Prevotella_9" 942 131 239 115 194 182 178 646 146 1005 1027 1155 1617 969 728 402 153 1031
"Prevotellaceae_NK3B31_group" 18 0 0 0 6 0 0 4 0 7 71 54 110 19 11 5 4 11
"Prevotellaceae_UCG-001" 6 0 0 0 107 0 5 10 80 0 0 0 0 0 0 0 0 0
"Prevotellaceae_UCG-003" 80 27 18 13 83 10 64 16 56 170 28 47 62 23 0 3 3 126
"Prevotellaceae_UCG-004" 2 0 0 0 25 0 0 0 22 0 0 3 5 6 0 44 0 0
"Pseudoramibacter" 30 0 15 4 0 0 0 34 60 0 0 0 0 0 0 0 0 0
"Rikenellaceae_RC9_gut_group" 156 89 23 37 179 33 14 9 224 147 17 15 104 25 115 479 0 65
"Roseburia" 111 14 24 10 30 45 9 55 38 72 72 97 107 165 286 211 7 18
"Ruminiclostridium_5" 5 0 3 0 4 2 0 0 0 5 31 10 0 0 0 3 0 13
"Ruminiclostridium_6" 16 28 16 0 64 2 11 13 23 29 7 13 83 0 0 11 0 3
"Ruminiclostridium_9" 57 19 0 2 87 19 2 5 87 27 31 24 67 49 65 98 0 39
"Ruminococcaceae_NK4A214_group" 161 185 76 118 799 137 48 58 656 269 42 45 203 200 175 374 8 61
"Ruminococcaceae_UCG-002" 476 204 178 148 1033 354 98 97 731 378 58 65 274 397 206 1063 12 285
"Ruminococcaceae_UCG-003" 23 0 0 4 30 2 0 3 12 4 3 0 12 0 0 8 0 6
"Ruminococcaceae_UCG-004" 3 4 0 6 0 0 0 0 5 24 0 0 10 30 20 16 5 6
"Ruminococcaceae_UCG-005" 483 440 205 237 928 451 310 297 782 322 121 127 504 650 819 1118 34 387
"Ruminococcaceae_UCG-008" 573 103 291 263 192 207 116 352 252 155 342 325 654 15 0 0 0 39
"Ruminococcaceae_UCG-009" 62 13 0 0 23 25 3 2 17 8 0 0 6 5 2 51 0 10
"Ruminococcaceae_UCG-010" 14 24 6 29 48 9 7 0 64 70 21 19 38 42 29 86 0 24
"Ruminococcaceae_UCG-013" 24 17 16 9 102 12 10 6 26 58 9 22 142 101 89 53 10 59
"Ruminococcaceae_UCG-014" 111 150 75 65 337 23 81 53 180 421 78 124 165 251 153 286 0 51
"Ruminococcus_1" 162 42 61 61 656 38 12 176 208 85 108 23 140 99 98 36 8 13
"S5-A14a" 10 0 0 0 5 0 4 0 0 0 0 0 0 0 0 0 0 0
"Selenomonas_3" 12 4 16 0 2 2 0 0 21 0 0 0 0 0 0 0 0 0
"Senegalimassilia" 26 23 46 29 6 46 4 6 7 10 21 24 34 27 53 9 13 37
"Shuttleworthia" 415 383 274 261 19 54 9 196 38 8 0 0 0 0 0 0 0 0
"Slackia" 8 10 8 11 4 11 7 10 0 14 76 39 92 21 7 5 0 10
"Solobacterium" 355 366 144 273 190 405 151 290 82 145 171 230 331 128 112 15 49 256
"Streptococcus" 1146 2258 4639 3869 1572 5957 1797 4493 4092 27 58 30 21 2 0 1187 12 0
"Subdoligranulum" 367 169 305 306 53 416 131 343 141 63 313 159 267 74 112 181 24 39
"Syntrophococcus" 88 0 107 34 0 0 0 4 3 0 0 0 0 0 0 0 0 0
"Terrisporobacter" 951 387 517 145 285 768 22 57 162 16 0 13 202 8 0 17 0 0
"Treponema_2" 122 56 38 35 912 10 41 42 466 171 10 44 93 43 34 102 0 11
"Eubacterium_xylanophilum_group" 0 2 0 4 7 0 6 2 5 29 0 6 32 0 0 0 0 0
"Enterococcus" 0 14 35 77 6 177 27 62 62 0 10 45 0 0 0 0 0 0
"Escherichia-Shigella" 0 7 14 5 0 33 0 62 29 0 66 506 33 0 0 19 0 0
"Finegoldia" 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium_12" 0 7 0 0 0 0 3 0 0 0 0 21 148 0 0 0 0 0
"Lachnospiraceae_NC2004_group" 0 4 0 5 2 0 0 2 0 0 2 4 2 0 0 2 0 0
"Lachnospiraceae_UCG-001" 0 5 0 0 0 0 0 0 0 17 26 24 3 0 0 0 0 0
"Lachnospiraceae_UCG-002" 0 11 0 6 6 0 0 0 2 0 0 0 0 0 0 0 0 0
"Micrococcus" 0 2 10 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Moraxella" 0 3 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"p-1088-a5_gut_group" 0 9 0 0 72 0 0 0 7 0 0 0 0 0 0 0 0 0
"Peptoniphilus" 0 7 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0
"Peptostreptococcus" 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium" 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0
"Ruminiclostridium_1" 0 11 0 0 5 0 0 0 31 0 0 0 0 0 0 0 0 0
"Staphylococcus" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Weissella" 0 28 84 222 3 164 73 144 94 0 11 0 0 0 0 4 0 0
"Aerococcus" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corynebacterium" 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corynebacterium_1" 0 0 5 6 0 2 0 0 3 0 0 0 0 0 0 0 0 0
"Ezakiella" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fibrobacter" 0 0 6 0 9 0 0 0 0 82 0 21 12 0 0 0 0 0
"Lachnospiraceae_UCG-006" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rothia" 0 0 2 4 0 6 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae_UCG-011" 0 0 3 0 0 0 0 0 0 0 0 0 0 19 0 41 0 0
"Ruminococcus_2" 0 0 15 22 4 5 0 15 67 449 10 8 15 0 0 0 0 0
"Sarcina" 0 0 2 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0
"Acetitomaculum" 0 0 0 3 4 0 4 2 9 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_UCG-010" 0 0 0 2 0 0 0 0 0 0 0 5 4 0 0 0 0 0
"Moryella" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Defluviitaleaceae_UCG-011" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066575" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0
"Lachnoclostridium_10" 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_XPB1014_group" 0 0 0 0 564 0 3 0 204 0 0 0 0 0 0 0 0 0
"Parvibacter" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Quinella" 0 0 0 0 15 0 0 0 8 0 0 0 0 0 0 0 0 0
"Ruminococcaceae_V9D2013_group" 0 0 0 0 15 0 0 0 8 0 0 0 0 0 0 0 0 0
"Veillonella" 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0
"XBB1006" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyrivibrio" 0 0 0 0 0 3 0 0 0 0 0 6 21 0 0 0 0 0
"Citrobacter" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Gallicola" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_UCG-003" 0 0 0 0 0 2 0 5 0 0 0 0 0 0 0 0 0 0
"Lactococcus" 0 0 0 0 0 5 0 0 0 0 270 38 0 0 0 0 0 0
"Romboutsia" 0 0 0 0 0 20 0 0 0 32 10 9 58 3 0 4 0 26
"Erysipelotrichaceae_UCG-003" 0 0 0 0 0 0 3 0 0 47 174 40 35 2 0 0 0 0
"Actinomyces" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 0 0 0 0 0 0 5 0 0 0 4 0 0 0 0 0
"Flavonifractor" 0 0 0 0 0 0 0 0 4 8 0 0 0 0 0 0 0 0
"Schwartzia" 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0
"Cetobacterium" 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0
"Erysipelotrichaceae_UCG-004" 0 0 0 0 0 0 0 0 0 9 0 5 7 12 3 13 0 0
"Succinivibrio" 0 0 0 0 0 0 0 0 0 35 0 8 339 4 0 5 0 3
"CAG-56" 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
"Leptotrichia" 0 0 0 0 0 0 0 0 0 0 16 8 0 0 0 0 0 0
"Oxalobacter" 0 0 0 0 0 0 0 0 0 0 4 5 0 2 0 4 0 0
"Tyzzerella" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Actinoplanes" 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 4
"Mannheimia" 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 5 7 0
"Methylobacterium" 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 3 0 4
"Mycoplasma" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"Niastella" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Pediococcus" 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0
"Solirubrobacter" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Sphingomonas" 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Anaerofustis" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Bacillus" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Bryobacter" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0
"Haliangium" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Pygmaiobacter" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
"1174-901-12" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"Alistipes" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 0 0
"Oscillospira" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 16 0 0 0
"Sutterella" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 2
"Amnibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Angustibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Bryocella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"Flavisolibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"Nocardioides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"Psychroglaciecola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"Cryptosporangium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
