"D11592" "D11593" "D11594" "D11595" "D11597" "D11598" "D11599" "D11600" "D11601" "D11602" "D11603"
"Lachnospiraceae UCG-004" 10419 7293 5787 9624 7448 5860 2089 1339 752 0 0
"Olsenella" 3394 2142 1879 2528 2869 0 0 0 0 0 0
"Oribacterium" 903 995 1284 2118 1454 28996 3209 2517 2174 6932 1345
"Oscillospira" 352 0 324 0 263 3431 0 972 0 343 206
"Oxalobacter" 612 0 582 926 505 0 0 652 0 0 0
"Phascolarctobacterium" 2177 3299 2695 1688 2126 15101 48521 20136 11123 12915 13173
"Prevotella 7" 46810 13604 25335 28861 32608 0 0 0 0 0 0
"Prevotella 9" 17350 7199 10152 20473 12414 248688 99629 98137 54543 57135 38010
"Pseudomonas" 23150 27770 0 983 2861 0 0 0 0 0 0
"Rikenellaceae RC9 gut group" 7444 3273 9642 18431 8296 148166 35032 7617 12379 55964 27847
"Roseburia" 2098 436 854 3204 1712 8429 7571 0 766 2061 404
"Ruminiclostridium 9" 1258 394 1360 497 852 7678 3448 1397 1336 1581 341
"Ruminococcaceae NK4A214 group" 11771 5567 8654 7985 9168 35471 9724 2155 10615 13468 8483
"Ruminococcaceae UCG-002" 12887 4564 7489 20277 14557 18673 12851 4486 6724 11289 3491
"Ruminococcaceae UCG-003" 2574 1120 1743 1487 1938 5939 2687 933 1020 1242 628
"Ruminococcaceae UCG-005" 6536 2395 386 3733 4778 46925 5091 7519 7550 11966 9779
"Ruminococcaceae UCG-008" 47025 13889 7665 32323 34380 11810 3138 577 1017 3514 4079
"Ruminococcaceae UCG-010" 6872 1344 9061 10557 7418 14865 2211 5920 6397 16899 5641
"Ruminococcaceae UCG-014" 15893 7384 29246 19587 15234 36960 3419 22077 21519 14138 11690
"Ruminococcus 1" 372 0 375 482 441 6803 1564 11029 9729 4781 11233
"Rummeliibacillus" 8702 0 659 3450 9031 0 0 0 0 0 0
"Senegalimassilia" 1310 451 1118 1726 1259 6367 0 612 0 0 905
"Solobacterium" 3578 1767 2208 10231 3325 2792 8015 509 1179 7333 2065
"Subdoligranulum" 11286 4469 8579 6848 8670 48101 8692 6543 5997 7801 5054
"Succinivibrio" 2467 1630 6417 8256 2654 44918 28643 20679 7767 6205 1780
"Sutterella" 2590 1476 5736 12464 3285 38083 10212 10849 3993 3857 957
"Butyricicoccus" 0 300 1837 429 311 0 0 0 0 0 0
"Caryophanon" 0 1993 0 0 0 0 0 0 0 0 0
"Chryseobacterium" 0 718 0 0 0 0 0 0 0 0 0
"Comamonas" 0 37923 0 0 0 0 0 0 0 0 0
"Diaphorobacter" 0 1754 0 0 0 0 0 0 0 0 0
"Empedobacter" 0 9280 0 0 0 0 0 0 0 0 0
"Flavobacterium" 0 21104 0 0 0 0 0 0 0 0 0
"Ketogulonicigenium" 0 743 0 0 0 0 0 0 0 0 0
"Lysinibacillus" 0 17351 0 1739 0 0 0 0 0 0 0
"Paracoccus" 0 565 0 0 0 0 0 0 0 0 0
"Solibacillus" 0 43839 0 13226 0 0 0 0 0 0 0
"Sphingobacterium" 0 2412 0 0 0 0 0 0 0 0 0
"Stenotrophomonas" 0 4591 0 0 0 0 0 0 0 0 0
"Timonella" 0 5504 0 0 0 0 0 0 0 0 0
"Vitreoscilla" 0 1716 0 0 0 0 0 0 0 0 0
"[Ruminococcus] torques group" 0 0 458 0 0 2197 0 0 0 0 0
"Elusimicrobium" 0 0 501 0 0 0 0 0 3102 0 156
"Escherichia-Shigella" 0 0 594 4317 0 0 0 0 0 0 0
"Family XIII AD3011 group" 0 0 428 1457 430 0 438 870 1504 1984 942
"Lachnospiraceae UCG-002" 0 0 588 0 0 9329 0 0 750 661 615
"Marvinbryantia" 0 0 704 0 0 4579 0 0 0 565 386
"Ruminococcaceae UCG-013" 0 0 322 0 268 1318 0 1513 0 455 0
"Synergistes" 0 0 1027 0 0 981 0 0 0 0 0
"Tyzzerella 3" 0 0 407 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 1" 0 0 0 794 0 13314 17266 8563 20263 19556 4689
"Enterobacter" 0 0 0 4792 0 0 0 0 0 0 0
"Pseudocitrobacter" 0 0 0 794 0 0 0 0 0 0 0
"Slackia" 0 0 0 653 0 0 0 0 0 0 0
"Chishuiella" 0 0 0 0 720 0 0 0 0 0 0
"Intestinibacter" 0 0 0 0 319 0 0 0 862 3178 0
"Lactococcus" 0 0 0 0 1076 0 0 0 0 0 0
"Peptococcus" 0 0 0 0 523 1818 0 0 0 0 0
"[Eubacterium] xylanophilum group" 0 0 0 0 0 14150 1246 2491 872 952 897
"[Ruminococcus] gauvreauii group" 0 0 0 0 0 3155 1406 921 2746 1538 3710
"28-4" 0 0 0 0 0 5893 2128 1235 0 2736 0
"Acetitomaculum" 0 0 0 0 0 34621 670 1309 4757 5476 4623
"Cloacibacillus" 0 0 0 0 0 781 0 1466 2139 0 781
"Coprococcus 3" 0 0 0 0 0 5364 332 402 2492 2051 1948
"Desulfovibrio" 0 0 0 0 0 853 0 0 0 0 0
"dgA-11 gut group" 0 0 0 0 0 4643 3081 4052 832 5106 1498
"Faecalitalea" 0 0 0 0 0 1081 948 0 499 1158 758
"Fournierella" 0 0 0 0 0 6632 1964 0 1197 945 1388
"Lachnospira" 0 0 0 0 0 4205 3132 0 0 560 0
"Lachnospiraceae UCG-003" 0 0 0 0 0 1297 0 905 0 730 0
"Lachnospiraceae UCG-008" 0 0 0 0 0 6208 762 5765 1814 4754 1102
"Parabacteroides" 0 0 0 0 0 33152 0 5555 0 0 0
"Prevotella 1" 0 0 0 0 0 81434 1018 7125 3545 3955 2860
"Prevotella 2" 0 0 0 0 0 19750 6312 4871 3307 18532 1456
"Prevotellaceae UCG-001" 0 0 0 0 0 4011 0 8358 5276 0 4326
"Prevotellaceae UCG-003" 0 0 0 0 0 4634 5504 5263 5807 4192 2275
"Pygmaiobacter" 0 0 0 0 0 760 1341 0 0 0 0
"Ruminiclostridium 6" 0 0 0 0 0 3200 0 7051 1348 649 492
"Ruminococcaceae UCG-011" 0 0 0 0 0 851 0 0 0 0 346
"Ruminococcus 2" 0 0 0 0 0 1305 0 0 482 623 0
"Sphaerochaeta" 0 0 0 0 0 13506 2781 3654 9245 2028 5475
"Treponema 2" 0 0 0 0 0 26825 28369 8087 31084 41437 6938
"Z20" 0 0 0 0 0 1308 0 465 552 865 471
"Anaerosporobacter" 0 0 0 0 0 0 503 552 0 0 0
"Coprococcus 2" 0 0 0 0 0 0 2278 0 0 0 0
"Erysipelatoclostridium" 0 0 0 0 0 0 386 0 0 0 0
"Flavonifractor" 0 0 0 0 0 0 261 0 0 0 0
"Intestinimonas" 0 0 0 0 0 0 292 523 0 0 0
"Lachnospiraceae FCS020 group" 0 0 0 0 0 0 328 0 0 0 0
"Methanobrevibacter" 0 0 0 0 0 0 887 409 1777 1885 1906
"Oscillibacter" 0 0 0 0 0 0 370 0 0 241 0
"Ruminiclostridium" 0 0 0 0 0 0 604 0 0 0 0
"Victivallis" 0 0 0 0 0 0 290 0 0 0 0
"Candidatus Soleaferrea" 0 0 0 0 0 0 0 308 699 636 996
"Lachnoclostridium 10" 0 0 0 0 0 0 0 360 0 0 0
"Lachnospiraceae NK4B4 group" 0 0 0 0 0 0 0 315 514 0 0
"p-1088-a5 gut group" 0 0 0 0 0 0 0 2823 0 1032 0
"Pyramidobacter" 0 0 0 0 0 0 0 1253 280 0 0
"horsej-a03" 0 0 0 0 0 0 0 0 1386 3338 970
"Romboutsia" 0 0 0 0 0 0 0 0 387 0 0
"Ruminiclostridium 5" 0 0 0 0 0 0 0 0 713 0 0
"Ruminobacter" 0 0 0 0 0 0 0 0 1426 0 0
"Ruminococcaceae UCG-009" 0 0 0 0 0 0 0 0 2046 328 427
"Streptococcus" 0 0 0 0 0 0 0 0 457 0 0
"Terrisporobacter" 0 0 0 0 0 0 0 0 606 1475 0
"Turicibacter" 0 0 0 0 0 0 0 0 0 428 0
"DNF00809" 0 0 0 0 0 0 0 0 0 0 354
"Prevotellaceae UCG-004" 0 0 0 0 0 0 0 0 0 0 201
"Shuttleworthia" 0 0 0 0 0 0 0 0 0 0 249
