"D00344" "D00345" "D00346" "D00347" "D00348" "D00349" "D00350" "D00351" "D00360" "D00361" "D00362" "D00363" "D00364" "D00365" "D00366"
"Psychrobacter" 0 0 0 0 0 0 343 0 0 0 0 0 0 0 0
"Rubellimicrobium" 0 0 0 0 0 0 634 0 0 0 0 0 0 0 0
"Saccharopolyspora" 0 0 0 0 0 0 160 0 0 0 0 0 0 0 0
"Sphingomonas" 0 0 0 0 0 0 786 0 0 0 0 0 0 0 0
"Sphingopyxis" 0 0 0 0 0 0 680 0 0 0 0 0 0 0 0
"Staphylococcus" 0 0 0 0 0 0 3315 0 0 0 0 0 0 0 0
"Stenotrophomonas" 0 0 0 0 0 0 1532 0 0 0 0 0 0 0 0
"Terribacillus" 0 0 0 0 0 0 476 0 0 0 0 0 0 0 0
"Variovorax" 0 0 0 0 0 0 1099 0 0 0 0 0 0 0 0
"Vulcaniibacterium" 0 0 0 0 0 0 149 0 0 0 0 0 0 0 0
"Blautia" 0 0 0 0 0 0 0 216 0 0 0 0 0 0 0
"Butyricicoccus" 0 0 0 0 0 0 0 113 0 0 0 0 0 0 0
"Eggerthella" 0 0 0 0 0 0 0 1146 0 0 0 0 82 0 0
"Gordonibacter" 0 0 0 0 0 0 0 794 0 0 0 0 0 0 0
"Oxalobacter" 0 0 0 0 0 0 0 73 0 0 0 0 0 0 0
"Paraclostridium" 0 0 0 0 0 0 0 1690 217 471 0 0 0 0 0
"Romboutsia" 0 0 0 0 0 0 0 901 537 5812 131 0 103 236 1146
"Bilophila" 0 0 0 0 0 0 0 0 228 0 0 0 0 273 714
"Citrobacter" 0 0 0 0 0 0 0 0 84 0 0 1945 483 0 0
"Pygmaiobacter" 0 0 0 0 0 0 0 0 250 100 151 0 0 85 0
"UBA1819" 0 0 0 0 0 0 0 0 90 0 254 0 115 416 41
"Akkermansia" 0 0 0 0 0 0 0 0 0 10553 503 18075 8747 363 465
"Clostridium sensu stricto 11" 0 0 0 0 0 0 0 0 0 562 0 0 0 0 0
"Eubacterium" 0 0 0 0 0 0 0 0 0 81 0 0 329 177 0
"Oscillospira" 0 0 0 0 0 0 0 0 0 92 0 112 0 0 44
"Parabacteroides" 0 0 0 0 0 0 0 0 0 79 0 0 0 0 1007
"Afipia" 0 0 0 0 0 0 0 0 0 0 1072 0 0 0 0
"Cupriavidus" 0 0 0 0 0 0 0 0 0 0 173 0 0 0 0
"Ensifer" 0 0 0 0 0 0 0 0 0 0 153 0 0 0 0
"Fimbriiglobus" 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0
"Mesorhizobium" 0 0 0 0 0 0 0 0 0 0 2623 0 0 0 0
"Nordella" 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0
"Pseudonocardia" 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0
"Ruminococcaceae NK4A214 group" 0 0 0 0 0 0 0 0 0 0 85 0 0 98 155
"Ruminococcaceae UCG-014" 0 0 0 0 0 0 0 0 0 0 494 0 0 0 0
"Kluyvera" 0 0 0 0 0 0 0 0 0 0 0 212 0 0 0
"Lachnoclostridium 5" 0 0 0 0 0 0 0 0 0 0 0 740 0 0 0
"[Eubacterium] coprostanoligenes group" 0 0 0 0 0 0 0 0 0 0 0 0 0 374 0
"Cetobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0
"Desulfovibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 485 135
"GCA-900066755" 0 0 0 0 0 0 0 0 0 0 0 0 0 152 0
"Ruminococcaceae UCG-009" 0 0 0 0 0 0 0 0 0 0 0 0 0 842 0
"Alistipes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43
"Bacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 276
"Cloacibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1400
"Enterobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 319
"Hafnia-Obesumbacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 101
"Lachnospiraceae FCS020 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 147
"Phascolarctobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241
