"D07441" "D07442" "D07443" "D07444" "D07445" "D07446" "D07447" "D07448" "D07449" "D07450" "D07451" "D07452" "D07453" "D07463" "D07464" "D07465" "D07466" "D07467" "D07468" "D07469" "D07470" "D07471" "D07472" "D07473" "D07474" "D07475"
"Viridibacillus" 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anoxybacillus" 0 0 0 538 0 0 151 0 113 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chryseobacterium" 0 0 0 323 0 0 363 0 886 432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cutibacterium" 0 0 0 113 0 0 278 0 692 857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Delftia" 0 0 0 2014 0 0 2341 0 1673 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Massilia" 0 0 0 1022 0 0 523 0 256 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Meiothermus" 0 0 0 314 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methylobacterium" 0 0 0 1024 0 0 497 0 528 837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Microbacterium" 0 0 0 119 0 0 253 0 246 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Novosphingobium" 0 0 0 23 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pedobacter" 0 0 0 63 0 0 260 0 227 1254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pelomonas" 0 0 0 96 0 0 632 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhodococcus" 0 0 0 539 0 0 212 0 5 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhodoferax" 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingomonas" 0 0 0 9219 22 0 12517 39 6494 5720 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 0 0 0 18 0 0 0 0 0 130 0 37 165 5222 6369 2880 317 2308 6034 1910 35 3103 8262 32 10
"Blastococcus" 0 0 0 0 123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0
"Brevundimonas" 0 0 0 0 56 0 0 189 0 0 24 0 0 0 0 0 0 0 0 0 5 18 0 0 0 0
"Devosia" 0 0 0 0 27 0 0 19 0 0 9 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0
"Pseudenhygromyxa" 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudonocardia" 0 0 0 0 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solirubrobacter" 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sutterella" 0 0 0 0 130 0 0 0 0 0 35 0 0 0 1653 901 1298 6 117 3566 76 0 203 0 0 0
"Clostridium sensu stricto 4" 0 0 0 0 0 9 0 0 0 0 0 0 0 0 6 32 10 139 0 0 76 0 7 0 64 53
"Kineosporia" 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sarcina" 0 0 0 0 0 9 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0
"Deinococcus" 0 0 0 0 0 0 353 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"Hafnia-Obesumbacterium" 0 0 0 0 0 0 89 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kocuria" 0 0 0 0 0 0 48 0 0 210 0 0 0 0 0 0 0 0 0 0 19 149 0 0 0 0
"Mycobacterium" 0 0 0 0 0 0 15 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ralstonia" 0 0 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Staphylococcus" 0 0 0 0 0 0 16 0 171 554 4 0 0 0 0 0 0 0 0 0 0 136 0 0 0 0
"[Ruminococcus] torques group" 0 0 0 0 0 0 0 48 0 0 18 0 20 83 21 153 20 49 132 0 13 36 0 120 53 47
"Aeromicrobium" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bosea" 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 0 0 18 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Caenimonas" 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 7" 0 0 0 0 0 0 0 176 0 0 0 0 0 0 0 17 0 0 0 0 34 0 0 142 203 225
"Coprococcus 2" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ensifer" 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lutispora" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methyloversatilis" 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"Phascolarctobacterium" 0 0 0 0 0 0 0 8 0 0 12 0 0 0 304 117 81 14 66 255 0 6 16 1054 74 15
"Ramlibacter" 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium 5" 0 0 0 0 0 0 0 3 0 0 0 0 7 30 20 0 0 0 287 0 8 24 34 109 94 0
"Ruminococcus 1" 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingopyxis" 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingorhabdus" 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingosinicella" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SWB02" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"Terrisporobacter" 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 43 15 12 205 72 67 31 15 0 45 68
"Chelatococcus" 0 0 0 0 0 0 0 0 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Janthinobacterium" 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Klebsiella" 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lawsonella" 0 0 0 0 0 0 0 0 127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thermoanaerobaculum" 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yonghaparkia" 0 0 0 0 0 0 0 0 107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aquabacterium" 0 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Catenisphaera" 0 0 0 0 0 0 0 0 0 0 31 0 0 866 133 74 48 54 2580 72 0 4109 0 94 431 431
"Christensenellaceae R-7 group" 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Family XIII AD3011 group" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Megamonas" 0 0 0 0 0 0 0 0 0 0 26 0 0 123 652 462 285 48 169 440 0 26 47 0 0 0
"Romboutsia" 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 15 0 0 0 177 0 0 0 50 36
"Lachnospiraceae NK4A136 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 103 72 8 0 0 0 129 0 0 13 0 0 0
"Campylobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 610 0 0 0 0 0 1680 0 787 0 0 0
"Dorea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 72 0 0 147 0 0 132 28 0 49 42
"Negativibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 19 0 24 120 0 0 0 0 96 179 51
"Plesiomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0
"Roseburia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80 0 25 20 73 0 0 0 340 291 10 0
"Ruminococcaceae UCG-005" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 90 0 0 0 0 0 26 54
"Subdoligranulum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 3 0 0 0 0 0 0 0 0 0 0
"Succinivibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 10 5 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 7 66 74 0 87 0 0 9 455 115
"Desulfovibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 26 0 0 0 0 0
"Dietzia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 20 939 0 0 0 0
"Erysipelatoclostridium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 89 0 0 0 0
"Lachnospiraceae FCS020 group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 13
"Solobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 174 0 327 2830 172 0 0 0 247 328 265
"Tyzzerella 4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 140 0 0 218 0 0 1858 0 0 0
"Epulopiscium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 36 0 0 0
"Olsenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 234 0 0 0 0 0 22 37
"Paraeggerthella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
"Peptococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 29 39 40
"Ruminococcaceae UCG-011" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-014" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0
"Clostridium sensu stricto 2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105 0 0 69 0 0 0
"Paraclostridium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 0 0 0 0
"Agrococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0
"Arthrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
"Brevibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 0 0 0 0
"Jeotgalibaca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0
"Lactococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 20
"Macrococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0
"Nosocomiicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0
"Butyricicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 67 0 0
"[Eubacterium] hallii group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0
"[Eubacterium] nodatum group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1828 0 0
"[Ruminococcus] gauvreauii group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 18 3
"Clostridium sensu stricto 15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 29 7
"Faecalitalea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 3
"Hathewaya" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 4
"Howardella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0
"Odoribacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0
"Oscillospira" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0
"Parabacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0
"Ruminococcaceae UCG-010" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 5
"Erysipelotrichaceae UCG-007" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0
"Faecalicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0
"Ruminiclostridium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
