"D05619" "D05626" "D05630" "D05635" "D05641" "D05643" "D05647" "D05648" "D05651" "D05654" "D05655" "D05658" "D05659" "D05663" "D05670" "D05672" "D05673" "D05674" "D05675" "D05676" "D05677"
"Brachybacterium" 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 61 0 0 0 0 0
"Brevibacterium" 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brochothrix" 0 0 0 0 32 0 281 0 0 54 0 0 0 0 0 0 21 0 28 0 0
"Carnobacterium" 0 0 0 0 2079 251 50 0 1031 32 103 0 0 0 0 194 0 0 1152 33 366
"Delftia" 0 0 0 0 33 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterococcus" 0 0 0 0 159 84 0 0 1391 0 0 0 0 0 0 585 193 101 0 0 1305
"Glutamicibacter" 0 0 0 0 1507 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hafnia-Obesumbacterium" 0 0 0 0 46 0 0 0 0 0 97 0 658 857 0 205 34 0 0 0 0
"Kurthia" 0 0 0 0 39 30 0 0 0 36 0 0 0 0 0 35 0 24 35 0 0
"Leucobacter" 0 0 0 0 29 49 0 0 0 0 0 0 148 0 0 35 0 0 0 0 0
"Lysinibacillus" 0 0 0 0 1831 1088 0 0 0 49 0 0 160 0 0 0 0 0 128 24 66
"Methylobacterium" 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ochrobactrum" 0 0 0 0 46 286 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0
"Paenibacillus" 0 0 0 0 36 42 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 0 0 0 0 82 124 1622 0 0 86 259 292 220 0 0 120 1519 65 65 16952 0
"Psychrobacillus" 0 0 0 0 245 0 0 0 0 0 0 0 0 0 0 0 0 0 72 0 0
"Rhizobacter" 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhodanobacter" 0 0 0 0 246 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solibacillus" 0 0 0 0 256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingobacterium" 0 0 0 0 258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingomonas" 0 0 0 0 46 77 0 0 0 0 0 0 0 0 0 0 17 0 97 0 0
"Streptococcus" 0 0 0 0 31 113 0 0 134 19 0 0 0 0 0 710 0 0 0 0 0
"Taibaiella" 0 0 0 0 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured bacterium" 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Christensenellaceae R-7 group" 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 3" 0 0 0 0 0 292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 5" 0 0 0 0 0 116 0 0 0 0 0 0 0 0 0 655 0 0 0 0 0
"Comamonas" 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Curvibacter" 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cutibacterium" 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eggerthella" 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erysipelothrix" 0 0 0 0 0 988 0 0 0 0 0 0 6472 0 0 551 72 0 0 0 0
"Herbaspirillum" 0 0 0 0 0 78 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0
"Ignatzschineria" 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 131 354 0 16 1128 3940
"Jeotgalicoccus" 0 0 0 0 0 201 0 0 0 0 0 0 0 0 0 0 0 0 879 0 19
"Lacticigenium" 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactococcus" 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 65 178 0 0 0 153
"Pelomonas" 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Proteus" 0 0 0 0 0 171 0 0 0 0 0 0 3508 459 0 0 1975 0 0 270 18239
"Savagea" 0 0 0 0 0 860 0 0 0 0 0 0 0 0 0 2219 0 0 0 0 0
"Serratia" 0 0 0 0 0 34 0 0 0 27 0 0 0 0 0 41 0 0 0 61 0
"Stenotrophomonas" 0 0 0 0 0 31 0 0 0 0 0 0 112 0 0 0 0 0 0 0 0
"Tissierella" 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 445 100 0 0 102 0
"Vagococcus" 0 0 0 0 0 147 0 0 0 1231 0 0 0 0 0 627 659 82 1393 0 2047
"Chlamydia" 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 15" 0 0 0 0 0 0 652 47 0 0 0 0 0 0 0 0 0 0 155 0 0
"Clostridium sensu stricto 4" 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 0 318 0 23
"Dielma" 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 34 14 0 13 0 0
"Hathewaya" 0 0 0 0 0 0 241 94 0 0 0 0 0 0 0 0 0 291 129 0 14
"Mycoplasma" 0 0 0 0 0 0 102 19 0 79 0 0 0 0 0 0 122 0 67 852 451
"Parvimonas" 0 0 0 0 0 0 220 0 0 24 0 0 0 0 0 24 0 0 101 0 14
"Macellibacteroides" 0 0 0 0 0 0 0 24345 0 28 0 0 0 0 0 0 0 0 0 8721 0
"Citrobacter" 0 0 0 0 0 0 0 0 404 0 0 0 282 3949 0 0 0 0 0 0 0
"Mucilaginibacter" 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0
"Muribacter" 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0
"Streptobacillus" 0 0 0 0 0 0 0 0 16 46 0 0 0 0 0 0 23 0 9 0 0
"Buttiauxella" 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0
"Moellerella" 0 0 0 0 0 0 0 0 0 172 0 0 215 0 0 0 598 51 269 0 477
"Nosocomiicoccus" 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0
"Turicibacter" 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 20 0 0 0 0 0
"Bergeyella" 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0
"Asaccharospora" 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 0 0
"Cosenzaea" 0 0 0 0 0 0 0 0 0 0 0 0 353 0 0 0 0 0 0 0 0
"Klebsiella" 0 0 0 0 0 0 0 0 0 0 0 0 1492 0 0 0 0 0 0 0 0
"Lelliottia" 0 0 0 0 0 0 0 0 0 0 0 0 608 0 0 0 21 0 0 0 0
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 0 322 0 0 0 308 0 0 0 47
"Parafrigoribacterium" 0 0 0 0 0 0 0 0 0 0 0 0 109 0 0 0 0 0 0 0 0
"[Ruminococcus] gnavus group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0 0
"Afipia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0
"Arsenicicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0
"Atopostipes" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0
"Bosea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0
"Candidatus Udaeobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 171 0 0 0 0 0
"Candidatus Xiphinematobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0
"Clostridium sensu stricto 18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0
"Corynebacterium 1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 503 0 0 0 0 0
"Curtobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 129 0 0 0 0 0
"Granulicella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0
"Haemophilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0
"Kocuria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 91 0 0
"Luteolibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0
"Macrococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 294 0 0 0 0 0
"Micrococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 120 0 0 29 0 0
"Mobilicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 146 0 0 0 0 0
"Neisseria" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0
"Plantibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0
"Pseudarthrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0 0 0 0 0
"Pseudoclavibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 122 0 0 0 0
"Pseudorhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0
"Ruminiclostridium 1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0
"Staphylococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 1290 0 0
"Veillonella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0 0
"Acetitomaculum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0
"Catenisphaera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0
"Deinococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 102 0 0 0
"Olsenella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0
"Providencia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 363 0 0 0 38
"Yersinia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0
"Planococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0
"Planomicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0
"[Clostridium] innocuum group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0
"Butyricicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0
"Erysipelatoclostridium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 0
"Paenisporosarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 465 0
"Parabacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 0
"Parasutterella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 437 0
"Pseudochrobactrum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0
"Tyzzerella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89 0
"Vitreoscilla" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35
"Gemella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
