"D05724" "D05725" "D05726" "D05727" "D05728" "D05729" "D05730" "D05731" "D05732" "D05733" "D05734" "D05735" "D05736" "D05737" "D05738" "D05739" "D05740" "D05742" "D05743" "D05745" "D05746" "D05747" "D05748" "D05750" "D05752" "D05753" "D05754"
"Nocardiopsis" 144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 168 0 0 0 0 0 0 0 0 0
"Paeniclostridium" 911 0 176 122 126 78 0 112 0 0 0 0 0 57 0 0 87 0 0 0 0 0 0 95 0 209 162
"Paraclostridium" 17382 4520 8593 5339 2436 2340 14905 6160 2232 935 4408 3447 12680 6814 71783 4379 53979 24663 1327 16439 2579 1602 1136 5695 1331 8413 7520
"Pediococcus" 90 166 95 85 112 134 0 158 0 0 0 369 0 0 0 0 0 5908 0 0 0 0 0 0 0 140 123
"Pluralibacter" 211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudogracilibacillus" 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Romboutsia" 6807 2883 7240 2814 12899 8586 2576 7034 12585 21385 1891 4210 2195 10405 3240 17218 2092 2580 4207 3224 20199 4835 16815 6679 6405 2501 7710
"Salmonella" 457 1244 1088 1383 5254 229 1493 1327 5192 15256 1397 14899 361 1796 763 343 315 916 5135 1336 19254 17248 1056 2223 0 0 127
"Sarcina" 1709 754 2063 1066 1198 2067 646 3508 332 296 719 216 845 275 424 3820 3441 1122 144 938 271 377 852 821 1580 3331 4306
"Solibacillus" 444 2353 627 663 6300 366 14863 14209 0 666 1185 163 292 0 226 236 0 328 0 0 0 1018 0 76 0 518 379
"Terrisporobacter" 1292 443 748 926 1125 1128 267 1681 2726 366 439 302 806 295 326 2415 402 714 672 1694 220 340 511 504 1018 2023 1174
"Brevundimonas" 0 109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chryseobacterium" 0 836 0 0 61 0 0 0 0 151 0 0 0 0 0 0 0 0 0 0 0 2191 0 0 0 0 0
"Comamonas" 0 229 2779 176 304 0 1485 0 0 547 0 0 0 0 0 0 0 0 657 0 176 6142 0 0 0 0 0
"Dysgonomonas" 0 86 0 0 0 0 0 0 0 0 0 0 0 133 0 0 0 0 0 0 74 0 0 0 0 0 0
"Kurthia" 0 968 0 0 0 205 10797 0 439 347 740 183 340 0 192 1391 0 0 0 0 0 0 194 0 0 0 0
"Lysinibacillus" 0 869 396 0 1883 299 5529 1576 289 650 626 0 1170 871 0 252 0 0 404 26957 350 3235 562 493 0 1178 0
"Macrococcus" 0 244 0 0 0 0 1056 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pantoea" 0 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plesiomonas" 0 226 0 0 242 0 0 0 759 0 0 0 1131 0 0 0 0 0 0 0 0 208 0 172 286 0 0
"Pseudomonas" 0 291 401 0 263 0 0 0 0 0 0 0 0 0 0 0 0 0 152 0 0 887 0 0 0 0 0
"Rhodococcus" 0 41 923 0 126 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sporosarcina" 0 277 0 269 3363 0 0 3110 0 148 0 0 0 0 0 0 0 0 0 323 0 0 0 0 0 0 0
"Isoptericola" 0 0 196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mumia" 0 0 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mycobacterium" 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paeniglutamicibacter" 0 0 650 52 779 0 0 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudocitrobacter" 0 0 239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 246 0 0 0 0 0 0 0 0
"Sphingobacterium" 0 0 102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 169 0 0 0 0 0
"Turicibacter" 0 0 138 0 0 0 0 0 92 181 0 93 0 0 114 127 0 0 0 0 1058 0 64 0 0 0 213
"Kluyvera" 0 0 0 372 99 194 0 0 0 2027 0 932 0 273 0 0 0 0 0 0 0 0 0 0 2359 279 0
"Yokenella" 0 0 0 89 0 253 53 139 105 0 4693 0 0 0 0 147 0 0 2647 0 0 91 0 84 0 0 0
"Caryophanon" 0 0 0 0 1028 0 0 502 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Exiguobacterium" 0 0 0 0 340 0 0 1261 0 337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Herbinix" 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lelliottia" 0 0 0 0 535 0 0 561 0 1113 340 425 0 441 0 0 0 0 1043 292 278 399 229 353 1213 75 0
"Psychrobacillus" 0 0 0 0 2770 0 0 2479 0 202 229 0 0 0 0 0 0 0 0 0 0 268 0 0 0 0 0
"Trabulsiella" 0 0 0 0 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 0 0 0 0 255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 0 359 110
"Raoultella" 0 0 0 0 0 419 0 0 0 0 0 0 0 346 0 0 0 0 0 0 0 0 0 0 0 0 0
"Carnobacterium" 0 0 0 0 0 0 0 531 0 0 386 0 0 0 0 0 0 0 0 143 0 108 137 126 0 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erwinia" 0 0 0 0 0 0 0 0 226 0 0 0 0 0 0 0 0 0 0 0 269 0 0 0 0 0 0
"Robinsoniella" 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Viridibacillus" 0 0 0 0 0 0 0 0 282 0 260 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bradyrhizobium" 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cedecea" 0 0 0 0 0 0 0 0 0 176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cronobacter" 0 0 0 0 0 0 0 0 0 1076 0 0 0 0 0 0 0 0 0 0 0 172 0 0 0 0 0
"Clostridium_sensu_stricto_5" 0 0 0 0 0 0 0 0 0 0 0 99 0 0 0 0 0 148 0 96 101 0 0 123 0 0 0
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 2364 0 0 0 0 0 0 89 0 0 0 0 0 0 0 0
"Serratia" 0 0 0 0 0 0 0 0 0 0 0 4769 0 0 0 0 0 406 163 0 0 215 86 149 0 0 0
"Aeromonas" 0 0 0 0 0 0 0 0 0 0 0 0 264 0 0 0 0 0 400 0 0 154 0 0 0 0 0
"Anaerocolumna" 0 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 97 0 0 0 0 127 0 0 0
"Proteus" 0 0 0 0 0 0 0 0 0 0 0 0 0 712 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vagococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 977 0 0 0 0 0 0 0 0 0 0 0 0
"Kaistia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72 0 0 0 0 0 0 0 0 0
"Mesorhizobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0 0 0
"Virgibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 484 0 0 0 0 0 0 0 0 0
"Eubacterium_fissicatena_group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0
"Paenibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 505 0 0 0 0 0 0 0 0
"Diaphorobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0
"Macellibacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 101 0 0 0 0 0
