"D14129" "D14132" "D14135" "D14136" "D14140" "D14144" "D14156" "D14160" "D14162" "D14163" "D14164" "D14166"
"Luteimonas" 0 0 0 0 0 0 0 35 0 0 0 0
"Myroides" 0 0 0 0 0 0 0 67 0 0 0 0
"Paenochrobactrum" 0 0 0 0 0 0 0 377 0 0 17 0
"Paracoccus" 0 0 0 0 0 0 0 222 0 0 0 0
"Parafrigoribacterium" 0 0 0 0 0 0 0 21 0 0 0 0
"Peptoniphilus" 0 0 0 0 0 0 0 1100 0 0 0 0
"Plot4-2H12" 0 0 0 0 0 0 0 8 0 0 0 0
"Pseudochrobactrum" 0 0 0 0 0 0 0 1765 0 11 6 0
"Stenotrophomonas" 0 0 0 0 0 0 0 90 0 0 0 0
"Xanthobacter" 0 0 0 0 0 0 0 118 0 0 0 0
"Clostridium_sensu_stricto_11" 0 0 0 0 0 0 0 0 3 0 39 0
"Asaccharospora" 0 0 0 0 0 0 0 0 0 253 0 0
"Moellerella" 0 0 0 0 0 0 0 0 0 302 153 0
"Morganella" 0 0 0 0 0 0 0 0 0 781 0 0
"Providencia" 0 0 0 0 0 0 0 0 0 459 0 0
"Serratia" 0 0 0 0 0 0 0 0 0 61 76 11
"Vibrio" 0 0 0 0 0 0 0 0 0 170 0 0
"Wohlfahrtiimonas" 0 0 0 0 0 0 0 0 0 24 0 0
"Lactococcus" 0 0 0 0 0 0 0 0 0 0 166 0
"Savagea" 0 0 0 0 0 0 0 0 0 0 28 0
"Brochothrix" 0 0 0 0 0 0 0 0 0 0 0 101
"Hafnia-Obesumbacterium" 0 0 0 0 0 0 0 0 0 0 0 75
"Limnohabitans" 0 0 0 0 0 0 0 0 0 0 0 2
"Micrococcus" 0 0 0 0 0 0 0 0 0 0 0 14
"Paraeggerthella" 0 0 0 0 0 0 0 0 0 0 0 878
"Roseiarcus" 0 0 0 0 0 0 0 0 0 0 0 24
"Staphylococcus" 0 0 0 0 0 0 0 0 0 0 0 27
