"D12453" "D12454" "D12455" "D12456" "D12457" "D12458" "D12459" "D12460" "D12461" "D12462" "D12463" "D12464" "D12465" "D12466" "D12467" "D12468" "D12469" "D12470" "D12471" "D12472" "D12473" "D12474" "D12475" "D12476"
"Enterococcus" 37 38 77 59 32 233 147 33 96 35 21 126 0 0 0 0 63 0 0 0 0 0 0 3
"Erysipelatoclostridium" 63 113 173 106 63 0 34 21 337 64 0 225 0 37 0 22 88 196 87 70 62 105 8 55
"Escherichia-Shigella" 250 90 345 614 68 0 0 35 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 9
"Eubacterium" 27 36 74 27 20 17 20 0 128 44 120 53 871 129 2431 2545 2775 2393 225 194 569 324 1108 1403
"Fusobacterium" 18 63 23 1394 228 0 0 0 441 59 41 19 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066225" 74 88 179 147 110 0 0 0 0 69 0 0 77 13 61 30 0 30 28 131 93 197 95 90
"Geobacillus" 6 0 11 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Glutamicibacter" 5 0 0 6 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gordonia" 344 568 588 347 407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gordonibacter" 24 67 62 14 6 0 9 0 174 270 421 212 931 0 1441 2211 338 7690 251 107 113 772 878 1765
"Harryflintia" 7 0 0 12 5 0 0 0 0 0 0 0 0 0 19 0 0 8 13 0 0 10 5 0
"Hydrogenoanaerobacterium" 14 0 39 19 7 0 0 0 0 0 0 0 0 251 0 0 0 0 0 0 14 0 43 27
"Klebsiella" 199 92 148 491 40 0 93 0 0 0 0 0 545 0 0 0 2488 0 0 0 0 9 0 0
"Lachnoclostridium" 2005 789 1448 4452 1215 0 7 6 9759 3582 15683 12565 2695 16 245 1606 138 826 3022 917 2108 1647 1477 5460
"Lachnoclostridium_5" 272 100 225 1075 1153 0 0 0 0 993 0 889 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_AC2044_group" 397 260 209 156 167 0 0 0 0 22 16 0 1410 10845 0 42 11 1718 904 13709 715 45 3376 630
"Lachnospiraceae_NC2004_group" 24 66 152 5 50 0 0 17 34 72 0 0 97 48 24 10 14 28 360 8 424 148 269 55
"Lachnospiraceae_NK4A136_group" 144 153 207 148 229 0 0 61 25 126 0 0 59 2835 270 29 0 60 543 0 158 130 0 93
"Lachnospiraceae_UCG-008" 51 0 45 56 118 0 0 0 0 0 0 0 52 0 67 0 0 0 244 0 0 4 0 0
"Lactococcus" 270 421 1041 602 324 327 27 21 116 1538 183 833 0 4 0 0 1035 0 40 0 260 0 57 124
"Methylobacterium" 15 0 19 28 7 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 11 0
"Microbacterium" 60 59 155 41 56 17 225 265 8 10 19 0 0 0 0 0 0 0 0 0 0 0 0 15
"Mycobacterium" 20 0 68 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Negativibacillus" 10 0 0 8 17 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ochrobactrum" 19 17 29 15 17 0 0 8 0 0 0 0 6 20 0 10 19 8 0 0 0 0 19 21
"Oerskovia" 15 0 18 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oscillibacter" 12 0 0 0 5 0 0 33 65 17 0 0 28 34 0 0 0 0 0 0 89 42 7 0
"Oxalobacter" 6 14 7 0 0 0 0 11 0 12 10 0 5 0 0 15 0 8 17 0 0 4 0 0
"Parabacteroides" 1365 3603 2698 1193 2468 0 0 451 1288 862 485 151 8 148 0 0 20 314 960 0 0 37 230 0
"Phascolarctobacterium" 420 1087 786 54 1091 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudochrobactrum" 12 6 13 21 20 0 0 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 10 0 23 0 12 2068 4910 1010 1495 1017 0 0 0 147 0 27 51 16 13 0 0 0 9 16
"Rhodococcus" 204 255 344 126 232 58 29 163 33 14 44 13 0 290 0 11 126 16 4 67 6 5 58 355
"Robinsoniella" 11 126 24 11 0 0 0 0 345 89 129 440 293 0 100 231 159 1132 32 39 168 270 808 187
"Romboutsia" 12 13 13 0 9 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium" 8 9 16 29 11 0 0 8 0 0 0 0 20 19 0 0 5 0 80 0 0 23 16 10
"Ruminiclostridium_5" 70 115 72 179 106 0 0 6 18 128 0 10 1182 23 315 962 0 865 794 8 105 460 1155 289
"Ruminiclostridium_9" 72 40 41 110 46 0 0 21 89 122 16 0 101 5859 686 522 11 1324 587 8 279 824 234 111
"Ruminococcaceae_UCG-008" 11 0 27 8 11 0 0 0 132 143 144 67 300 11 0 10 7 34 31 27 26 136 191 707
"Ruminococcaceae_UCG-013" 26 16 40 35 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
"Ruminococcaceae_UCG-014" 90 58 88 23 58 0 0 282 96 48 83 0 64 30 27 295 0 243 23 0 50 53 17 39
"Sphingobacterium" 30 0 0 0 0 0 0 213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Stenotrophomonas" 25 0 22 7 23 0 16 21 0 0 0 0 0 55 0 0 16 0 0 0 0 0 0 0
"Streptococcus" 16 24 94 40 17 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Terrisporobacter" 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella" 34 29 46 37 36 0 0 0 120 260 0 0 681 3548 122 129 9 312 142 174 893 313 159 1254
"UBA1819" 69 41 48 119 87 0 0 0 106 64 111 0 0 147 65 0 0 175 47 0 82 3 6 24
"Weissella" 125 86 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aeromonas" 0 18 30 0 0 2686 538 0 1491 11 51 26 0 56 0 617 74 0 0 0 0 80 36 106
"Cronobacter" 0 13 20 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Micromonospora" 0 10 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"Paraclostridium" 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Planktothrix_NIVA-CYA_15" 0 9 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudocitrobacter" 0 26 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae_UCG-009" 0 5 0 4 0 0 0 0 12 25 0 0 30 292 6 0 0 46 33 0 10 131 184 621
"Ruminococcus_1" 0 14 0 0 0 0 0 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1176 0 0 157
"Butyricicoccus" 0 0 15 8 0 0 0 10 0 0 0 0 11 95 269 0 0 0 43 0 396 5 0 9
"Kaistia" 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 22 33
"Leuconostoc" 0 0 20 0 0 0 0 0 0 226 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Morganella" 0 0 11 42 0 1462 1435 215 63 0 386 677 0 0 0 0 0 0 0 0 0 0 0 0
"Nostoc_PCC-7107" 0 0 12 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nostoc_PCC-7524" 0 0 174 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nostoc_SAG_60.79" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Roseburia" 0 0 20 0 0 0 0 50 0 0 0 0 0 0 0 0 19 0 153 0 55 0 0 7
"Tolypothrix_PCC-7601" 0 0 71 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aminobacter" 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hungatella" 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kluyvera" 0 0 0 58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactonifactor" 0 0 0 5 0 0 0 0 149 0 65 0 33 6 7 70 0 40 58 0 40 61 76 42
"Microlunatus" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nakamurella" 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 4
"Reyranella" 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella_4" 0 0 0 11 13 0 0 26 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alistipes" 0 0 0 0 9 19 0 3384 367 6925 3569 140 97 214 41 126 0 176 59 24 89 102 157 45
"Blautia" 0 0 0 0 13 8 0 83 178 96 254 183 240 2204 111 1556 11 920 196 5 514 473 852 642
"Corynebacterium_1" 0 0 0 0 11 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0
"Diaphorobacter" 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arthrobacter" 0 0 0 0 0 632 1656 5200 313 179 152 61 0 0 0 0 8 0 0 0 0 0 0 12
"Buttiauxella" 0 0 0 0 0 119 819 0 0 0 0 0 579 0 0 25 14 0 0 0 0 8 218 12
"Cetobacterium" 0 0 0 0 0 13 62 0 317 42 0 311 0 7 0 0 0 0 0 0 0 0 0 0
"Chryseobacterium" 0 0 0 0 0 23 558 292 243 0 0 8 0 0 0 24 0 0 28 0 0 0 0 0
"Crenobacter" 0 0 0 0 0 30 0 0 82 30 36 0 0 0 0 0 0 0 0 0 0 0 0 0
"Elizabethkingia" 0 0 0 0 0 13 103 404 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavobacterium" 0 0 0 0 0 10 88 481 9 0 0 0 0 0 0 209 5 0 63 0 0 14 18 0
"Lelliottia" 0 0 0 0 0 464 388 0 0 0 0 0 454 0 0 23 88 0 0 0 0 0 586 16
"Pedobacter" 0 0 0 0 0 13 0 94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Providencia" 0 0 0 0 0 73 371 0 32 0 0 16 0 0 0 0 0 0 0 7 0 0 0 0
"Vagococcus" 0 0 0 0 0 23317 5112 73 995 36 116 858 0 0 0 0 34 0 0 0 0 0 0 0
"Anaerorhabdus_furcosa_group" 0 0 0 0 0 0 73 891 1093 900 274 262 0 0 0 0 31 0 0 0 0 15 0 0
"Akkermansia" 0 0 0 0 0 0 62 12 371 673 35 514 0 0 0 0 0 0 0 0 0 0 0 0
"Comamonas" 0 0 0 0 0 0 66 291 90 0 0 0 0 0 9 58 0 0 10 0 0 14 9 4
"Hafnia-Obesumbacterium" 0 0 0 0 0 0 354 0 0 0 22 58 385 0 0 178 1128 27 0 0 22 164 98 0
"Koukoulia" 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mobilitalea" 0 0 0 0 0 0 9 0 16 277 0 116 0 0 0 0 0 0 0 0 0 0 0 0
"Myroides" 0 0 0 0 0 0 8448 23 2078 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paenarthrobacter" 0 0 0 0 0 0 33 88 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudarthrobacter" 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 563 0 5 0 0 0 0 0
"Shewanella" 0 0 0 0 0 0 589 0 0 0 0 0 0 6 0 19 0 0 0 0 0 0 0 0
"Eubacterium_xylanophilum_group" 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcus_gnavus_group" 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acidovorax" 0 0 0 0 0 0 0 14 0 0 0 0 0 148 0 0 39 23 4 0 0 0 0 0
"Agathobacter" 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
"Aminobacterium" 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerofilum" 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaeroplasma" 0 0 0 0 0 0 0 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASF356" 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bifidobacterium" 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brachybacterium" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bradyrhizobium" 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brevundimonas" 0 0 0 0 0 0 0 66 0 0 0 0 0 49 0 0 11 0 0 3 0 0 0 0
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 0 0 42 0 0 0 0 0 299 8 0 38 21 0 6 0 0 0 11
"Caldicoprobacter" 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cutibacterium" 0 0 0 0 0 0 0 31 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0
"Delftia" 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 8 0 16 0 0 0 0 0
"Eisenbergiella" 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Faecalibacterium" 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Family_XIII_UCG-001" 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fournierella" 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066575" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0
"Geodermatophilus" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_FE2018_group" 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae_UCG-001" 0 0 0 0 0 0 0 26 0 0 0 0 8 0 0 10 0 0 0 0 9 0 0 8
"Lachnospiraceae_UCG-006" 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 0 0 0 0 409 0 82 0 0 0 0 0 0 0 0 0 3 0 5 0 5
"Leucobacter" 0 0 0 0 0 0 0 48 0 0 11 0 0 0 0 0 10 0 0 0 0 0 0 14
"Marvinbryantia" 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oscillospira" 0 0 0 0 0 0 0 7 141 315 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paludibaculum" 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pediococcus" 0 0 0 0 0 0 0 181 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Polaromonas" 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae_NK3B31_group" 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae_UCG-001" 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
"Propionimicrobium" 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ralstonia" 0 0 0 0 0 0 0 166 0 0 0 0 0 0 0 0 0 0 0 129 8 8 91 528
"Ruminiclostridium_6" 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae_NK4A214_group" 0 0 0 0 0 0 0 31 0 0 0 0 61 0 0 0 0 0 10 0 0 0 0 58
"Ruminococcaceae_UCG-005" 0 0 0 0 0 0 0 68 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcus_2" 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sellimonas" 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingomonas" 0 0 0 0 0 0 0 24 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0
"Staphylococcus" 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Subdoligranulum" 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Taibaiella" 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thermovirga" 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Treponema_2" 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Variovorax" 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vogesella" 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eubacterium_brachy_group" 0 0 0 0 0 0 0 0 24 93 50 59 94 0 29 66 8 120 206 6 66 233 140 640
"Eubacterium_nodatum_group" 0 0 0 0 0 0 0 0 48 29 18 0 7 0 0 87 0 186 0 0 0 9 217 91
"Anaerostipes" 0 0 0 0 0 0 0 0 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerovorax" 0 0 0 0 0 0 0 0 52 0 0 0 45 0 8 12 0 31 15 0 7 52 63 203
"Coprococcus_3" 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Desulfovibrio" 0 0 0 0 0 0 0 0 40 0 26 22 0 0 0 26 0 0 242 0 0 0 0 0
"Laribacter" 0 0 0 0 0 0 0 0 300 247 0 25 0 0 0 0 0 0 0 0 0 0 0 0
"Paraeggerthella" 0 0 0 0 0 0 0 0 17 17 14 18 0 0 0 0 0 0 0 0 0 0 0 0
"Christensenellaceae_R-7_group" 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 30
"Enterobacillus" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Peptostreptococcus" 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acetanaerobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 22 0 0 0 13 32 0
"Anaerocolumna" 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 9 0 0 26 388 0 0 68
"Anaerosinus" 0 0 0 0 0 0 0 0 0 0 0 0 137 161 0 0 0 0 86 0 50 0 223 176
"Caproiciproducens" 0 0 0 0 0 0 0 0 0 0 0 0 370 0 0 186 0 0 28 0 0 0 0 0
"Christensenella" 0 0 0 0 0 0 0 0 0 0 0 0 70 51 172 63 13 132 711 0 0 55 25 47
"Herbaspirillum" 0 0 0 0 0 0 0 0 0 0 0 0 30 1526 39 23 261 174 44 0 0 0 0 0
"Intestinimonas" 0 0 0 0 0 0 0 0 0 0 0 0 282 0 0 0 0 21 167 16 0 148 303 74
"Pygmaiobacter" 0 0 0 0 0 0 0 0 0 0 0 0 82 0 42 745 0 0 46 0 64 11 285 107
"Candidatus_Competibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0
"CL500-29_marine_group" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"Clostridium_sensu_stricto_12" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
"Clostridium_sensu_stricto_13" 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0
"Corynebacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"Cyanobium_PCC-6307" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
"Elusimicrobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 278 0 19 0 14 16 0 7 0 0 6
"Enhydrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"Jeotgalibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 4
"Leptotrichia" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
"Luteolibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
"Macellibacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
"Modestobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
"Mycoplasma" 0 0 0 0 0 0 0 0 0 0 0 0 0 11 11 0 17 0 0 0 0 0 0 0
"Novosphingobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"Paenibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 86 0 0 12 0 0 0 0 0 0 8
"Pajaroellobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
"Raoultella" 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 61 625 0 17 0 0 0 0 0
"Solibacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0
"Sphingobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 86 0 0 7 11 0 0 0 0 0 0
"Subgroup_10" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"Thermus" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
"Vibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 3 0 0 0 11
"Ureaplasma" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 17 0 0 0 0 0 0 0
"Acidisphaera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 8 0 0 0 0 0 0 0
"Plantibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 22 0 0 0 0 0 4
"Budvicia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 443 5
"Erwinia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 30 0
"Frigoribacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 5
"Pseudoclavibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0
"Serratia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 172 0
"Yersinia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0
"Cryptosporangium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
"Leifsonia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 13 0
"Paracoccus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 5 10
"Janthinobacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0
"Alloprevotella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0
