"D13559" "D13560" "D13561" "D13562" "D13563" "D13564" "D13565" "D13566" "D13567" "D13568" "D13569" "D13570" "D13571" "D13572" "D13573" "D13575" "D13577" "D13579" "D13580" "D13581" "D13582" "D13583" "D13584" "D13586" "D13587" "D13588" "D13589" "D13591" "D13592" "D13594" "D13595" "D13596" "D13598"
"Anaeroplasma" 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 274 0 0 0 0 0 103 66 139 0 0 0 0 0 0 56
"Aquamicrobium" 86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 60 205 0 0 0 280 0 0 0 0 0 472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brachybacterium" 106 789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Campylobacter" 158 0 0 0 0 0 82 0 0 78 0 1377 0 0 115 79 0 6 0 0 215 0 78 75 19 62 35 34 628 0 0 33 27
"Citricoccus" 55 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprococcus 2" 53 0 85 0 0 0 0 0 0 0 0 291 0 0 0 0 0 0 149 27 0 0 0 0 0 0 0 0 0 0 0 0 0
"Corynebacterium 1" 521 116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"Dietzia" 79 62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Facklamia" 155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Family XIII AD3011 group" 376 1011 183 10481 0 467 776 988 125 562 0 802 2122 891 430 70 0 53 0 98 1435 639 703 2186 323 979 1223 588 829 477 131 917 2481
"Fibrobacter" 7950 0 1011 147 0 443 2219 103 0 137 0 0 0 0 607 241 543 0 8987 0 1763 3591 795 4354 1037 4216 37 375 105 82 13 843 178
"Halomonas" 275 244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrogenoanaerobacterium" 67 141 81 325 0 508 123 131 97 87 0 241 203 337 0 0 0 0 0 0 0 43 0 75 32 0 0 0 25 34 0 0 0
"Intestinibacter" 176 315 2366 1464 609 1224 380 208 0 155 264 1252 338 900 299 0 0 0 0 0 1048 563 1235 1156 233 504 102 846 870 1957 154 2462 1460
"Jeotgalicoccus" 161 316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NK4A136 group" 145 2384 3576 2321 0 4430 2283 1148 218 2916 0 6122 478 7112 125 1538 1674 171 1189 2373 0 245 0 0 56 103 146 56 50 457 56 407 483
"Lachnospiraceae NK4B4 group" 96 76 0 99 0 0 164 0 0 0 0 125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Marvinbryantia" 70 48 564 258 0 0 595 135 478 59 665 301 115 192 29 0 0 0 0 45 0 254 0 0 80 47 419 143 0 44 11 28 572
"Methanobrevibacter" 230 445 179 2159 0 2467 194 432 47 0 0 130 2064 308 58 0 0 89 0 0 173 0 71 93 13 61 747 31 196 27 6 0 0
"Mogibacterium" 278 0 0 0 0 0 0 140 0 0 0 0 0 0 115 0 0 0 0 0 289 310 236 627 132 528 605 0 226 150 42 116 256
"Paraeggerthella" 92 136 58 62 0 0 0 131 0 22 0 0 177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pedobacter" 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phascolarctobacterium" 52 278 0 317 0 81 1452 1798 156 61 784 2438 177 0 186 158 0 27 49 110 499 977 732 457 175 381 653 544 237 174 48 255 697
"Prevotella 1" 384 0 142 0 0 74 255 47 19 89 0 684 0 257 19 1103 1068 113 265 1305 0 0 0 0 0 0 0 92 0 99 22 59 0
"Prevotellaceae UCG-003" 782 150 1853 419 0 279 701 0 272 301 0 200 0 317 121 2577 1426 478 3015 2894 225 561 179 298 107 344 414 571 649 445 139 1222 360
"Prevotellaceae UCG-004" 534 0 0 0 0 0 0 0 0 0 0 0 0 0 218 234 269 421 40 0 417 128 222 372 95 365 483 34 730 115 30 71 96
"Psychrobacter" 109 1147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Roseovarius" 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-013" 51 353 878 0 0 235 354 78 23 40 0 538 69 312 339 2880 2291 560 1041 1814 589 220 479 292 126 208 117 242 543 148 56 237 573
"Ruminococcus 1" 3980 6469 4971 7055 4260 3252 11726 2595 2329 789 5594 11309 1046 6203 0 1043 1380 79 415 123 0 0 0 0 0 0 164 85 0 53 0 45 48
"Salinicoccus" 160 3972 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Solibacillus" 189 53 0 0 0 674 0 0 0 0 0 351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Staphylococcus" 1226 1865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sutterella" 121 516 0 0 0 49 1058 0 627 40 0 0 0 0 0 0 0 0 0 0 0 37 70 0 0 0 0 43 0 68 4 34 325
"[Eubacterium] eligens group" 0 125 0 0 0 201 458 94 99 0 0 897 78 1597 0 0 80 0 33 0 0 0 0 0 10 0 0 0 0 0 0 37 0
"[Eubacterium] nodatum group" 0 342 939 155 0 4980 287 95 1029 400 195 501 0 360 78 47 0 0 29 45 79 79 108 540 157 374 312 210 472 484 47 786 836
"[Eubacterium] oxidoreducens group" 0 231 48 0 0 0 147 0 38 85 0 292 0 161 0 249 251 56 165 0 0 0 0 0 0 0 37 0 0 0 0 0 0
"[Eubacterium] xylanophilum group" 0 56 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Ruminococcus] gauvreauii group" 0 129 0 0 0 0 245 544 53 0 0 183 0 0 21 0 0 0 0 0 0 43 0 112 43 98 0 15 0 0 0 29 114
"[Ruminococcus] torques group" 0 150 0 352 0 0 143 187 189 336 0 151 0 2372 150 62 0 29 58 290 112 106 51 291 79 329 135 21 0 0 7 38 96
"Agathobacter" 0 16 57 0 0 68 0 0 0 0 0 1031 0 97 0 432 494 99 178 22 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alistipes" 0 373 466 799 0 3217 746 645 96 1028 2084 2743 4898 1081 0 1110 1414 537 235 1060 0 0 0 0 0 0 0 0 0 139 13 47 70
"Alteromonas" 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerocolumna" 0 145 0 95 0 0 0 0 171 130 0 637 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 73 133 199 0 0 0 0 65 0 0 197 0 0 3527 0 0 10 0 0 4545 279 3173 705 209 577 110 444 202 83 14 501 357
"Anaerostipes" 0 173 684 330 0 0 639 1321 572 169 0 711 0 207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 1412 4827 6755 70805 4950 4216 2564 1026 4210 25317 19564 4777 3650 0 505 452 168 3427 2417 0 0 0 0 16 0 261 456 147 1319 107 636 753
"Blautia" 0 305 65 325 588 15891 1249 306 96 387 7776 390 1137 416 0 0 0 0 60 235 0 0 0 0 0 0 232 24 0 0 10 116 63
"Brevibacterium" 0 1471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyricicoccus" 0 148 0 0 0 0 138 0 0 0 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyricimonas" 0 39 0 0 0 0 154 114 0 0 0 1383 471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CAG-352" 0 41 0 0 0 0 0 0 35 0 0 375 196 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 76 94
"Candidatus Soleaferrea" 0 19 0 510 0 125 150 155 0 226 205 0 0 1277 360 189 177 47 455 324 929 689 405 892 228 656 806 494 365 295 43 538 365
"Cellulosilyticum" 0 476 148 275 0 7255 152 65 58 145 0 1878 0 874 0 0 0 94 0 0 0 373 66 0 17 0 144 12 41 0 0 0 96
"Cellvibrio" 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 1" 0 5176 1289 4644 36 38867 202 1747 648 342 0 9190 2147 4225 389 0 0 0 0 0 836 951 1479 405 35 219 150 136 2625 225 24 70 153
"Collinsella" 0 110 0 0 0 0 179 46 0 57 4308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprococcus 1" 0 189 110 330 0 85 183 194 238 408 0 1115 0 0 0 0 0 0 0 0 0 0 0 0 15 0 255 86 59 306 32 116 365
"Enterococcus" 0 823 95 2067 254 880 583 0 58 522 520 205 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Erysipelatoclostridium" 0 73 0 0 365 0 51 0 44 0 443 0 83 0 0 0 0 19 38 38 0 0 0 1267 252 566 0 41 56 527 46 0 0
"Erysipelotrichaceae UCG-003" 0 237 263 167 0 0 776 268 1299 85 0 402 203 1873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 23 0 0 1100 665 189 72 0 0 2156 481 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 222
"Faecalibacterium" 0 269 0 0 0 108 836 57 43 283 0 1171 264 863 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusicatenibacter" 0 37 0 0 0 0 693 63 0 0 0 150 74 275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium" 0 30 0 0 0 0 76 0 0 0 722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Glutamicibacter" 0 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gracilibacillus" 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holdemanella" 0 63 0 0 0 0 182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Idiomarina" 0 405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Isoptericola" 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Janibacter" 0 237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium 5" 0 44 0 0 0 0 323 0 38 0 0 232 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 8 0 65
"Lachnospira" 0 168 0 0 0 0 56 0 0 0 0 0 60 124 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NC2004 group" 0 167 0 0 0 0 0 87 0 0 0 229 0 0 25 447 294 43 98 308 64 0 0 0 0 0 0 15 74 0 0 0 26
"Lachnospiraceae UCG-004" 0 42 0 0 0 0 172 0 0 0 0 370 0 0 57 0 0 0 0 0 148 0 0 0 0 0 109 0 0 51 0 0 0
"Lachnospiraceae UCG-008" 0 35 172 534 0 0 128 12 39 73 0 138 0 243 25 87 83 36 101 97 71 29 31 0 0 0 110 56 41 0 0 0 44
"Lactobacillus" 0 477 376 335 0 0 164 16 194 749 0 264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Macrococcus" 0 104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Marinobacter" 0 669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Methanosphaera" 0 19 0 0 0 673 0 0 0 0 0 0 370 0 16 0 0 22 0 0 40 0 0 0 0 0 0 45 0 0 0 0 48
"Mobilitalea" 0 1226 203 429 0 104 87 39 162 39 0 1035 73 545 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0
"Nocardiopsis" 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oceanobacillus" 0 1133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oribacterium" 0 43 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 59
"Oscillibacter" 0 77 239 0 138 270 499 296 137 72 1849 1693 373 480 0 0 0 0 85 46 0 162 114 267 118 137 124 100 112 226 22 78 301
"Parabacteroides" 0 494 111 1148 13951 141 927 563 0 367 10524 3703 1281 869 46 568 454 117 552 812 0 93 0 183 44 98 0 33 430 409 43 52 95
"Parasutterella" 0 52 0 0 0 0 0 0 62 0 0 2204 763 0 0 94 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Planococcus" 0 235 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotella 9" 0 165 295 0 0 239 924 91 397 56 0 369 0 456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae UCG-001" 0 232 717 0 0 1257 970 0 86 0 0 0 0 310 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0
"Pseudarthrobacter" 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudoalteromonas" 0 1781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacillus" 0 204 0 0 0 0 0 0 0 0 0 188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Roseburia" 0 35 98 0 0 0 130 0 0 0 0 140 0 132 0 0 0 31 0 252 0 0 0 0 16 0 0 0 0 0 0 0 0
"Ruminiclostridium" 0 27 0 0 0 148 0 0 28 0 140 0 232 0 0 54 129 0 56 28 48 0 0 0 0 47 0 0 0 0 0 49 0
"Ruminiclostridium 1" 0 90 81 144 0 0 0 114 175 16 182 0 304 582 0 312 395 471 505 821 54 102 59 224 50 82 0 0 87 51 0 26 0
"Ruminiclostridium 6" 0 1308 0 0 0 0 2721 238 539 0 78 516 0 202 0 69 115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38
"Ruminiclostridium 9" 0 12 138 498 59 81 76 128 112 60 0 0 0 99 13 0 0 0 0 0 0 0 0 0 18 0 0 33 65 0 4 47 49
"Ruminococcaceae UCG-004" 0 63 0 168 0 493 92 104 79 0 0 0 0 0 63 61 0 45 95 60 237 100 150 289 105 170 518 57 165 56 0 89 217
"Ruminococcaceae UCG-009" 0 89 129 0 0 1525 0 145 45 27 0 469 0 97 12 188 151 91 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcus 2" 0 111 0 0 0 0 87 0 0 0 0 0 88 0 27 0 0 8 0 0 112 0 57 1243 222 434 0 407 3125 93 0 0 0
"Saccharopolyspora" 0 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Salinimicrobium" 0 1381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sporosarcina" 0 273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Streptococcus" 0 168 65 378 170 0 307 43 147 152 1909 282 0 335 0 0 0 0 0 0 0 0 0 91 18 60 0 1869 251 6708 580 809 24
"Subdoligranulum" 0 86 0 0 0 0 727 37 89 121 0 150 30 181 0 0 0 0 0 0 0 0 0 0 18 0 85 0 0 0 0 19 74
"Terrisporobacter" 0 274 174 186 0 2169 0 163 42 27 0 804 199 249 494 0 0 0 0 0 780 985 1113 115 24 161 0 395 675 199 20 0 538
"Virgibacillus" 0 2345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Weissella" 0 66 69 250 0 0 0 0 0 170 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yaniella" 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprobacillus" 0 0 51 0 0 0 0 0 61 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprococcus 3" 0 0 61 0 0 0 271 93 60 27 0 0 88 0 25 388 304 56 0 27 0 0 0 0 0 0 0 0 0 21 9 62 58
"Helicobacter" 0 0 124 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0
"Mailhella" 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 164 0 0 121 90 0 0 0 0 0 0 0 0 54 0 0 0 0
"Pygmaiobacter" 0 0 50 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-008" 0 0 1344 224 0 339 73 16 182 143 0 308 0 0 12 0 0 0 0 0 0 86 80 187 61 92 0 31 0 39 0 64 110
"Ruminococcaceae V9D2013 group" 0 0 115 0 0 0 39 33 0 0 0 0 0 153 76 0 0 0 0 87 267 97 120 95 59 72 293 25 255 0 6 0 34
"Shuttleworthia" 0 0 105 0 0 0 86 0 0 0 0 0 0 489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] fissicatena group" 0 0 0 135 195 0 0 32 0 0 204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0
"Desulfovibrio" 0 0 0 150 0 299 244 58 80 117 0 148 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterobacter" 0 0 0 113 1379 0 0 0 0 72 1377 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hespellia" 0 0 0 127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Oxalobacter" 0 0 0 179 0 100 0 46 0 0 0 0 0 0 358 766 896 0 35 371 931 0 1410 286 101 223 0 0 272 0 0 0 0
"Ruminococcaceae UCG-011" 0 0 0 131 0 225 0 97 0 0 0 0 0 0 0 1829 2946 1231 917 915 0 37 0 299 95 211 0 23 47 40 18 0 100
"[Clostridium] innocuum group" 0 0 0 0 682 0 0 0 0 0 494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Akkermansia" 0 0 0 0 29121 1716 0 105 0 0 32952 0 33 0 0 619 339 244 286 473 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bifidobacterium" 0 0 0 0 121 70 0 0 0 0 21945 0 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bilophila" 0 0 0 0 2822 137 0 46 0 0 837 0 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 40 0 0 0 0
"Caproiciproducens" 0 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chryseobacterium" 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridioides" 0 0 0 0 346 0 0 0 0 0 476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 2" 0 0 0 0 680 0 0 0 0 0 124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DTU089" 0 0 0 0 488 0 0 0 0 0 501 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dysgonomonas" 0 0 0 0 177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eggerthella" 0 0 0 0 119 0 0 0 0 0 2014 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavonifractor" 0 0 0 0 52 0 0 0 0 0 320 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hungatella" 0 0 0 0 3509 0 0 0 0 0 7206 0 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactococcus" 0 0 0 0 761 0 112 0 0 0 3945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Morganella" 0 0 0 0 192 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Negativicoccus" 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Proteus" 0 0 0 0 49 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Robinsoniella" 0 0 0 0 150 0 0 0 0 0 146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rothia" 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] hallii group" 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 0 0 51 5 0 0
"Acinetobacter" 0 0 0 0 0 536 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Barnesiella" 0 0 0 0 0 81 0 0 0 0 0 256 0 128 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Intestinimonas" 0 0 0 0 0 588 0 45 0 0 0 205 209 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 47 0 0 0 0
"Lachnoclostridium 10" 0 0 0 0 0 272 0 0 0 0 0 132 0 0 0 335 609 47 232 151 0 0 0 0 22 69 0 0 0 47 0 0 32
"Lachnospiraceae FCS020 group" 0 0 0 0 0 87 209 133 30 37 0 216 0 198 0 0 0 0 81 85 0 141 0 144 56 113 70 0 0 0 0 20 104
