"D12481" "D12500" "D12507" "D12519" "D12547" "D12567" "D12571" "D12606" "D12609" "D12635" "D12656" "D12699" "D12722" "D12724" "D12726" "D12728" "D12730" "D12732" "D12734" "D12736" "D12738" "D12740"
"Peptostreptococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 30 0 0 0 0 0 0
"Sarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 37 0 0 0 0
"Shewanella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
"Acidovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0
"Cloacibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
"HIMB11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0
"Mesonia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"Parvimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 56
"Porphyromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 2 0 0 25
"Pseudoalteromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86 91 0 0 22 0 0
"Sediminispirochaeta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 18
"Maritimimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 43
"Eubacterium_brachy_group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"Fusibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"Marinifilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"Oceanivirga" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39
"Peptoniphilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
"Pusillimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
"Streptobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
