"D03235" "D03243" "D03244" "D03247" "D03248" "D03250" "D03251" "D03254" "D03259" "D03260" "D03261" "D03264" "D03266" "D03267" "D03270" "D03272" "D03273" "D03276" "D03279" "D03283" "D03284" "D03285" "D03286" "D03288" "D03289" "D03290" "D03291" "D03292" "D03296" "D03297" "D03298" "D03299" "D03301" "D03303" "D03307" "D03308" "D03310" "D03311" "D03312" "D03313" "D03316" "D03317" "D03319" "D03322" "D03324" "D03325" "D03332" "D03333" "D03335" "D03339" "D03343" "D03344" "D03346" "D03347" "D03354" "D03359" "D03364" "D03366" "D03367" "D03368" "D03369" "D03370" "D03372"
"Ruminococcus 1" 539 10 0 1102 91 1160 180 96 1129 653 0 37 1470 1052 62 224 19 19 0 876 452 608 1203 224 0 43 208 64 1376 167 0 112 72 0 76 13 16 221 73 34 30 287 0 468 29 0 203 416 0 43 0 70 1573 3899 460 0 197 80 677 74 231 1259 577
"[Bacteroides] pectinophilus group" 0 3 0 0 0 24 0 0 0 52 0 0 0 0 0 0 136 0 0 0 0 35 0 221 0 0 0 0 0 0 0 0 0 151 0 154 48 0 45 0 0 0 0 0 0 0 0 0 0 0 233 0 0 30 0 26 8 0 0 0 274 0 0
"[Eubacterium] oxidoreducens group" 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 18 0
"[Ruminococcus] torques group" 0 42 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
"A2" 0 7 0 0 0 0 0 0 0 7 0 0 0 0 18 13 57 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 14 0 0 0 0 18 0
"Acetitomaculum" 0 13 73 0 0 0 66 0 0 46 0 0 146 103 37 0 29 0 44 14 35 0 0 26 44 52 21 0 103 0 0 0 0 0 0 0 0 42 79 0 0 23 0 0 0 0 15 0 0 232 114 0 38 0 0 97 21 0 0 0 35 0 0
"Adlercreutzia" 0 14 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 46 0 0 45 0 0 37 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 34 0 772 0 0 0 0 0 66 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 17 0 0 0 0
"Blautia" 0 1528 0 0 0 13 16 83 246 0 0 0 169 0 104 88 0 78 0 0 33 0 56 1077 0 1158 0 279 218 0 0 1383 0 0 0 0 134 0 429 0 0 0 0 268 0 0 21 0 19 167 0 48 0 76 17 184 351 0 27 400 34 0 44
"Butyricicoccus" 0 90 14 0 0 0 0 0 101 26 33 0 192 60 0 16 0 0 0 0 0 0 48 195 21 0 37 103 80 0 0 107 44 0 0 0 0 0 27 0 0 11 0 61 0 0 7 0 0 0 93 0 0 0 0 0 145 0 7 237 0 0 55
"Eisenbergiella" 0 16 0 25 0 0 0 0 28 6 0 0 12 0 19 10 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 275 0 0 0 0 0 0 0 64 80 0 50 22 0 0 68 0 0 0 0 7 0 0 0 94
"Lachnospiraceae UCG-006" 0 87 74 20 0 50 224 72 144 112 56 55 158 88 97 31 270 52 184 68 266 247 85 220 409 173 104 355 502 0 0 27 454 77 0 0 134 181 179 0 72 82 0 0 0 0 227 34 197 0 92 102 0 53 0 453 75 0 54 72 253 77 102
"Lachnospiraceae UCG-010" 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Odoribacter" 0 9 53 158 0 0 161 107 0 62 0 0 0 355 0 0 0 65 60 85 28 16 0 0 19 0 0 0 0 0 185 16 33 99 0 0 0 45 18 0 371 0 0 0 0 0 0 0 0 0 0 0 253 75 38 0 37 0 19 60 62 0 12
"Parabacteroides" 0 23 0 0 0 0 0 0 0 7 74 0 0 0 44 0 43 0 0 0 0 0 37 0 0 31 0 3 0 0 0 19 0 0 0 0 6 21 0 0 0 0 0 0 69 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
"Roseburia" 0 151 124 45 0 22 51 0 239 54 5 0 323 182 230 34 134 152 0 34 217 0 187 110 237 566 71 104 121 0 248 15 183 260 0 0 167 8 253 0 0 0 0 192 0 0 48 95 63 137 213 64 58 15 45 209 179 0 0 341 154 76 272
"Ruminiclostridium 5" 0 59 71 30 0 37 18 0 74 25 9 0 44 0 128 0 70 239 21 0 37 0 91 0 0 82 49 44 73 0 41 37 57 53 0 0 0 20 15 0 64 0 0 0 87 0 0 0 293 151 0 63 38 0 0 26 54 0 20 79 0 76 44
"Ruminiclostridium 6" 0 20 17 24 0 0 0 0 206 46 33 0 472 160 16 0 0 64 1880 406 21 0 15 0 0 0 0 16 36 0 0 0 5 690 0 8 32 32 30 0 106 73 0 102 0 0 114 0 0 70 289 0 42 48 0 208 187 0 10 299 98 19 0
"Ruminococcaceae NK4A214 group" 0 30 0 0 0 0 0 0 0 15 0 0 0 11 39 52 0 0 0 0 0 0 0 22 0 0 14 24 0 0 0 0 0 65 0 0 0 0 0 0 4 0 0 32 0 0 0 0 0 16 0 5 40 0 0 34 20 0 11 83 46 17 25
"Ruminococcaceae UCG-003" 0 72 0 0 0 0 0 29 32 18 50 0 118 0 47 38 0 0 0 0 0 0 289 0 0 136 0 60 88 0 140 0 8 99 0 61 60 0 0 0 103 0 0 107 0 0 0 0 120 87 97 28 0 0 0 25 53 0 15 52 26 0 80
"Ruminococcaceae UCG-009" 0 109 0 0 0 0 17 0 50 11 19 0 6 47 15 35 0 39 0 12 0 0 18 0 0 44 0 14 35 0 0 0 0 28 0 0 0 40 0 0 0 0 0 31 0 0 0 0 17 83 19 21 0 0 0 0 20 0 87 26 28 10 6
"Tyzzerella" 0 45 14 0 0 0 0 39 48 0 0 0 36 0 35 59 0 42 0 0 25 0 27 17 12 33 0 56 50 0 0 0 29 0 0 0 0 74 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 51 0 25 75 0 50 0
"UBA1819" 0 91 0 0 0 0 0 0 47 8 0 0 0 0 35 5 0 0 0 10 0 0 35 0 24 22 0 38 0 0 0 4 12 0 0 0 0 0 0 0 25 0 0 0 0 0 0 81 90 53 16 29 0 0 0 0 0 0 0 19 22 0 0
"[Eubacterium] xylanophilum group" 0 0 127 45 0 157 217 52 0 0 0 0 77 0 0 8 94 191 0 26 794 411 0 0 468 0 361 4 0 448 0 39 403 159 0 0 38 78 0 0 45 0 0 77 0 0 0 0 0 0 21 0 74 0 0 0 32 31 52 49 421 44 25
"Escherichia-Shigella" 0 0 24 0 0 0 0 0 17 0 0 0 0 0 0 19 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 151 0 0 0 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0
"Mucispirillum" 0 0 55 0 0 0 0 0 196 7 62 0 0 102 0 99 0 15 0 0 69 0 567 0 0 0 0 0 16 0 0 161 67 0 0 0 23 0 0 0 33 24 0 332 0 0 234 18 0 124 0 590 0 0 0 0 18 0 23 28 0 0 52
"Anaeroplasma" 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 24 0 0 0 0 0 0 14 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 0 0 0 0 20 0 0 0 0
"Anaerotruncus" 0 0 0 15 0 0 0 0 0 4 0 0 0 0 0 6 47 0 0 0 4 0 0 0 0 19 0 12 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-013" 0 0 0 32 0 0 0 26 0 4 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 52 0 0 0 0 0 9 13 0 0 0
"Prevotellaceae UCG-001" 0 0 0 0 62 0 2668 0 0 0 221 0 0 1508 0 0 40 83 0 0 0 0 0 0 86 0 0 0 0 0 303 0 0 0 0 0 0 0 0 197 1019 0 0 10 332 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0
"Raoultella" 0 0 0 0 23067 0 0 0 0 0 0 13602 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 485 0 0 0
"[Eubacterium] nodatum group" 0 0 0 0 0 9 0 0 0 6 0 0 0 0 20 23 0 0 0 7 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acetatifactor" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bilophila" 0 0 0 0 0 6 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0
"Robinsoniella" 0 0 0 0 0 13 0 0 0 7 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 94 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-010" 0 0 0 0 0 15 11 52 0 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 28 0 0 0 0 14 18 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 39 0 0 5 0 22 0 42 0 0
"Treponema 2" 0 0 0 0 0 0 187 0 0 0 47 0 249 0 0 0 0 0 0 0 0 175 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 116 0 0 0 0 0 0 0 0 106 85 49 0 0 0 0 0 0 0 0 213 0 0
"[Eubacterium] ruminantium group" 0 0 0 0 0 0 0 0 229 29 0 0 562 604 0 0 0 0 0 27 603 0 0 0 0 0 0 0 11 0 0 11 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 33
"Anaerostipes" 0 0 0 0 0 0 0 0 30 50 0 0 0 0 0 0 0 0 0 109 0 0 378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 210 0 0 0 0 0 0
"Lawsonella" 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 224 0 0 0
"Tyzzerella 3" 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 3 0 0 0 12 0 0 30 142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 4 0 0 0 0 0 0 12 0 171 76 0 0 0 48 0 0
"Acinetobacter" 0 0 0 0 0 0 0 0 0 2555 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3683 0 0 0
"Anaerovorax" 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Buttiauxella" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 189 0 0 0
"Carnobacterium" 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0
"Chryseobacterium" 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 108 0 0 0
"Comamonas" 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Delftia" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium 5" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 70 0 0 0
"Lachnospiraceae AC2044 group" 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Marvinbryantia" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 12 0 0 0 0 0 25 0 0 59 0 0 0 0 0 0 0 26 0 0 0 0 48 0 0 0 0 0 0 0 0 14 0 0 0 0 220 0 0 0 0 0 0 0 0 0 19 0
"Niveispirillum" 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parvibacter" 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 3
"Pedobacter" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 0 0 0 0 0 0 0 0 0 180 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 414 0 0 0
"Rodentibacter" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-004" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingobacterium" 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphingobium" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Stenotrophomonas" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0
"ASF356" 0 0 0 0 0 0 0 0 0 0 21 0 19 0 0 25 0 0 0 0 0 0 45 0 0 0 46 14 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 27 40 69 6 0 6 28 0 0 0
"Intestinimonas" 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 7 0 0 0 11 0 0 0 0 0 37 0 0 0 0 0 0 0 34 0 16 0 0 18 0 19 0 0 0 0 0 0 0 103 0 63 0 0 0 0 0 9 0 0 165 0 30 39
"Oscillospira" 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rikenella" 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprococcus 3" 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lactococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agathobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enterorhabdus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hungatella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pygmaiobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 25 0 0 0 0
"Sporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerosporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 22 0 0 0 31 0 0 0 0 0 0 0 0 3 0 0 85 186 0 48
"GCA-900066225" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
