"D04372" "D04373" "D04374" "D04375" "D04376" "D04377" "D04378" "D04379" "D04380" "D04381" "D04382" "D04383" "D04384" "D04385" "D04386" "D04387" "D04388" "D04389" "D04390" "D04391" "D04392" "D04393" "D04394" "D04395" "D04396" "D04397" "D04398" "D04410" "D04411" "D04412" "D04413" "D04414" "D04415" "D04416" "D04417" "D04418" "D04419" "D04420" "D04421" "D04422" "D04423" "D04424" "D04432" "D04433" "D04434" "D04435" "D04436" "D04437" "D04438" "D04439" "D04440" "D04441" "D04442" "D04443"
"Ruminococcaceae UCG-013" 2250 2343 3280 3160 2219 2968 3912 2354 1726 2218 1643 1823 2249 2408 2545 3338 2041 2432 1578 1605 2978 1992 1097 2134 2573 2445 3439 681 868 1598 61 250 597 673 255 577 884 47 652 1267 678 0 99 215 126 262 73 95 195 167 207 110 179 0
"Ruminococcaceae UCG-014" 7259 7550 5825 4962 2109 4270 5275 1220 4194 6809 2424 5317 1907 6768 3444 5149 1921 1156 6795 3145 1702 2300 3964 6423 3409 3523 5137 1144 878 127 2115 875 1201 372 635 901 223 726 566 317 1541 2387 1184 0 2087 0 1182 2081 0 0 0 315 0 0
"Ruminococcus 1" 2470 2445 2357 1653 2115 850 1289 2605 1969 2138 2072 852 2861 2142 2089 2488 1668 2741 769 523 2142 1760 917 1946 2715 1388 2883 2039 8611 3908 2529 3061 1401 1381 3179 887 7871 1940 4274 3570 990 2446 1520 3341 1513 2483 889 953 7880 4789 5404 313 2183 21
"Ruminococcus 2" 469 3125 989 936 888 1155 228 538 618 606 634 231 260 563 651 905 509 315 669 337 791 200 144 232 634 90 2618 0 0 30 6193 9876 22933 9446 4907 325 0 7376 44 72 7291 3095 2816 1976 2757 996 1138 525 971 2045 570 2236 1803 12448
"Tyzzerella 4" 274 56 490 363 901 300 100 525 178 229 165 231 402 189 300 298 289 507 94 155 661 215 106 218 487 260 295 36 511 2363 340 358 0 0 423 138 135 770 194 2445 456 74 0 0 0 0 0 0 0 36 0 0 21 0
"Acetitomaculum" 0 62 20 22 363 46 374 63 0 44 43 0 87 0 45 82 0 106 0 42 294 67 55 79 74 14 48 269 37 38 164 0 88 148 0 0 166 214 22 20 0 77 28 0 0 0 26 0 0 22 0 57 0 0
"Alistipes" 0 8 0 0 0 12 0 20 24 17 15 0 0 0 0 0 0 0 62 0 0 0 37 27 0 0 0 273 343 62 248 44 10 77 94 273 257 617 434 263 563 13 402 47 595 52 591 660 28 263 61 288 124 189
"Anaerosporobacter" 0 20 0 108 38 0 0 533 35 54 183 102 301 20 86 0 61 0 0 173 254 317 23 65 152 0 0 0 116 169 1455 589 32 0 649 227 135 1113 54 47 73 1140 0 33 0 0 158 197 0 0 0 0 0 0
"Campylobacter" 0 11 0 0 119 0 0 0 43 57 15 20 39 24 22 0 45 0 20 11 28 15 7 40 112 51 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Intestinibacter" 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 27 0 0 0 0 30 0 0 0 0 46 63 0 40 0 65 142 84 360 231 166 0
"Intestinimonas" 0 38 0 34 161 21 24 108 0 0 42 324 109 36 0 0 28 0 0 101 459 29 0 0 46 28 112 0 0 0 0 0 0 0 16 0 0 0 0 0 0 19 0 60 0 34 0 0 55 0 99 0 42 0
"Lachnoclostridium 10" 0 153 26 52 39 37 17 66 52 42 41 67 58 24 32 50 25 0 88 31 63 148 74 61 78 75 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Olsenella" 0 72 84 0 347 148 0 0 35 0 0 0 106 0 46 109 0 0 0 0 0 34 40 32 0 0 57 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 55 0 588 0 46
"Papillibacter" 0 15 16 30 0 16 51 0 0 20 0 0 0 32 12 0 0 23 0 0 0 0 0 0 0 0 17 0 0 31 0 0 49 28 15 13 20 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Peptococcus" 0 29 0 0 0 0 14 0 0 0 25 0 0 17 17 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 36 0 11 0
"Syntrophococcus" 0 13 0 0 114 73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] xylanophilum group" 0 0 173 0 0 0 333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2581 508 246 21 0 0 0 0 113 985 0 224 444 11 15 17 0 0 0 0 11 0 128 0 0 0 0
"Coriobacteriaceae UCG-002" 0 0 36 0 119 65 0 0 0 0 0 0 45 0 0 71 0 0 0 0 0 0 0 59 0 36 32 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 14 0 0
"Lachnospira" 0 0 60 58 83 0 0 93 0 13 0 0 0 0 0 45 0 0 0 0 0 0 0 0 30 0 63 0 29 73 0 0 14 32 0 0 13 31 0 0 0 0 191 0 0 0 83 31 0 0 25 90 21 141
"Lachnospiraceae UCG-003" 0 0 20 115 84 0 0 41 0 0 0 0 0 0 0 23 0 0 0 0 228 61 0 0 0 0 83 77 24 84 0 29 0 37 0 0 133 132 38 25 21 0 111 0 0 0 358 22 0 228 0 57 0 327
"Oxalobacter" 0 0 28 30 0 28 0 21 12 22 37 16 19 26 26 16 0 20 16 14 0 0 0 19 0 20 27 0 0 19 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Parasutterella" 0 0 26 0 0 0 17 0 15 37 22 0 0 49 38 0 0 0 19 16 12 18 23 0 34 28 0 26 0 0 0 0 0 0 0 0 46 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NK3A20 group" 0 0 0 41 555 135 0 0 14 81 51 76 98 0 77 0 26 0 0 54 54 0 40 54 0 0 119 0 0 954 60 115 778 838 50 0 104 28 0 590 0 178 15 0 0 0 0 0 0 0 14 169 0 0
"possible genus Sk018" 0 0 0 70 52 25 19 77 29 51 50 43 67 0 25 33 0 0 39 0 80 26 27 27 39 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-004" 0 0 0 52 0 0 0 0 0 0 54 0 15 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 55 0 10 0 0 0 0 0 0 0 57 0 0 140 87 115 32 31 120 59 0 109 128 212 18
"[Eubacterium] brachy group" 0 0 0 0 20 22 0 0 0 0 0 0 0 0 0 0 0 0 0 10 24 0 0 0 0 12 0 90 120 109 75 82 40 16 42 133 27 38 27 114 592 31 43 103 81 67 42 39 54 50 51 80 85 0
"Helicobacter" 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 9 7 0 0 0 0 0 29 10 0 0 30 35 0 0 0 0 28 0 0 0 0 0 71 0 0 110 42 0 0 0 0 0
"Lachnoclostridium 5" 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 69 0 0 50 0 0 0 135 0 0 0 55 0 61 0 92 0 0 79 200 51 0 631 0
"Pseudoramibacter" 0 0 0 0 80 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 44 0 14 49 80 14 0 0 0 0 93 0 0 0 0 0 0 0 0 0 0 0 26 0 0
"Anaerofustis" 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerostipes" 0 0 0 0 0 0 333 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Caldicoprobacter" 0 0 0 0 0 0 21 0 0 14 21 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 16 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella" 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 16 0 0 0
"Acinetobacter" 0 0 0 0 0 0 0 284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Comamonas" 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066575" 0 0 0 0 0 0 0 32 0 0 24 14 0 0 32 0 0 0 0 0 0 0 15 0 0 11 0 0 0 0 0 30 0 0 16 0 0 0 0 0 78 0 0 0 0 0 33 21 0 0 0 0 0 32
"Kurthia" 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae UCG-009" 0 0 0 0 0 0 0 99 0 71 0 23 56 0 0 0 0 140 0 0 193 17 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Stenotrophomonas" 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Romboutsia" 0 0 0 0 0 0 0 0 154 0 0 61 0 79 17 0 0 0 67 0 0 0 0 0 0 0 0 0 0 116 234 25 0 64 37 0 0 28 0 0 0 53 0 0 0 0 0 0 0 26 0 0 0 0
"Anaeroplasma" 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyricicoccus" 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 29 0 0 59 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72
"Moryella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 82
"Pseudomonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Anaerorhabdus] furcosa group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 18 52 27 15 0 0 0 0 49 21 0 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] ruminantium group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 119 0 1774 0 0 0 0 0 0 53 0 0 1901 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 917 1711 1445 2169 2331 988 2366 2000 523 502 1400 1175 986 1544 3694 197 0 348 18 593 469 0 154 29 63 43 599
"CAG-56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 230 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Desulfovibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 89 28 0 28 38 37 25 0 51 0 30 53 0 0 93 27 55 44 110 260 53 21 41 120 104 38
"Dorea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 93 66 160 132 98 143 89 93 38 211 69 63 95 100 0 0 0 0 0 0 0 0 0 0 0 0
"Methanobrevibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165 30 440 207 1457 19 22 954 42 28 37 0 1372 381 96 427 946 1380 1050 225 582 1720 810 1665 765 1428 155
"Methanosphaera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 9 88 121 13 0 0 0 0 33 21 0 399 0 59 317 45 378 86 33 52 56 86 0 1346 42 55
"Parabacteroides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 178 106 105 104 44 0 26 63 72 0 160 64 171 143 34 439 485 1244 513 556 890 584 751 691 564 838 250
"Prevotella 1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 124 846 23 7 0 0 43 0 42 231 49 77 0 0 147 46 77 105 99 129 94 340 38 41 48 381
"Prevotellaceae UCG-001" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 914 299 0 192 0 21 162 0 103 148 876 157 0 49 10 186 38 111 65 69 38 64 800 30 88 44 418
"Prevotellaceae UCG-003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 611 3829 0 195 0 21 113 0 287 2570 451 2992 0 315 0 279 232 362 194 131 89 415 248 239 511 623 54
"Prevotellaceae UCG-004" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 57 0 0 0 0 0 0 0 71 0 46 0 0 0 63 29 153 26 178 90 21 63 0 57 18 36
"Ruminiclostridium 1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 13 0 0 0 0
"Sarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Treponema 2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3054 0 0 585 167 2254 12044 239 0 706 1394 48 0 0 126 3817 1932 1670 1861 18 255 334 1852 464 264 410 0
"[Eubacterium] nodatum group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 54 0 0 27 21 0 0 0 0 0 0 0 129 0 184 0 0 88 132 113 52 124 146
"Chlamydia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 65 47 0 0 0 0 0 0 0 0 0 213 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 16 345 121 222 258 21 0 65 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 43
"Coprococcus 2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1873 134 206 194 43 24 143 0 203 340 1199 31 20 112 180 0 120 0 447 101 0 0 0 39 0 0
"Defluviitaleaceae UCG-011" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
